barcode,desc,acost,adate,cat_type,locname,dept
0001623900005       ,WANZL T24 TRANSPORT TROLLEY                                 ,8550,10/04/2016,TROLLY-STEEL                                      ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     
0002625800001       ,WALL UPRIGHT - 3RD FLOOR                                    ,1   ,04/25/2016,WALL GONDOLA                                      ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0002626200001       ,WALL GONDOLA - 3RD FLOOR                                    ,3257,04/25/2016,WALL GONDOLA                                      ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0002617000001       ,FURNITURE RACKING ENDER (3RD FLOOR)                         ,1377,04/25/2016,RACK                                              ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0002617000002       ,FURNITURE RACKING ENDER (3RD FLOOR)                         ,1377,04/25/2016,RACK                                              ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0002617000003       ,FURNITURE RACKING ENDER (3RD FLOOR)                         ,1377,04/25/2016,RACK                                              ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0002617000004       ,FURNITURE RACKING ENDER (3RD FLOOR)                         ,1377,04/25/2016,RACK                                              ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0002617000005       ,FURNITURE RACKING ENDER (3RD FLOOR)                         ,1377,04/25/2016,RACK                                              ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0002617000006       ,FURNITURE RACKING ENDER (3RD FLOOR)                         ,1377,04/25/2016,RACK                                              ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0002617000007       ,FURNITURE RACKING ENDER (3RD FLOOR)                         ,1377,04/25/2016,RACK                                              ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0002617000008       ,FURNITURE RACKING ENDER (3RD FLOOR)                         ,1377,04/25/2016,RACK                                              ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0002617000009       ,FURNITURE RACKING ENDER (3RD FLOOR)                         ,1377,04/25/2016,RACK                                              ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0002617100001       ,ISLAND GONDOLA-3RD FLOOR(BLACK)                             ,3995,04/25/2016,RACK                                              ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0002617200001       ,END CAP - TARGET (3RD FLOOR)                                ,2593,04/25/2016,RACK                                              ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000474400011       ,BRAND NEW FACTORY - ASSEMBLED ""CATERPILL                    ,1975,04/20/2016,GENERATOR                                         ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000474400012       ,BRAND NEW FACTORY - ASSEMBLED ""CATERPILL                    ,1975,04/20/2016,GENERATOR                                         ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000275800001       ,10 KVA RIELLO SENTINEL DUAL SDL 10000                       ,1800,05/11/2016,UPS                                               ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000275600001       ,6 KVA RIELLO SDL ONLINE UPS                                 ,1230,05/11/2016,UPS                                               ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000275700001       ,3 KVA RIELLO SDH ONLINE UPS                                 ,9562,05/11/2016,UPS                                               ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000583000025       ,DESKTOP W/OUT OS & W/ REGULATOR MONITOR                     ,2580,05/11/2016,COMPUTER                                          ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000583000026       ,DESKTOP W/OUT OS & W/ REGULATOR MONITOR                     ,2580,05/11/2016,COMPUTER                                          ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000583000027       ,DESKTOP W/OUT OS & W/ REGULATOR MONITOR                     ,2580,05/11/2016,COMPUTER                                          ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000583000028       ,DESKTOP W/OUT OS & W/ REGULATOR MONITOR                     ,2580,05/11/2016,COMPUTER                                          ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000583000029       ,DESKTOP W/OUT OS & W/ REGULATOR MONITOR                     ,2580,05/11/2016,COMPUTER                                          ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000583000030       ,DESKTOP W/OUT OS & W/ REGULATOR MONITOR                     ,2580,05/11/2016,COMPUTER                                          ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000583000031       ,DESKTOP W/OUT OS & W/ REGULATOR MONITOR                     ,2580,05/11/2016,COMPUTER                                          ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000583000032       ,DESKTOP W/OUT OS & W/ REGULATOR MONITOR                     ,2580,05/11/2016,COMPUTER                                          ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000583000033       ,DESKTOP W/OUT OS & W/ REGULATOR MONITOR                     ,2580,05/11/2016,COMPUTER                                          ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000583000034       ,DESKTOP W/OUT OS & W/ REGULATOR MONITOR                     ,2580,05/11/2016,COMPUTER                                          ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000583000035       ,DESKTOP W/OUT OS & W/ REGULATOR MONITOR                     ,2580,05/11/2016,COMPUTER                                          ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000583000036       ,DESKTOP W/OUT OS & W/ REGULATOR MONITOR                     ,2580,05/11/2016,COMPUTER                                          ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000583000037       ,DESKTOP W/OUT OS & W/ REGULATOR MONITOR                     ,2580,05/11/2016,COMPUTER                                          ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000583000038       ,DESKTOP W/OUT OS & W/ REGULATOR MONITOR                     ,2580,05/11/2016,COMPUTER                                          ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000583000039       ,DESKTOP W/OUT OS & W/ REGULATOR MONITOR                     ,2580,05/11/2016,COMPUTER                                          ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000583000040       ,DESKTOP W/OUT OS & W/ REGULATOR MONITOR                     ,2580,05/11/2016,COMPUTER                                          ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000446600003       ,ISLAND GONDOLA 1 BAY - H210 X L125 X D47CM                  ,2496,04/25/2016,GONDOLA                                           ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000446600004       ,ISLAND GONDOLA 1 BAY - H210 X L125 X D47CM                  ,2496,04/25/2016,GONDOLA                                           ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000446900042       ,ISLAND GONDOLA 2 BAYS - H210 X L125 X D47CM                 ,4097,04/25/2016,GONDOLA                                           ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000446900043       ,ISLAND GONDOLA 2 BAYS - H210 X L125 X D47CM                 ,4097,04/25/2016,GONDOLA                                           ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000446900044       ,ISLAND GONDOLA 2 BAYS - H210 X L125 X D47CM                 ,4097,04/25/2016,GONDOLA                                           ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000446900045       ,ISLAND GONDOLA 2 BAYS - H210 X L125 X D47CM                 ,4097,04/25/2016,GONDOLA                                           ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000446900046       ,ISLAND GONDOLA 2 BAYS - H210 X L125 X D47CM                 ,4097,04/25/2016,GONDOLA                                           ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
0000446900047       ,ISLAND GONDOLA 2 BAYS - H210 X L125 X D47CM                 ,4097,04/25/2016,GONDOLA                                           ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
