barcode,desc,acost,adate,cat_type,locname,dept
0000383500001       ,ASAHI WALL FAN                                              ,2004.4,05/12/2012,FAN                                               ,BOHOL AGRO MARINE DEV'T CORP. ,BAMDECORP-WAREHOUSE                               
0000399600001       ,APRON HANGER                                                ,2450  ,02/21/2003,HANGER                                            ,BOHOL AGRO MARINE DEV'T CORP. ,BAMDECORP-PRODUCTION                              
0000412700001       ,SMALL TABLE                                                 ,2400  ,08/01/2006,TABLE                                             ,BOHOL AGRO MARINE DEV'T CORP. ,BAMDECORP-ENGINEERING DEPARTMENT                  
0000853400001       ,4 DRAWER LATERAL CABINET                                    ,17234.,04/20/2009,CABINET                                           ,BOHOL AGRO MARINE DEV'T CORP. ,BAMDECORP-ENGINEERING DEPARTMENT                  
0000800700001       ,PUSH CART  40                                               ,10685.,11/10/2009,CART                                              ,BOHOL AGRO MARINE DEV'T CORP. ,BAMDECORP-ENGINEERING DEPARTMENT                  
0001074200001       ,RBMD 9C74 WAVEBREAK 18-QUART                                ,1017.9,07/01/2013,SPARE PARTS                                       ,BOHOL AGRO MARINE DEV'T CORP. ,BAMDECORP-ENGINEERING DEPARTMENT                  
0001091800001       ,ISUZU NHR - DOUBLE CAB-WAP 290                              ,447846,11/01/1997,DOUBLE CAB                                        ,CENTRAL MOTORPOOL COMPLEX     ,CDC-MOTORPOOL                                     
0001091900001       ,ISUZU FORWARD-XHY 835                                       ,355000,02/01/1998,FORWARD                                           ,CENTRAL MOTORPOOL COMPLEX     ,CDC-MOTORPOOL                                     
0001092500001       ,ISUZU FORWARD PLT. AAT 4015                                 ,930000,05/31/2015,FORWARD                                           ,MFI-POULTRY LAYER             ,POULTRY-FIXED ASSET DEPARTMENT                    
0001092800001       ,CHAIN BLOCK                                                 ,7000  ,01/17/1997,TOOLS                                             ,BOHOL AGRO MARINE DEV'T CORP. ,BAMDECORP-ENGINEERING DEPARTMENT                  
0001092900002       ,MAKITA ANGLE GRINDER                                        ,3500  ,03/23/2001,TOOLS                                             ,BOHOL AGRO MARINE DEV'T CORP. ,BAMDECORP-ENGINEERING DEPARTMENT                  
0001093000001       ,MAKITA BLOWER UB-1100                                       ,3440  ,04/30/2009,TOOLS                                             ,BOHOL AGRO MARINE DEV'T CORP. ,BAMDECORP-ENGINEERING DEPARTMENT                  
0001093100001       ,PIPE WRENCH                                                 ,5312  ,04/30/1995,TOOLS                                             ,BOHOL AGRO MARINE DEV'T CORP. ,BAMDECORP-ENGINEERING DEPARTMENT                  
