barcode,desc,acost,adate,cat_type,locname,dept
0119-0003198800001  ,AIRCON CARRIER 2HP WINDOW TYPE                              ,48733,12/07/2021,AIRCON                                            ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-ADMIN                                         
0119-0005735700001  ,HEAT GUN STANLEY                                            ,2795.,03/28/2022,TOOLS                                             ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0007543200001  ,TPLINK SG1008P 8 PORT GIGABIT SWITCH                        ,2946.,04/22/2022,SWITCH                                            ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0026-0003869900050  ,CISCO UC PHONE 7821                                         ,7249.,01/27/2022,TELEPHONE                                         ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0002846500001  ,4 JAY ANTENNA                                               ,2800 ,05/31/2022,OTHERS                                            ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0003518200001  ,KENWOOD BASE TK-7108VHF FM TRANSCEIVER                      ,11500,05/31/2022,RADIO BASE                                        ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0006326800001  ,POWER SUPPLY STATION 13.8V 25 AMPS                          ,5800 ,05/31/2022,POWER SUPPLY                                      ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0004482100001  ,CIGNAL SATELLITE DISH W/ DIGITAL TV BOX                     ,1776.,07/20/2023,SATELLITE                                         ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0004482100002  ,CIGNAL SATELLITE DISH W/ DIGITAL TV BOX                     ,2015.,06/07/2022,SATELLITE                                         ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0005127600001  ,FINGERPRINT TIME ATTENDANCE TERMINAL 3000TC                 ,8750 ,08/17/2022,OTHERS                                            ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0005127600002  ,FINGERPRINT TIME ATTENDANCE TERMINAL 3000TC                 ,8750 ,08/17/2022,OTHERS                                            ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0007806100001  ,WULI HEAVY DUTY HIGH PRESSURE GUN W-150L SHORT              ,4000 ,08/22/2022,PRESSURE WASHER                                   ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0007806100002  ,WULI HEAVY DUTY HIGH PRESSURE GUN W-150L SHORT              ,4000 ,08/22/2022,PRESSURE WASHER                                   ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0007806100003  ,WULI HEAVY DUTY HIGH PRESSURE GUN W-150L SHORT              ,4000 ,08/22/2022,PRESSURE WASHER                                   ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0007806100004  ,WULI HEAVY DUTY HIGH PRESSURE GUN W-150L SHORT              ,4000 ,08/22/2022,PRESSURE WASHER                                   ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0007806100005  ,WULI HEAVY DUTY HIGH PRESSURE GUN W-150L SHORT              ,4000 ,08/22/2022,PRESSURE WASHER                                   ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0007100000001  ,RUIJIE SWITCH XS-S1960-24GT4SFP-UP-H LAYER 3                ,29910,09/09/2022,VEHICLE                                           ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0003200100001  ,KNAPSACK SPRAYER TUNGHO                                     ,2706 ,09/12/2022,SPRAYER                                           ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0003200100002  ,KNAPSACK SPRAYER TUNGHO                                     ,2706 ,09/12/2022,SPRAYER                                           ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0003200100003  ,KNAPSACK SPRAYER TUNGHO                                     ,2706 ,09/12/2022,SPRAYER                                           ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0003200100004  ,KNAPSACK SPRAYER TUNGHO                                     ,2706 ,09/12/2022,SPRAYER                                           ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0007872200001  ,MAIN DISTRIBUTION PANEL(MDP)                                ,45930,09/12/2022,PANEL BOARD                                       ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0008192900001  ,DOWELL HEAVY DUTY GAS STOVE 1GS-288                         ,1783 ,09/26/2022,STOVE                                             ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0008192900002  ,DOWELL HEAVY DUTY GAS STOVE 1GS-288                         ,1783 ,09/26/2022,STOVE                                             ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0070-0004934600026  ,SUBMERSIBLE PUMP STREAMPLUS 1HP                             ,12053,05/12/2022,PUMP                                              ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0007067000001  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,13794,11/10/2022,LOCKER                                            ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0007067000002  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,13794,11/10/2022,LOCKER                                            ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0007067000003  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,13794,11/10/2022,LOCKER                                            ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0007067000004  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,13794,11/10/2022,LOCKER                                            ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0008400200001  ,MOTOLITE GOLD 21 (3SMF N702 D3IR)                           ,5775 ,02/01/2023,BATTERY                                           ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0008400200002  ,MOTOLITE GOLD 21 (3SMF N702 D3IR)                           ,5775 ,02/01/2023,BATTERY                                           ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0008399900001  ,POLARIZED WELDING LENS W/ MASK                              ,2999 ,02/01/2023,OTHERS                                            ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0008399000001  ,FLUKE DUGITAL CLAMP METER                                   ,37286,02/15/2023,CLAMP  METER                                      ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0008396700001  ,PORTABLE DRILL DEWALT                                       ,18303,02/16/2023,DRILL                                             ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0008170100001  ,UBIQUITY AIR FIBER AF-5XHD                                  ,31000,02/17/2023,ROUTER                                            ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0008170200001  ,UBIQUITY AF-5G30-S45                                        ,11000,02/17/2023,ROUTER                                            ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0008170100002  ,UBIQUITY AIR FIBER AF-5XHD                                  ,31000,03/01/2023,ROUTER                                            ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0008170200002  ,UBIQUITY AF-5G30-S45                                        ,11000,03/01/2023,ROUTER                                            ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0008451500001  ,RG-EW1800GX PRO                                             ,6214.,03/08/2023,ROUTER                                            ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0008231800001  ,LINTRATEK NEW ALC TRI BAND(SIGNAL BOOSTER)                  ,6523.,03/01/2023,OTHERS                                            ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0007970000001  ,UBIQUITY SECTOR ANTENNA AM-5G20-90                          ,10850,  /  /    ,ELECTRICAL PARTS                                  ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0007970800002  ,UBIQUITY ROCKET PRISM RP-5AC-GEN2                           ,17750,01/16/2023,ELECTRICAL PARTS                                  ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0007970900003  ,UBIQUITY LITE BEAM LBE-5AC-GEN2                             ,5250 ,01/16/2023,ELECTRICAL PARTS                                  ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0007970900004  ,UBIQUITY LITE BEAM LBE-5AC-GEN2                             ,5250 ,01/16/2023,ELECTRICAL PARTS                                  ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0007872400001  ,DRY TYPE TRANSFORMER 250 KVA                                ,30000,09/30/2022,TRANSFORMER                                       ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
0119-0008835200001  ,32"" DIGITAL SAMRT TV( HLED32HDDJSMP8G HANABISHI)            ,14399,06/20/2023,TV                                                ,MFI-BREEDER LAPSAON DIMIAO    ,BLD-LAPSAON ADMIN                                 
