barcode,desc,acost,adate,cat_type,locname,dept
0117-0003207700001  ,PRINTER EPSON LQ-310                                        ,13395,12/01/2021,PRINTER                                           ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0004230500001  ,MONITOR AOC 18.5""                                           ,4750 ,12/01/2021,MONITOR                                           ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0006751900001  ,CPU INTEL CORE I3-10100                                     ,16000,12/01/2021,CPU                                               ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0000852100001  ,KENWOOD HANDHELD RADIO TK-2107 VHF FM TRANSCEIVER           ,8500 ,12/09/2021,RADIO                                             ,MFI-BREEDER SUBAYON BILAR     ,BSB-ADMIN                                         
0117-0000852100006  ,KENWOOD HANDHELD RADIO TK-2107 VHF FM TRANSCEIVER           ,8500 ,12/09/2021,RADIO                                             ,MFI-BREEDER SUBAYON BILAR     ,BSB-ADMIN                                         
0117-0000852100008  ,KENWOOD HANDHELD RADIO TK-2107 VHF FM TRANSCEIVER           ,8500 ,12/09/2021,RADIO                                             ,MFI-BREEDER SUBAYON BILAR     ,BSB-ADMIN                                         
0117-0007142000001  ,CONDURA NEGOSYO INVERTER PRO 2 DOOR 9.8 CU. FT              ,23555,12/07/2021,REFRIGERATOR                                      ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0007142200001  ,WASHING MACHINE LG 12 KG TWIN TUB PT1200R                   ,13295,12/07/2021,WASHING MACHINE                                   ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0003837900001  ,HYPO CHLORINATOR (PULSATRON)                                ,40000,01/06/2022,MACHINE TOOLS                                     ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0003837900002  ,HYPO CHLORINATOR (PULSATRON)                                ,40000,01/06/2022,MACHINE TOOLS                                     ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0007263200001  ,ZEKOKI BLOWER                                               ,2249.,01/13/2022,BLOWER                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0007263400001  ,KEN GRINDER                                                 ,2519.,01/13/2022,GRINDER                                           ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0007266100001  ,MULTI TESTER YX X 360 TRF                                   ,2280 ,02/02/2022,TEST KIT                                          ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0005860500001  ,STANLEY BLOWER 600W                                         ,3649 ,01/27/2022,TOOLS                                             ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0001125500001  ,SANWA ANALOG CLAMP METER TESTER #CAM-600S                   ,5142.,02/07/2022,MULTI-TESTER                                      ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0001050900001  ,KAWASAKI  POWER SPRAYER 1.5HP                               ,6607.,02/16/2022,PRESSURE WASHER                                   ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0001050900002  ,KAWASAKI  POWER SPRAYER 1.5HP                               ,6607.,02/16/2022,PRESSURE WASHER                                   ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0001050900003  ,KAWASAKI  POWER SPRAYER 1.5HP                               ,6607.,02/16/2022,PRESSURE WASHER                                   ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0003229800001  ,WULI POWER SPRAYER 2HP                                      ,24200,02/16/2022,POWER SPRAYER                                     ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0003229800002  ,WULI POWER SPRAYER 2HP                                      ,24200,02/16/2022,POWER SPRAYER                                     ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0003229800003  ,WULI POWER SPRAYER 2HP                                      ,24200,02/16/2022,POWER SPRAYER                                     ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0003229800004  ,WULI POWER SPRAYER 2HP                                      ,24200,02/16/2022,POWER SPRAYER                                     ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0007373400001  ,HANABISHI SMART LED TV                                      ,14399,02/17/2022,TV                                                ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0000604500001  ,PRINTER EPSON LQ310 W/ USB PRINTER CABLE                    ,15495,03/14/2022,PRINTER                                           ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0004305200001  ,COMPUTER SET INTEL CORE I3                                  ,24780,03/14/2022,COMPUTER                                          ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0007368300001  ,KDK SIDEWALL PROPELLER FAN                                  ,4400 ,03/01/2022,EXHAUST FAN                                       ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0007368300002  ,KDK SIDEWALL PROPELLER FAN                                  ,4400 ,03/01/2022,EXHAUST FAN                                       ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
