barcode,desc,acost,adate,cat_type,locname,dept
0116-0001797400001  ,MITS. FUSO CANTER FE83 CS#:NC6107 PL#:GBQ-1026              ,1096551,05/08/2016,VEHICLE                                           ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007121900001  ,HONDA TMX                                                   ,68500  ,05/20/2010,MOTORCYCLE-BRAND NEW                              ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007122600001  ,ISUZU FORWARD TRUCK PL#:RJE-910                             ,590850 ,08/12/2010,VEHICLE                                           ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007123800001  ,BICYCLE NEXT 20X14G E/T WALL ALLOY RIM                      ,2200   ,11/30/2010,OTHERS                                            ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007124200001  ,FUSO CANTER EGG VAN PL#:RLD-751                             ,615500 ,09/14/2011,VEHICLE                                           ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007126000001  ,ISUZU ELF CARGO PL#:RLN-484                                 ,685500 ,02/29/2012,VEHICLE                                           ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007126600001  ,DIFFERENTIAL CARRIER ASSY                                   ,45000  ,01/30/2015,VEHICLE                                           ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007128700001  ,MITSUBISHI STRADA GL 4X4                                    ,265000 ,09/08/2016,VEHICLE                                           ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0001291300001  ,MITSUBISHI FUSO CANTER FE85 CAB & CHASSIS                   ,1587071,09/27/2018,VEHICLE                                           ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007129000001  ,ISUZU FORWARD ALUM. WING VAN PL#:RMJ-971                    ,975000 ,01/09/2013,VEHICLE                                           ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007129900001  ,SPARE PARTS FOR MITSU. FUSO CANTER DROPSIDE FE85            ,103204.,09/27/2018,VEHICLE                                           ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007130000001  ,MITSUBISHI FUSO CANTER FEB4                                 ,1471000,10/25/2018,VEHICLE                                           ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007130000002  ,MITSUBISHI FUSO CANTER FEB4                                 ,1471000,10/25/2018,VEHICLE                                           ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007130100001  ,FREEZER VAN PLATE # B3S228;229                              ,1072743,06/26/2019,VEHICLE                                           ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0001101000001  ,REFRIGERATOR SANYO                                          ,6695   ,07/19/2016,REFRIGERATOR                                      ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0001120000001  ,AIRCON CARRIER                                              ,21310.0,02/04/2014,AIRCON                                            ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0003187700001  ,ROBIN GRASS CUTTER                                          ,13734  ,05/13/2011,MACHINE TOOLS                                     ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0003232200001  ,AIRCON CARRIER 1.5HP                                        ,20254.0,05/23/2012,AIRCON                                            ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0003523300001  ,OVERHEAD TANK                                               ,1010000,02/28/2010,TANK                                              ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0006242600001  ,FREEZER FUJIDENZO 13 CU FT.                                 ,20592  ,03/26/2013,FREEZER/CHILLER                                   ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007130200001  ,GOULDS SUB PUMP 2HP MODEL # 25GS20412                       ,84492.8,12/09/2009,PUMP                                              ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007130300001  ,PANEL BOARD CONTROL 2HP                                     ,16530  ,12/09/2009,PANEL BOARD                                       ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007130400001  ,STIHL GRASS CUTTER 1.3HP                                    ,14800  ,04/12/2011,GRASS CUTTER                                      ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007130600001  ,WHIRLPOOL REFRIGERATOR WRD 63N-SL                           ,12478  ,05/26/2010,REFRIGERATOR                                      ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007130800001  ,G.I PIPE 11/4X6S40                                          ,1694.64,08/27/2015,PIPE                                              ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007130800002  ,G.I PIPE 11/4X6S40                                          ,1694.64,08/27/2015,PIPE                                              ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007130800003  ,G.I PIPE 11/4X6S40                                          ,1694.64,08/27/2015,PIPE                                              ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007130800004  ,G.I PIPE 11/4X6S40                                          ,1694.64,08/27/2015,PIPE                                              ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007130800005  ,G.I PIPE 11/4X6S40                                          ,1694.64,08/27/2015,PIPE                                              ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007130800006  ,G.I PIPE 11/4X6S40                                          ,1694.64,08/27/2015,PIPE                                              ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007130800007  ,G.I PIPE 11/4X6S40                                          ,1694.64,08/27/2015,PIPE                                              ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007131600001  ,WASHING MACHINE SHARP 9.5KG                                 ,8998   ,01/26/2016,WASHING MACHINE                                   ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007131700001  ,SHOWER HEATER 3.5 KW                                        ,5600   ,01/23/2016,HEATER                                            ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0002496900001  ,WASHING MACHINE LG WM WP 14KG                               ,14795  ,08/11/2016,WASHING MACHINE                                   ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0002496900002  ,WASHING MACHINE LG WM WP 14KG                               ,14795  ,08/11/2016,WASHING MACHINE                                   ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0006163400001  ,AIRCON CARRIER 2HP                                          ,27200  ,05/16/2017,AIRCON                                            ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007131900001  ,GRASS CUTTER FUJI 4 STROKE ROBIN                            ,12852  ,11/03/2016,GRASS CUTTER                                      ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007131900002  ,GRASS CUTTER FUJI 4 STROKE ROBIN                            ,12852  ,11/03/2016,GRASS CUTTER                                      ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007132000001  ,SHOWER HEATER                                               ,6199.75,02/24/2017,HEATER                                            ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007132000002  ,SHOWER HEATER                                               ,6199.75,02/24/2017,HEATER                                            ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007132000003  ,SHOWER HEATER                                               ,6199.75,02/24/2017,HEATER                                            ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007132100001  ,WELDING MACHINE 300A                                        ,18500  ,05/31/2017,MACHINE                                           ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007132200001  ,MAXSELL ROTARY BARINA MRH2400                               ,7499.75,07/04/2017,MACHINE                                           ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000393900001  ,WOODEN DINING TABLE                                         ,5100   ,05/25/2010,TABLE                                             ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000915100001  ,SHARP WASHING MACHINE                                       ,9498   ,12/14/2019,WASHING MACHINE                                   ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300001  ,STEEL DOUBLE DECK                                           ,3000   ,05/25/2010,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300002  ,STEEL DOUBLE DECK                                           ,3000   ,05/25/2010,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300003  ,STEEL DOUBLE DECK                                           ,3000   ,05/25/2010,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300004  ,STEEL DOUBLE DECK                                           ,3000   ,05/25/2010,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300005  ,STEEL DOUBLE DECK                                           ,3000   ,05/25/2010,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300006  ,STEEL DOUBLE DECK                                           ,3000   ,05/25/2010,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300007  ,STEEL DOUBLE DECK                                           ,3000   ,05/25/2010,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300008  ,STEEL DOUBLE DECK                                           ,3000   ,05/25/2010,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0001725000001  ,WOODEN COMPUTER TABLE                                       ,5200   ,05/25/2010,TABLE                                             ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0002588900001  ,OFFICE TABLE WOODEN                                         ,5200   ,05/25/2010,TABLE                                             ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0002588900002  ,OFFICE TABLE WOODEN                                         ,5200   ,05/25/2010,TABLE                                             ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007132000004  ,SHOWER HEATER                                               ,6199.75,08/16/2017,HEATER                                            ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007132300001  ,SANYO FUJIDENZO REFRIGERATOR RB30LS/KLS                     ,6600   ,06/06/2017,REFRIGERATOR                                      ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007132500001  ,PRESSURIZED HOSE 100MT                                      ,8000   ,03/12/2018,OTHERS                                            ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007132500002  ,PRESSURIZED HOSE 100MT                                      ,8000   ,03/12/2018,OTHERS                                            ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007132700001  ,PORTABLE WELDING MACHINE INVERTER EAGLE                     ,18000  ,07/08/2021,MACHINE                                           ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007133000001  ,FUJIDENZO SHOWCASE CHILLER                                  ,24100  ,08/23/2021,CHILLER                                           ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007133400001  ,POWER PRESSURIZED SPRAYER                                   ,23500  ,09/28/2021,SPRAYER                                           ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007133400002  ,POWER PRESSURIZED SPRAYER                                   ,23500  ,09/28/2021,SPRAYER                                           ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007133700001  ,BACK HOE LOADER CATERPILLAR                                 ,2164215,08/18/2021,OTHERS                                            ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007133900001  ,STEEL CHAIR BENCH                                           ,1980   ,05/25/2010,CHAIR                                             ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007133900002  ,STEEL CHAIR BENCH                                           ,1980   ,05/25/2010,CHAIR                                             ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007134100001  ,WOODEN TOOL CABINET                                         ,5903.80,06/07/2010,CABINET-WOODEN                                    ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007134200001  ,WOODEN CABINET 1X2X.6                                       ,12000  ,11/09/2010,CABINET-WOODEN                                    ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007134200002  ,WOODEN CABINET 1X2X.6                                       ,12000  ,11/09/2010,CABINET-WOODEN                                    ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007134400001  ,GLASS MEDICINE CABINET                                      ,1      ,11/23/2010,CABINET-STEEL                                     ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007124300001  ,EGG VAN RLG-269                                             ,615500 ,09/14/2011,VEHICLE                                           ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000130700001  ,HANGING CABINET                                             ,3150   ,03/20/2012,CABINET                                           ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300009  ,STEEL DOUBLE DECK                                           ,5500   ,11/19/2011,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300010  ,STEEL DOUBLE DECK                                           ,5500   ,11/19/2011,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000968900001  ,OFFICE TABLE                                                ,4126.47,03/13/2012,TABLE                                             ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0001191300001  ,CONFERENCE TABLE                                            ,6456.93,09/21/2011,TABLE                                             ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0001213300001  ,DOUBLE DECK                                                 ,5500   ,07/12/2012,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0001213300002  ,DOUBLE DECK                                                 ,5500   ,07/12/2012,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0001552700001  ,DINING TABLE                                                ,6804.15,09/21/2011,TABLE                                             ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0001552700002  ,DINING TABLE                                                ,6804.15,09/21/2011,TABLE                                             ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0001607500001  ,WOODEN TABLE SHELVES 70X15X30                               ,5690.41,02/14/2013,TABLE                                             ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0003268100001  ,WOODEN SHELVES 3.9X40X1.44                                  ,17057.8,05/07/2013,SHELVES                                           ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0003268100002  ,WOODEN SHELVES 3.9X40X1.44                                  ,17057.8,05/07/2013,SHELVES                                           ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0003546000001  ,BENCH STEEL                                                 ,3900   ,03/13/2012,BENCH                                             ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0003546000002  ,BENCH STEEL                                                 ,3900   ,03/13/2012,BENCH                                             ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0003546000003  ,BENCH STEEL                                                 ,3900   ,03/13/2012,BENCH                                             ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0003546000004  ,BENCH STEEL                                                 ,3900   ,03/13/2012,BENCH                                             ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0004237000001  ,STEEL CABINET 4 DRAWERS WRINKLE                             ,7800   ,02/16/2013,CABINET                                           ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0004404400001  ,ROLLER BLINDS                                               ,11833.5,01/11/2012,OTHERS                                            ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007134300001  ,ROLLER BLINDS 57X52                                         ,2933.65,01/11/2012,BLINDS                                            ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007134500001  ,ROLLER BLINDS FOR FIXED DOOR                                ,3010.65,01/11/2012,BLINDS                                            ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007134500002  ,ROLLER BLINDS FOR FIXED DOOR                                ,3010.65,01/11/2012,BLINDS                                            ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007134500003  ,ROLLER BLINDS FOR FIXED DOOR                                ,3010.65,01/11/2012,BLINDS                                            ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007134600001  ,COFTA BENCH OFFICE                                          ,1513.71,06/13/2012,BENCH                                             ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007134900001  ,WOODEN CABINET 1.35X.20                                     ,11859.7,04/21/2012,CABINET-WOODEN                                    ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007135000001  ,WOODEN CABINET 1.80X1.00                                    ,13500  ,04/21/2012,CABINET-WOODEN                                    ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007135000002  ,WOODEN CABINET 1.80X1.00                                    ,13500  ,04/21/2012,CABINET-WOODEN                                    ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007135000003  ,WOODEN CABINET 1.80X1.00                                    ,13500  ,04/21/2012,CABINET-WOODEN                                    ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007135100001  ,WOODEN CABINET 1.80X2.40                                    ,32400  ,04/21/2012,CABINET-WOODEN                                    ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007135200001  ,WOODEN CABINET 1.6X2.1                                      ,25200  ,07/12/2021,CABINET-WOODEN                                    ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007135300001  ,WOODEN CABINET 1.8X1.4                                      ,18900  ,07/12/2021,CABINET-WOODEN                                    ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007135400001  ,BOOTS RACK (8 PAIRS CAP)                                    ,2840   ,05/07/2013,RACK                                              ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007135400002  ,BOOTS RACK (8 PAIRS CAP)                                    ,2840   ,05/07/2013,RACK                                              ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007135400003  ,BOOTS RACK (8 PAIRS CAP)                                    ,2840   ,05/07/2013,RACK                                              ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
