barcode,desc,acost,adate,cat_type,locname,dept
FAD-0122-0012158300001   ,BIOMETRICKS ZKTECO K30 FINGER READER/TIME                   ,7600,05/09/2025,BIOMETRICS                                        ,AGGREGATES & CONSTRUCTION MATE,AGGREGATES & CONS.-ADMIN                          
FAD-0122-0012212600001   ,INJECTION PUMP CALIBRATE                                    ,9553,08/04/2025,PUMP                                              ,AGGREGATES & CONSTRUCTION MATE,AGGREGATES & CONS.-ADMIN                          
FAD-0122-0010558200001   ,KARCHER POWER SPRAY                                         ,5442,08/08/2025,PRESSURE WASHER                                   ,AGGREGATES & CONSTRUCTION MATE,AGGREGATES & CONS.-ADMIN                          
FAD-0122-0009858700001   ,SAND WASHER SLURRY PUMP                                     ,5955,11/20/2025,PUMP                                              ,AGGREGATES & CONSTRUCTION MATE,AGGREGATES & CONS.-ADMIN                          
FAD-0122-0009858700002   ,SAND WASHER SLURRY PUMP                                     ,5955,11/20/2025,PUMP                                              ,AGGREGATES & CONSTRUCTION MATE,AGGREGATES & CONS.-ADMIN                          
FAD-0122-0012492000001   ,SLURRY PUMP                                                 ,6205,02/02/2026,PUMP                                              ,AGGREGATES & CONSTRUCTION MATE,AGGREGATES & CONS.-ADMIN                          
FAD-0122-0012770700001   ,CARRIER A/C 53CXV030308-1 3HP                               ,6589,02/13/2026,AIRCON                                            ,AGGREGATES & CONSTRUCTION MATE,AGGREGATES & CONS.-ADMIN                          
FAD-0122-0012770700002   ,CARRIER A/C 53CXV030308-1 3HP                               ,6589,02/13/2026,AIRCON                                            ,AGGREGATES & CONSTRUCTION MATE,AGGREGATES & CONS.-ADMIN                          
FAD-0122-0000996400001   ,GANG CHAIR 4 SEATER                                         ,1165,03/10/2026,CHAIR                                             ,AGGREGATES & CONSTRUCTION MATE,AGGREGATES & CONS.-ADMIN                          
FAD-0122-0000996400002   ,GANG CHAIR 4 SEATER                                         ,1165,03/10/2026,CHAIR                                             ,AGGREGATES & CONSTRUCTION MATE,AGGREGATES & CONS.-ADMIN                          
