barcode,desc,acost,adate,cat_type,locname,dept
FAD-0006-0008669100005   ,82790 SHARP SMART 2T C42DF1X                                ,12841.07000,03/11/2024,TV                                                ,ASC MAIN                      ,ASCM-SAFETY & SECURITY DEPARTMENT                 
FAD-0006-0008669100006   ,82790 SHARP SMART 2T C42DF1X                                ,12841.07000,03/11/2024,TV                                                ,ASC MAIN                      ,ASCM-SAFETY & SECURITY DEPARTMENT                 
FAD-0006-0008166400001   ,EPSON LQ310 DOT MATRIX PRINTER                              ,12589.29000,04/05/2024,PRINTER                                           ,ASC MAIN                      ,ASCM-GROCERY PURCHASING                           
FAD-0006-0008166400002   ,EPSON LQ310 DOT MATRIX PRINTER                              ,12589.29000,04/05/2024,PRINTER                                           ,ASC MAIN                      ,ASCM-GROCERY PURCHASING                           
FAD-0006-0001789700001   ,FABRICATION & INSTALLATION OF PACKAGE COUNTER               ,254464.2900,04/14/2024,COUNTER                                           ,ASC MAIN                      ,ASCM-ADMIN                                        
FAD-0006-0008322200001   ,HIKVISION NVR 16 CHANNEL                                    ,4464.29000 ,07/03/2024,RECORDER                                          ,ASC MAIN                      ,ASCM-ENGINEERING DEPARTMENT                       
FAD-0006-0010012100001   ,KAWASAKI POWER SPRAYER                                      ,7142.86000 ,06/04/2024,SPRAYER                                           ,ASC MAIN                      ,ASCM-FRESHMARKET                                  
FAD-0006-0009574800001   ,EBARA HORIZONTAL SPLIT CASE CENTRIFUGAL PUMP                ,294642.8600,07/20/2024,PUMP                                              ,ASC MAIN                      ,ASCM-ENGINEERING DEPARTMENT                       
FAD-0006-0009574800002   ,EBARA HORIZONTAL SPLIT CASE CENTRIFUGAL PUMP                ,294642.8600,07/20/2024,PUMP                                              ,ASC MAIN                      ,ASCM-ENGINEERING DEPARTMENT                       
FAD-0006-0009492500001   ,SHARP TV 42'                                                ,12410.72000,07/31/2024,TV                                                ,ASC MAIN                      ,ASCM-SAFETY & SECURITY DEPARTMENT                 
FAD-0006-0009492500002   ,SHARP TV 42'                                                ,12410.72000,07/31/2024,TV                                                ,ASC MAIN                      ,ASCM-SAFETY & SECURITY DEPARTMENT                 
FAD-0006-0009492500003   ,SHARP TV 42'                                                ,12410.72000,07/31/2024,TV                                                ,ASC MAIN                      ,ASCM-SAFETY & SECURITY DEPARTMENT                 
FAD-0006-0009492500004   ,SHARP TV 42'                                                ,12410.72000,07/31/2024,TV                                                ,ASC MAIN                      ,ASCM-SAFETY & SECURITY DEPARTMENT                 
FAD-0006-0009822000001   ,HANDHELD SCANNER N130 BT HPRT                               ,4017.86000 ,08/13/2024,SCANNER                                           ,ASC MAIN                      ,ASCM-GROCERY CHECK OUT COUNTER                    
FAD-0006-0009822000002   ,HANDHELD SCANNER N130 BT HPRT                               ,4017.86000 ,08/13/2024,SCANNER                                           ,ASC MAIN                      ,ASCM-GROCERY CHECK OUT COUNTER                    
FAD-0006-0009822000003   ,HANDHELD SCANNER N130 BT HPRT                               ,4017.86000 ,08/13/2024,SCANNER                                           ,ASC MAIN                      ,ASCM-GROCERY CHECK OUT COUNTER                    
FAD-0006-0009822000004   ,HANDHELD SCANNER N130 BT HPRT                               ,4017.86000 ,08/13/2024,SCANNER                                           ,ASC MAIN                      ,ASCM-GROCERY CHECK OUT COUNTER                    
FAD-0006-0009822000005   ,HANDHELD SCANNER N130 BT HPRT                               ,4017.86000 ,08/13/2024,SCANNER                                           ,ASC MAIN                      ,ASCM-GROCERY CHECK OUT COUNTER                    
FAD-0006-0009824600003   ,HANDHELD SCANNER N101 HPRT                                  ,3482.14000 ,08/13/2024,SCANNER                                           ,ASC MAIN                      ,ASCM-GROCERY CHECK OUT COUNTER                    
