barcode,desc,acost,adate,cat_type,locname,dept
FAD-0011-0009084000001   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,3309.09000,01/18/2024,TELEPHONE                                         ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     
FAD-0011-0009084000002   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,3309.09000,01/18/2024,TELEPHONE                                         ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     
FAD-0011-0009084000003   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,3309.09000,01/18/2024,TELEPHONE                                         ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     
FAD-0011-0009084000004   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,3309.09000,01/18/2024,TELEPHONE                                         ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     
FAD-0011-0009084000005   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,3309.09000,01/18/2024,TELEPHONE                                         ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     
FAD-0011-0009084000006   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,3309.09000,01/18/2024,TELEPHONE                                         ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     
FAD-0011-0009084000007   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,3309.09000,01/18/2024,TELEPHONE                                         ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     
FAD-0011-0009084000008   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,3309.09000,01/18/2024,TELEPHONE                                         ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     
FAD-0011-0009084000009   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,3309.09000,01/18/2024,TELEPHONE                                         ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     
FAD-0011-0009084000010   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,3309.09000,01/18/2024,TELEPHONE                                         ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     
FAD-0011-0009158900001   ,IP PBX W/O MODULE                                           ,33873.4400,01/18/2024,TELEPHONE                                         ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     
FAD-0011-0009258100001   ,HIKVISION E - HWIB MINI BULLET  IP CAMERA 2MP               ,1600      ,03/01/2024,CAMERA                                            ,ASC TUBIGON                   ,ASCTU-SAFETY & SECURITY DEPARTMENT                
FAD-0011-0007456200003   ,TROPICAL FIRE EXTINGUISHER 10 LBS HCFC-123 GREEN            ,3973.21000,04/12/2024,FIRE EXTINGUISHER                                 ,ASC TUBIGON                   ,ASCTU-SAFETY & SECURITY DEPARTMENT                
FAD-0011-0007456200004   ,TROPICAL FIRE EXTINGUISHER 10 LBS HCFC-123 GREEN            ,3973.21000,04/12/2024,FIRE EXTINGUISHER                                 ,ASC TUBIGON                   ,ASCTU-SAFETY & SECURITY DEPARTMENT                
FAD-0011-0007456300002   ,TROPICAL FIRE EXTINGUISHER 7 KGS DRY CHEMICAL               ,1062.50000,04/12/2024,STORE SUPPLIES                                    ,ASC TUBIGON                   ,ASCTU-SAFETY & SECURITY DEPARTMENT                
FAD-0011-0007456500002   ,PRECISION FIRE EXTINGUISHER 7 KGS DRY CHEMICAL              ,1062.50000,04/12/2024,STORE SUPPLIES                                    ,ASC TUBIGON                   ,ASCTU-SAFETY & SECURITY DEPARTMENT                
FAD-0011-0003718600001   ,REPLACEMENT OF ESCALATOR SPAREPARTS                         ,803571.420,02/09/2024,ESCALATOR                                         ,ASC TUBIGON                   ,ASCTU-ADMIN                                       
FAD-0008-00049343000     ,IWATA EVAPORATIVE AIR COOLER                                ,29419.6400,06/05/2024,COOLER                                            ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     
FAD-0011-0010127900001   ,PREMIUM LINE DATA CANINET42 RU                              ,66964.2900,06/21/2024,NETWORK SWITCH                                    ,ASC TUBIGON                   ,ASCTU-ADMIN                                       
FAD-0008-00015469000     ,NICHIYU HAND PALLET TRUCK                                   ,31250     ,07/22/2024,PALLET TRUCK                                      ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     
FAD-0011-0010811700001   ,GLORY BANKNOTE COUNTER (GFB-800)                            ,49107.1400,11/05/2024,COUNTER                                           ,ASC TUBIGON                   ,ASCTU-ADMIN                                       
FAD-0008-00055374000     ,HANDHELD SCANNER USB ZEBRA DS2208 1D/2D                     ,4464.29000,11/04/2024,SCANNER                                           ,ASC TUBIGON                   ,ASCTU-INFORMATION TECHNOLOGY                      
FAD-0008-00081740000     ,EPSON TM-H6000V USB THERMAL PRINTER                         ,20535.7200,11/04/2024,PRINTER                                           ,ASC TUBIGON                   ,ASCTU-INFORMATION TECHNOLOGY                      
FAD-0008-00082951000     ,LED MONITOR 15""                                             ,5803.57000,11/04/2024,MONITOR                                           ,ASC TUBIGON                   ,ASCTU-INFORMATION TECHNOLOGY                      
FAD-0008-00106329000     ,ZEBRA SP7208 VERTICAL SCANNER                               ,11607.1400,11/04/2024,SCANNER                                           ,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              
FAD-0011-0003926500001   ,TOA REMOTE MICROPHONE :RM-200M                              ,23663.1200,01/17/2025,MICROPHONE                                        ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     
FAD-0011-0008326400001   ,TF 16/2 SPEAKER CABLE                                       ,4921.93000,01/17/2025,OTHERS                                            ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     
FAD-0011-0009585300001   ,TOA POWER AMPLIFIER P2240                                   ,30288.8000,01/17/2025,AMPLIFIER                                         ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     
FAD-0011-0010246100001   ,TOA MB-36 BRACKET                                           ,1987.70000,01/17/2025,BRACKET                                           ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     
FAD-0011-0010979600001   ,TOA VM2240 SYSTEM MANAGEMENT                                ,53762.6100,01/17/2025,AMPLIFIER                                         ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     
FAD-0011-0010980000001   ,TOA SC-630M HORN SPEAKER                                    ,4070.06000,01/17/2025,SPEAKER                                           ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     
FAD-0011-0010980000002   ,TOA SC-630M HORN SPEAKER                                    ,4070.06000,01/17/2025,SPEAKER                                           ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     
FAD-0011-0010980000003   ,TOA SC-630M HORN SPEAKER                                    ,4070.06000,01/17/2025,SPEAKER                                           ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     
FAD-0011-0010980000004   ,TOA SC-630M HORN SPEAKER                                    ,4070.06000,01/17/2025,SPEAKER                                           ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     
FAD-0011-0010980000005   ,TOA SC-630M HORN SPEAKER                                    ,4070.06000,01/17/2025,SPEAKER                                           ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     
FAD-0011-0010980000006   ,TOA SC-630M HORN SPEAKER                                    ,4070.06000,01/17/2025,SPEAKER                                           ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     
