barcode,desc,acost,adate,cat_type,locname,dept
FAD-0110-0009518100001   ,BIOMETRIC ZKTECO K30 W/ LAN PORT                            ,14508.93000,01/07/2024,BIOMETRICS                                        ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009454200001   ,DAHUA 55"" TV MONITOR                                        ,21875      ,01/12/2024,MONITOR                                           ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009516200001   ,FUJIKAMA PLATE COMPACTOR C-90 W/FK-5HP                      ,31250      ,01/20/2024,MACHINE TOOLS                                     ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009516200002   ,FUJIKAMA PLATE COMPACTOR C-90 W/FK-5HP                      ,31250      ,01/20/2024,MACHINE TOOLS                                     ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009516200003   ,FUJIKAMA PLATE COMPACTOR C-90 W/FK-5HP                      ,31250      ,01/20/2024,MACHINE TOOLS                                     ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0001523400001   ,KOBEWELD INVERTER MMA WELDING MACHINE KB-270 1P/22          ,20535.71000,01/20/2024,MACH. & EQUIPMENT                                 ,PLAZA MARCELA                 ,PM-ENGINEERING DEPARTMENT                         
FAD-0110-0001523400002   ,KOBEWELD INVERTER MMA WELDING MACHINE KB-270 1P/22          ,20535.71000,01/20/2024,MACH. & EQUIPMENT                                 ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0001523400003   ,KOBEWELD INVERTER MMA WELDING MACHINE KB-270 1P/22          ,20535.71000,01/20/2024,MACH. & EQUIPMENT                                 ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0001523400004   ,KOBEWELD INVERTER MMA WELDING MACHINE KB-270 1P/22          ,20535.71000,01/20/2024,MACH. & EQUIPMENT                                 ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0001523400005   ,KOBEWELD INVERTER MMA WELDING MACHINE KB-270 1P/22          ,20535.71000,01/20/2024,MACH. & EQUIPMENT                                 ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0006887000001   ,PPR HEATING FUSION MACHINE PTW 20-63                        ,5178.57000 ,01/20/2024,MACHINE TOOLS                                     ,PLAZA MARCELA                 ,PM-ENGINEERING DEPARTMENT                         
FAD-0110-0006887000002   ,PPR HEATING FUSION MACHINE PTW 20-63                        ,5178.57000 ,01/20/2024,MACHINE TOOLS                                     ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0006887000003   ,PPR HEATING FUSION MACHINE PTW 20-63                        ,5178.57000 ,01/20/2024,MACHINE TOOLS                                     ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0006887000004   ,PPR HEATING FUSION MACHINE PTW 20-63                        ,5178.57000 ,01/20/2024,MACHINE TOOLS                                     ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0006887000005   ,PPR HEATING FUSION MACHINE PTW 20-63                        ,5178.57000 ,01/20/2024,MACHINE TOOLS                                     ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0006887000006   ,PPR HEATING FUSION MACHINE PTW 20-63                        ,5178.57000 ,01/20/2024,MACHINE TOOLS                                     ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0006887000007   ,PPR HEATING FUSION MACHINE PTW 20-63                        ,5178.57000 ,01/20/2024,MACHINE TOOLS                                     ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0006887000008   ,PPR HEATING FUSION MACHINE PTW 20-63                        ,5178.57000 ,01/20/2024,MACHINE TOOLS                                     ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0006887000009   ,PPR HEATING FUSION MACHINE PTW 20-63                        ,5178.57000 ,01/20/2024,MACHINE TOOLS                                     ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0006887000010   ,PPR HEATING FUSION MACHINE PTW 20-63                        ,5178.57000 ,01/20/2024,MACHINE TOOLS                                     ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009533700001   ,CADWELD MOLDER (TEE WITH VERTICAL GROUND ROD)               ,6978.13000 ,01/31/2024,MACHINE TOOLS                                     ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009533800001   ,CADWELD MOLER (HORIZONTAL LAPPED X CABLE TO CABLE)          ,6978.13000 ,01/31/2024,MACHINE TOOLS                                     ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009516600001   ,BOSCH SDS MAX HAMMER GBH 5-40 D                             ,33071.43000,01/30/2024,MACHINE TOOLS                                     ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009516600002   ,BOSCH SDS MAX HAMMER GBH 5-40 D                             ,33071.43000,01/30/2024,MACHINE TOOLS                                     ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009516600003   ,BOSCH SDS MAX HAMMER GBH 5-40 D                             ,33071.43000,01/30/2024,MACHINE TOOLS                                     ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009517000001   ,BOSCH SDS PLUS HAMMER GBH 4-32 DFR                          ,25928.57000,01/30/2024,MACHINE TOOLS                                     ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009517000002   ,BOSCH SDS PLUS HAMMER GBH 4-32 DFR                          ,25928.57000,01/30/2024,MACHINE TOOLS                                     ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009517000003   ,BOSCH SDS PLUS HAMMER GBH 4-32 DFR                          ,25928.57000,01/30/2024,MACHINE TOOLS                                     ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009517100001   ,BOSCH CIRCULAR SAW GKS 190                                  ,8482.14000 ,01/30/2024,MACHINE TOOLS                                     ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009517100002   ,BOSCH CIRCULAR SAW GKS 190                                  ,8482.14000 ,01/30/2024,MACHINE TOOLS                                     ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009517100003   ,BOSCH CIRCULAR SAW GKS 190                                  ,8482.14000 ,01/30/2024,MACHINE TOOLS                                     ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0006392500001   ,ANGLE GRINDER                                               ,2071.43000 ,01/30/2024,GRINDER                                           ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0006392500002   ,ANGLE GRINDER                                               ,2071.43000 ,01/30/2024,GRINDER                                           ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0006392500003   ,ANGLE GRINDER                                               ,2071.43000 ,01/30/2024,GRINDER                                           ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0006392500004   ,ANGLE GRINDER                                               ,2071.43000 ,01/30/2024,GRINDER                                           ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0006392500005   ,ANGLE GRINDER                                               ,2071.43000 ,01/30/2024,GRINDER                                           ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0006392500006   ,ANGLE GRINDER                                               ,2071.43000 ,01/30/2024,GRINDER                                           ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0006392500007   ,ANGLE GRINDER                                               ,2071.43000 ,01/30/2024,GRINDER                                           ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0006392500008   ,ANGLE GRINDER                                               ,2071.43000 ,01/30/2024,GRINDER                                           ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0006392500009   ,ANGLE GRINDER                                               ,2071.43000 ,01/30/2024,GRINDER                                           ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0006392500010   ,ANGLE GRINDER                                               ,2071.43000 ,01/30/2024,GRINDER                                           ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009460100001   ,BOSCH HEAT GUN GHG 18-60                                    ,3035.71000 ,01/30/2024,TOOLS                                             ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009460100002   ,BOSCH HEAT GUN GHG 18-60                                    ,3035.71000 ,01/30/2024,TOOLS                                             ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009460100003   ,BOSCH HEAT GUN GHG 18-60                                    ,3035.71000 ,01/30/2024,TOOLS                                             ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009460100004   ,BOSCH HEAT GUN GHG 18-60                                    ,3035.71000 ,01/30/2024,TOOLS                                             ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009460100005   ,BOSCH HEAT GUN GHG 18-60                                    ,3035.71000 ,01/30/2024,TOOLS                                             ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009460100006   ,BOSCH HEAT GUN GHG 18-60                                    ,3035.71000 ,01/30/2024,TOOLS                                             ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009460100007   ,BOSCH HEAT GUN GHG 18-60                                    ,3035.71000 ,01/30/2024,TOOLS                                             ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009460100008   ,BOSCH HEAT GUN GHG 18-60                                    ,3035.71000 ,01/30/2024,TOOLS                                             ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009460100009   ,BOSCH HEAT GUN GHG 18-60                                    ,3035.71000 ,01/30/2024,TOOLS                                             ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009460100010   ,BOSCH HEAT GUN GHG 18-60                                    ,3035.71000 ,01/30/2024,TOOLS                                             ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009623600001   ,LEVER BLOCK 1.5TX3M                                         ,8035.71500 ,02/13/2024,TOOLS                                             ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009623600002   ,LEVER BLOCK 1.5TX3M                                         ,8035.71500 ,02/13/2024,TOOLS                                             ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009623700001   ,LEVER BLOCK 0.75X3M                                         ,4910.71000 ,02/13/2024,TOOLS                                             ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009644800001   ,VITAL CHAIN BLOCK 1.5TX3M                                   ,6696.43000 ,02/13/2024,TOOLS                                             ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009644900001   ,VITAL CHAIN BLOCK 1TX3M                                     ,5803.57000 ,02/13/2024,TOOLS                                             ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0008404800001   ,TAMPING RAMMER W/ ROBIN GASOLINE ENGINE 5HP (EY20)          ,57142.86000,02/17/2024,MACHINE TOOLS                                     ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0008404800002   ,TAMPING RAMMER W/ ROBIN GASOLINE ENGINE 5HP (EY20)          ,57142.86000,02/17/2024,MACHINE TOOLS                                     ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0008404800003   ,TAMPING RAMMER W/ ROBIN GASOLINE ENGINE 5HP (EY20)          ,57142.86000,02/17/2024,MACHINE TOOLS                                     ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009414000001   ,POWER ARC ELECTRIC BAR BENDER UP TO 50MM                    ,158928.5700,02/05/2024,MACHINE TOOLS                                     ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0009290700001   ,DRY TYPE TRANSFORMER 112.5KVA 3P 60HZ                       ,201459.8200,01/18/2024,TRANSFORMER                                       ,MARCELA FARMS INCORPORATED    ,MFI-MEAT PROCESSING PLANT                         
FAD-0110-0009291100001   ,SHIHLIN OUTDOOR  CURRENT TRANSFORMER 100/50:5               ,33928.57000,01/18/2024,TRANSFORMER                                       ,GROWOUT-GABI (DR. TAN)        ,GROWOUT GABI DR. TAN ADMIN                        
FAD-0110-0009291100002   ,SHIHLIN OUTDOOR  CURRENT TRANSFORMER 100/50:5               ,33928.57000,01/18/2024,TRANSFORMER                                       ,GROWOUT-GABI (DR. TAN)        ,GROWOUT GABI DR. TAN ADMIN                        
FAD-0110-0009291100003   ,SHIHLIN OUTDOOR  CURRENT TRANSFORMER 100/50:5               ,33928.57000,01/18/2024,TRANSFORMER                                       ,GROWOUT-GABI (DR. TAN)        ,GROWOUT GABI DR. TAN ADMIN                        
FAD-0110-0009291200001   ,SHIHLIN POTENTIAL TRANSFORMER RATIO: 8400:                  ,40178.57000,01/18/2024,TRANSFORMER                                       ,GROWOUT-GABI (DR. TAN)        ,GROWOUT GABI DR. TAN ADMIN                        
FAD-0110-0009291200002   ,SHIHLIN POTENTIAL TRANSFORMER RATIO: 8400:                  ,40178.57000,01/18/2024,TRANSFORMER                                       ,GROWOUT-GABI (DR. TAN)        ,GROWOUT GABI DR. TAN ADMIN                        
FAD-0110-0009291200003   ,SHIHLIN POTENTIAL TRANSFORMER RATIO: 8400:                  ,40178.57000,01/18/2024,TRANSFORMER                                       ,GROWOUT-GABI (DR. TAN)        ,GROWOUT GABI DR. TAN ADMIN                        
FAD-0110-0003994100001   ,WHEEL BARROW                                                ,3928.57000 ,02/24/2024,OTHERS                                            ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0003994100002   ,WHEEL BARROW                                                ,3928.57000 ,02/24/2024,OTHERS                                            ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0110-0003994100003   ,WHEEL BARROW                                                ,3928.57000 ,02/24/2024,OTHERS                                            ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
FAD-0028-0009100400001   ,CARRIER A/C FP53DFECAR0043TR                                ,87656.25000,02/21/2024,AIRCON                                            ,CENTRAL DISTRIBUTION CENTER   ,CDC-ADMIN                                         
