barcode,desc,acost,adate,cat_type,locname,dept
CAS-0120-0008402300001   ,VERIPRICE PRICE VERIFIER                                    ,23214.29000,01/02/2024,PRICE VERIFIER                                    ,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             
CAS-0120-0008402300002   ,VERIPRICE PRICE VERIFIER                                    ,23214.29000,01/02/2024,PRICE VERIFIER                                    ,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             
CAS-0120-0008402300003   ,VERIPRICE PRICE VERIFIER                                    ,23214.29000,01/02/2024,PRICE VERIFIER                                    ,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             
CAS-0120-0007794200001   ,MICROSOFT 365 BUSINESS STANDARD                             ,6696.43000 ,01/02/2024,SOFTWARE                                          ,FIXRITE PANGLAO               ,FIXRITE PANGLAO-INFORMATION TECHNOLOGY            
CAS-0120-0007794200002   ,MICROSOFT 365 BUSINESS STANDARD                             ,6696.43000 ,01/02/2024,SOFTWARE                                          ,FIXRITE PANGLAO               ,FIXRITE PANGLAO-INFORMATION TECHNOLOGY            
CAS-0120-0007794200003   ,MICROSOFT 365 BUSINESS STANDARD                             ,6696.43000 ,01/02/2024,SOFTWARE                                          ,FIXRITE PANGLAO               ,FIXRITE PANGLAO-INFORMATION TECHNOLOGY            
CAS-0120-0007794200004   ,MICROSOFT 365 BUSINESS STANDARD                             ,6696.43000 ,01/02/2024,SOFTWARE                                          ,FIXRITE PANGLAO               ,FIXRITE PANGLAO-INFORMATION TECHNOLOGY            
CAS-0120-0007794200005   ,MICROSOFT 365 BUSINESS STANDARD                             ,6696.43000 ,01/02/2024,SOFTWARE                                          ,FIXRITE PANGLAO               ,FIXRITE PANGLAO-INFORMATION TECHNOLOGY            
CAS-0120-0007794200006   ,MICROSOFT 365 BUSINESS STANDARD                             ,6696.43000 ,01/02/2024,SOFTWARE                                          ,FIXRITE PANGLAO               ,FIXRITE PANGLAO-INFORMATION TECHNOLOGY            
CAS-0120-0007794200007   ,MICROSOFT 365 BUSINESS STANDARD                             ,6696.43000 ,01/02/2024,SOFTWARE                                          ,FIXRITE PANGLAO               ,FIXRITE PANGLAO-INFORMATION TECHNOLOGY            
CAS-0120-0007794200008   ,MICROSOFT 365 BUSINESS STANDARD                             ,6696.43000 ,01/02/2024,SOFTWARE                                          ,FIXRITE PANGLAO               ,FIXRITE PANGLAO-INFORMATION TECHNOLOGY            
CAS-0120-0007794200009   ,MICROSOFT 365 BUSINESS STANDARD                             ,6696.43000 ,01/02/2024,SOFTWARE                                          ,FIXRITE PANGLAO               ,FIXRITE PANGLAO-INFORMATION TECHNOLOGY            
CAS-0120-0007794200010   ,MICROSOFT 365 BUSINESS STANDARD                             ,6696.43000 ,01/02/2024,SOFTWARE                                          ,FIXRITE PANGLAO               ,FIXRITE PANGLAO-INFORMATION TECHNOLOGY            
CAS-0120-0009084000001   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,2678.57000 ,01/11/2024,TELEPHONE                                         ,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             
CAS-0120-0009084000002   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,2678.57000 ,01/11/2024,TELEPHONE                                         ,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             
