barcode,desc,acost,adate,cat_type,locname,dept
0001457600002       ,SHELVES ISS ELITEX 24HX18DX72H                              ,4549.41000,06/01/2010,SHELVES                                           ,COLONNADE COLON               ,COLC-CHOWKING                                     
0001458200002       ,WARMER RICE ROSEWOOD 5.6 LITERS                             ,1685      ,07/01/2015,WARMER                                            ,COLONNADE COLON               ,COLC-CHOWKING                                     
0001459900001       ,ELECTRIC MOTOR 3HP SINGLE PHASE                             ,7410      ,10/06/2010,ELECTRIC MOTOR                                    ,COLONNADE COLON               ,COLC-ENGINEERING DEPT.                            
0001460700001       ,CHW EVAPORATOR COOLING                                      ,90000     ,08/25/2013,EVAPORATOR                                        ,COLONNADE COLON               ,COLC-GENERAL OVERHEAD                             
0001457600001       ,SHELVES ISS ELITEX 24HX18DX72H                              ,4549.41000,06/01/2010,SHELVES                                           ,COLONNADE COLON               ,COLC-CHOWKING                                     
0001460100001       ,MACKTECH CORDLESS DRILL                                     ,5380      ,08/22/2014,CLAMP  METER                                      ,COLONNADE COLON               ,COLC-ENGINEERING DEPT.                            
0001460200001       ,GRUNDFOS SUBMERSIBLE PUMP                                   ,53000     ,12/09/2014,PUMP                                              ,COLONNADE COLON               ,COLC-ENGINEERING DEPT.                            
0001460400002       ,HEATER 3/8 220V 1050W UTYPE                                 ,5750      ,07/23/2014,HEATER                                            ,COLONNADE COLON               ,COLC-FRESH MARKET DEPT.                           
0001460400003       ,HEATER 3/8 220V 1050W UTYPE                                 ,5750      ,07/23/2014,HEATER                                            ,COLONNADE COLON               ,COLC-FRESH MARKET DEPT.                           
0001460500001       ,PRESSURE TRANSDUCER 0-600PSI                                ,90250     ,02/15/2013,TRANSDUCER                                        ,COLONNADE COLON               ,COLC-GENERAL OVERHEAD                             
0001460900001       ,INTERCOM SYSTEM                                             ,99765     ,09/09/2010,TELEPHONE                                         ,COLONNADE COLON               ,COLC-GENERAL OVERHEAD                             
0001461200001       ,EPSON WORKFORCE GT1500                                      ,16500     ,12/19/2014,DOCUMENT SCANNER                                  ,COLONNADE COLON               ,COLC-HUMAN RESOURCE DEPARTMENT                    
0001735050003       ,NICHIYU ELECTRIC REACH TRUCK                                ,1450000   ,11/15/2016,FORKLIFT                                          ,COLONNADE COLON               ,COLC-SEACOM WAREHOUSE                             
0001461500001       ,COMPRESSOR                                                  ,12000     ,05/10/2014,AIRCON                                            ,COLONNADE COLON               ,COLC-INFORMATION TECHNOLOGY                       
