barcode,desc,acost,adate,cat_type,locname,dept
0000943800001       ,OPEN BAY RACK 4FT                                           ,5500,10/29/2013,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000029600001       ,NESTER TABLE A-005-B                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000030500001       ,NESTER TABLE D-001-A                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000030700001       ,NESTER TABLE D-001-B                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000030800001       ,NESTER TABLE D-001-C                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000030900001       ,NESTER TABLE D-002-A                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000031000001       ,NESTER TABLE D-002-B                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000031100001       ,NESTER TABLE D-002-C                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000031200001       ,NESTER TABLE D-003-A                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000031300002       ,NESTER TABLE D-003-B                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000031600001       ,NESTER TABLE D-003-C                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000031700001       ,NESTER TABLE D-004-A                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000031800001       ,NESTER TABLE D-004-B                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000031900001       ,NESTER TABLE D-004-C                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000032000001       ,NESTER TABLE D-005-A                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000032100001       ,NESTER TABLE D-005-B                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000032200001       ,NESTER TABLE D-005-C                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000032300001       ,NESTER TABLE D-006-A                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000032400001       ,NESTER TABLE D-006-B                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000032500001       ,NESTER TABLE D-006-C                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000032600001       ,NESTER TABLE D-007-A                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000032700001       ,NESTER TABLE D-007-B                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000032800001       ,NESTER TABLE D-007-C                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000032900001       ,NESTER TABLE D-008-A                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000033000002       ,NESTER TABLE D-008-B                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000033100001       ,NESTER TABLE D-008-C                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000033300001       ,NESTER TABLE D-009-A                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000033400001       ,NESTER TABLE D-009-B                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000033600001       ,NESTER TABLE D-009-C                                        ,1   ,12/31/2013,TABLE                                             ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400001       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400002       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400003       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400004       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400005       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400006       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400007       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400008       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400009       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400010       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400011       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400012       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400013       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400014       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400015       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400016       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400017       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400018       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400019       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400020       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400021       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400022       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400023       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400024       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400025       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400026       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400027       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400028       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400029       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400030       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400031       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400032       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400033       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400034       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400035       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400036       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400037       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400038       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400039       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049400040       ,POST (SLOTTED GRAY RACK) 96""                                ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049500001       ,POST W/ TUBE (SLOTTED GRAT RACK)                            ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049500002       ,POST W/ TUBE (SLOTTED GRAT RACK)                            ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049500003       ,POST W/ TUBE (SLOTTED GRAT RACK)                            ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049500004       ,POST W/ TUBE (SLOTTED GRAT RACK)                            ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049500005       ,POST W/ TUBE (SLOTTED GRAT RACK)                            ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049500006       ,POST W/ TUBE (SLOTTED GRAT RACK)                            ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049500007       ,POST W/ TUBE (SLOTTED GRAT RACK)                            ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049500008       ,POST W/ TUBE (SLOTTED GRAT RACK)                            ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
0000049500009       ,POST W/ TUBE (SLOTTED GRAT RACK)                            ,1   ,09/14/2014,RACK                                              ,COLONNADE MANDAUE             ,COLM-HOME & FASHION                               
