barcode,desc,acost,adate,cat_type,locname,dept
0001566900001       ,MITS. L300 ALAC-KRAFT PL#:TFE-643                           ,50000,02/20/2003,VEHICLE                                           ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0001621000001       ,HONDA WAVE 125 (SPLASH) PL#:2890UD                          ,1    ,12/31/2011,VEHICLE                                           ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0001571300001       ,MEIJI AVR 1000                                              ,2999.,11/07/2014,AVR                                               ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0001972000001       ,SAMSUNG GALAXY TAB S#R52FB1G283H                            ,10300,12/05/2014,TABLET                                            ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0001972000002       ,SAMSUNG GALAXY TAB S#R52FB1G2DNF                            ,10300,12/05/2014,TABLET                                            ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0001972000003       ,SAMSUNG GALAXY TAB S#R52FB1G26YM                            ,10300,12/05/2014,TABLET                                            ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0001972000006       ,SAMSUNG GALAXY TAB S#R52FB1G2GDB                            ,10300,12/05/2014,TABLET                                            ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0001972000007       ,SAMSUNG GALAXY TAB S#R52FB1G2GPM                            ,10300,12/05/2014,TABLET                                            ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0001972000008       ,SAMSUNG GALAXY TAB S#R52FB1G0DML                            ,10300,12/05/2014,TABLET                                            ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0001972000009       ,SAMSUNG GALAXY TAB S#R52FB1G0FDP                            ,10300,12/05/2014,TABLET                                            ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0001972000010       ,SAMSUNG GALAXY TAB S#R52FB1G27ST                            ,10300,12/05/2014,TABLET                                            ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0000047700002       ,STAFF CHAIR BLACK                                           ,1079 ,01/02/2013,CHAIR                                             ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0001605600001       ,TABLE 1100L - MAPLE                                         ,1922.,01/02/2013,TABLE                                             ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0000331700034       ,RAKER                                                       ,1650 ,08/17/2012,CART                                              ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0000331700035       ,RAKER                                                       ,1650 ,01/06/2014,CART                                              ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0000331700036       ,RAKER                                                       ,1800 ,11/07/2014,CART                                              ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0000331700037       ,RAKER                                                       ,1800 ,11/08/2014,CART                                              ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0000331700038       ,RAKER                                                       ,1800 ,11/08/2014,CART                                              ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0000331700039       ,RAKER                                                       ,2300 ,05/27/2014,CART                                              ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0000331700040       ,RAKER                                                       ,2300 ,06/27/2014,CART                                              ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0000331700041       ,RAKER                                                       ,2300 ,06/27/2014,CART                                              ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0000331700042       ,RAKER                                                       ,2300 ,06/27/2014,CART                                              ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0002270800004       ,TRASHBIN EK9061                                             ,3699.,02/01/2011,TRASH BIN                                         ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287300002       ,TABLE 1400L - MAPLE                                         ,3784.,02/01/2011,TABLE                                             ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287300003       ,TABLE 1400L - MAPLE                                         ,3784.,02/01/2011,TABLE                                             ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287300004       ,TABLE 1400L - MAPLE                                         ,3784.,02/01/2011,TABLE                                             ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287300005       ,TABLE 1400L - MAPLE                                         ,3784.,02/01/2011,TABLE                                             ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287400008       ,TABLE 1100L - MAPLE                                         ,3118.,02/01/2011,TABLE                                             ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287400009       ,TABLE 1100L - MAPLE                                         ,3118.,02/01/2011,TABLE                                             ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287400010       ,TABLE 1100L - MAPLE                                         ,3118.,02/01/2011,TABLE                                             ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287400012       ,TABLE 1100L - MAPLE                                         ,3118.,02/01/2011,TABLE                                             ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287400013       ,TABLE 1100L - MAPLE                                         ,3118.,02/01/2011,TABLE                                             ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287400014       ,TABLE 1100L - MAPLE                                         ,3118.,02/01/2011,TABLE                                             ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287400015       ,TABLE 1100L - MAPLE                                         ,3118.,02/01/2011,TABLE                                             ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287400016       ,TABLE 1100L - MAPLE                                         ,3118.,02/01/2011,TABLE                                             ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287400019       ,TABLE 1100L - MAPLE                                         ,3118.,02/01/2011,TABLE                                             ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287400020       ,TABLE 1100L - MAPLE                                         ,3118.,02/01/2011,TABLE                                             ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287400021       ,TABLE 1100L - MAPLE                                         ,3118.,02/01/2011,TABLE                                             ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287400022       ,TABLE 1100L - MAPLE                                         ,3118.,02/01/2011,TABLE                                             ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287500002       ,TABLE 1100L-MAPLE(GRAY KB TRAY)                             ,3351.,01/21/2012,TABLE                                             ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287500003       ,TABLE 1100L-MAPLE(GRAY KB TRAY)                             ,3351.,01/21/2012,TABLE                                             ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287600001       ,CF-46-3 CABINET DDF MOBILE                                  ,2000 ,01/21/2012,CABINET                                           ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287600002       ,CF-46-3 CABINET DDF MOBILE                                  ,2000 ,01/21/2012,CABINET                                           ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287600003       ,CF-46-3 CABINET DDF MOBILE                                  ,2000 ,01/21/2012,CABINET                                           ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287600004       ,CF-46-3 CABINET DDF MOBILE                                  ,2000 ,01/21/2012,CABINET                                           ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287700002       ,CF-46-3 CABINET DDF MOBILE                                  ,2000 ,02/01/2011,CABINET                                           ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287700003       ,CF-46-3 CABINET DDF MOBILE                                  ,2000 ,02/01/2011,CABINET                                           ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287700004       ,CF-46-3 CABINET DDF MOBILE                                  ,2000 ,02/01/2011,CABINET                                           ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287700005       ,CF-46-3 CABINET DDF MOBILE                                  ,2000 ,02/01/2011,CABINET                                           ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287700007       ,CF-46-3 CABINET DDF MOBILE                                  ,2000 ,02/01/2011,CABINET                                           ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287700008       ,CF-46-3 CABINET DDF MOBILE                                  ,2000 ,02/01/2011,CABINET                                           ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287700012       ,CF-46-3 CABINET DDF MOBILE                                  ,2000 ,02/01/2011,CABINET                                           ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
0010287700013       ,CF-46-3 CABINET DDF MOBILE                                  ,2000 ,02/01/2011,CABINET                                           ,DISTRIBUTION SALES GROUP      ,LDI-DISTRIBUTION SALES GROUP                      
