barcode,desc,acost,adate,cat_type,locname,dept
0077-0001223500001  ,AIR CURTAIN                                                 ,9370.53600,08/08/2019,CURTAIN                                           ,CHARCOAL & CHOP FOODLINE INC. ,ICM-MANG INASAL                                   
0077-0001223500002  ,AIR CURTAIN                                                 ,9370.53600,08/08/2019,CURTAIN                                           ,CHARCOAL & CHOP FOODLINE INC. ,ICM-MANG INASAL                                   
0078-0005569100001  ,ACER NBK A315 41G R4BW BLK                                  ,29016.9600,08/19/2019,LAPTOP                                            ,CRUST & PEPPER FOODLANE INC.  ,ICM-GREENWICH                                     
0078-0005569100002  ,ACER NBK A315 41G R4BW BLK                                  ,29016.9600,08/19/2019,LAPTOP                                            ,CRUST & PEPPER FOODLANE INC.  ,ICM-GREENWICH                                     
0026-0005097400001  ,16 TURBO HD/AHD/ANALOG INTERFACE INPUT                      ,16258.9280,10/21/2019,OTHERS                                            ,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      
0076-0006850000003  ,APC BVX6501-PH EASY UPS 650 VA 230V W/ AVR                  ,2550      ,03/24/2022,UPS                                               ,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      
0076-0006850000004  ,APC BVX6501-PH EASY UPS 650 VA 230V W/ AVR                  ,2550      ,03/24/2022,UPS                                               ,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      
0076-0004059100001  ,SHARP BASIC LC 24LE175M                                     ,7700      ,01/07/2020,TV                                                ,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      
0078-0005588100001  ,IPC COLD WATER MODEL PW-C21                                 ,43000     ,03/10/2020,PRESSURE WASHER                                   ,CRUST & PEPPER FOODLANE INC.  ,ICM-GREENWICH                                     
0078-0005588200001  ,SANWA ANALOG MULTI-TESTER MODEL YX 360 T                    ,2280      ,03/10/2020,MULTI-TESTER                                      ,CRUST & PEPPER FOODLANE INC.  ,ICM-GREENWICH                                     
0078-0006397000001  ,HARD DRIVE SEAGATE SKYHAWK SURVEILLANCE                     ,5500      ,06/19/2020,HARD DISK                                         ,CRUST & PEPPER FOODLANE INC.  ,ICM-RED RIBBON LGF                                
0078-0004262100001  ,FUSO FJ1823R CS#:H0A952 PL#:GAT-6807                        ,2930000   ,10/28/2020,VEHICLE                                           ,CRUST & PEPPER FOODLANE INC.  ,ICM-RED RIBBON LGF                                
0078-0005206700001  ,SAMSUNG GALAXY TAB A                                        ,7990      ,11/05/2020,TABLET                                            ,CRUST & PEPPER FOODLANE INC.  ,ASCM-JOLLIBEE                                     
0026-0001472800001  ,STEEL RACK A (4.3M)                                         ,32829.6500,02/01/2011,RACK                                              ,HEAD OFFICE                   ,HO-HUMAN RESOURCE DEPARTMENT                      
0026-0001493200001  ,STEEL RACK B (3.80M)                                        ,19002.5500,02/01/2011,RACK                                              ,HEAD OFFICE                   ,HO-HUMAN RESOURCE DEPARTMENT                      
0026-0006534700001  ,STEEL RACK C (4.60M)                                        ,27135.5000,02/01/2011,RACK                                              ,HEAD OFFICE                   ,HO-HUMAN RESOURCE DEPARTMENT                      
0078-0006446000001  ,ANTI-THEFT ALARM STAND FOR SAMSUNG TAB T295                 ,1699      ,01/12/2021,STAND                                             ,CRUST & PEPPER FOODLANE INC.  ,ASCM-JOLLIBEE                                     
0078-0006446000002  ,ANTI-THEFT ALARM STAND FOR SAMSUNG TAB T295                 ,1699      ,01/12/2021,STAND                                             ,CRUST & PEPPER FOODLANE INC.  ,ICM-RED RIBBON LGF                                
0078-0006446000003  ,ANTI-THEFT ALARM STAND FOR SAMSUNG TAB T295                 ,1699      ,01/12/2021,STAND                                             ,CRUST & PEPPER FOODLANE INC.  ,ICM-GREENWICH                                     
0077-0006446000004  ,ANTI-THEFT ALARM STAND FOR SAMSUNG TAB T295                 ,1699      ,01/12/2021,STAND                                             ,CHARCOAL & CHOP FOODLINE INC. ,ICM-MANG INASAL                                   
0076-0003042900001  ,CPU SET                                                     ,13839.2900,02/01/2021,CPU                                               ,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      
0076-0004230500001  ,MONITOR AOC 18.5""                                           ,2767.86000,02/01/2021,MONITOR                                           ,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      
