barcode,desc,acost,adate,cat_type,locname,dept
0116-0007212000001  ,ELECTRIC STOVE (SINGLE)                                     ,1668,12/07/2021,STOVE                                             ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0007212000002  ,ELECTRIC STOVE (SINGLE)                                     ,1668,12/07/2021,STOVE                                             ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0007212600001  ,NUTEX WEIGHING SCALE 15KG                                   ,1700,02/07/2022,WEIGHING SCALE                                    ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0007277700001  ,MOTO PLUS DUAL BAND FM TRANSCEIVER RADIO                    ,2400,05/30/2022,RADIO                                             ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0007277700002  ,MOTO PLUS DUAL BAND FM TRANSCEIVER RADIO                    ,2400,05/30/2022,RADIO                                             ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0007971500001  ,MOP SQUEEZER (YELLOW)                                       ,5752,08/30/2022,MOP SQUEEZER                                      ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0007971500002  ,MOP SQUEEZER (YELLOW)                                       ,5752,08/30/2022,MOP SQUEEZER                                      ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0008064700001  ,MDA EDS-750MM DIAMETER X 1.530 HEIGHT PSI: 145)             ,3571,11/24/2022,OTHERS                                            ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0008499300001  ,WASHING MACHINE CAMEL TWIN TUB                              ,9841,03/01/2023,WASHING MACHINE                                   ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0008499300002  ,WASHING MACHINE CAMEL TWIN TUB                              ,9841,03/01/2023,WASHING MACHINE                                   ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0008499200001  ,FLAT SCREEN EZY TV 40""                                      ,9990,03/01/2023,TV                                                ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0008671500001  ,4 LAYER MULTI- PURPOSE SHELVES                              ,1428,05/02/2023,PRODUCTION SUPPLIES                               ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0008671500002  ,4 LAYER MULTI- PURPOSE SHELVES                              ,1428,05/02/2023,PRODUCTION SUPPLIES                               ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0008624400001  ,POWEREDGE T150 SERVER S# 7MLKXR3                            ,1428,04/28/2023,SERVER                                            ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0008804600001  ,DRY TYPE TRANSFORMER 12KVA 3- PHASE                         ,7151,08/14/2023,TRANSFORMER                                       ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0008561500001  ,SUCTION TRANSDUCER; 00PPG000030700A(GREEN)                  ,1392,08/14/2023,SUPPLIES                                          ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0008561500002  ,SUCTION TRANSDUCER; 00PPG000030700A(GREEN)                  ,1392,08/14/2023,SUPPLIES                                          ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0008561500003  ,SUCTION TRANSDUCER; 00PPG000030700A(GREEN)                  ,1392,08/14/2023,SUPPLIES                                          ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0008561500004  ,SUCTION TRANSDUCER; 00PPG000030700A(GREEN)                  ,1392,08/14/2023,SUPPLIES                                          ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0008805600001  ,DISCHARGE TRANSDUCER 00PPG000030600A (BLACK)                ,1392,08/14/2023,SUPPLIES                                          ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0008805600002  ,DISCHARGE TRANSDUCER 00PPG000030600A (BLACK)                ,1392,08/14/2023,SUPPLIES                                          ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0008805700001  ,FLOW SWITCH 00PPG000003100A                                 ,2750,08/14/2023,SUPPLIES                                          ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0008563800002  ,ECB-400A3P400V - NEMA 1                                     ,8971,10/10/2023,ELECTRICAL SUPPLIES                               ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0008754400002  ,DIGITAL POWER METER METSEPM2120SCHNEIDER                    ,8501,10/10/2023,OTHERS                                            ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0006431100001  ,THERMISTOR SENSOR; T1 EWT                                   ,2608,12/19/2023,ELECTRICAL PARTS                                  ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0006431100002  ,THERMISTOR SENSOR; T1 EWT                                   ,2608,12/19/2023,ELECTRICAL PARTS                                  ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0009109100001  ,THERMISTOR SENSOR; T2 LWT EWT                               ,2608,12/19/2023,ELECTRICAL PARTS                                  ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0009109100002  ,THERMISTOR SENSOR; T2 LWT EWT                               ,2608,12/19/2023,ELECTRICAL PARTS                                  ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0009109700001  ,THERMISTOR SENSOR; T4 SGTA EWT                              ,2608,12/19/2023,ELECTRICAL PARTS                                  ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0009110000001  ,THERMISTOR SENSOR; T5 SGTB EWT                              ,2608,12/19/2023,ELECTRICAL PARTS                                  ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0009121000001  ,THERMISTOR; EWT/LWT/PAT/RGTA/RGTB 30GB660002                ,1584,12/19/2023,ELECTRICAL PARTS                                  ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0009121300001  ,ENTERING WATER TEMPERATURE  THERMISTOR 30GB60002            ,1584,12/19/2023,ELECTRICAL PARTS                                  ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0009121500001  ,LEAVING WATER TEMPERATURE THERMISTOR 30GB660002             ,1584,12/19/2023,ELECTRICAL PARTS                                  ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0007902700001  ,ACER 19.5"" LED MONITOR K202HQL                              ,3437,02/13/2024,MONITOR                                           ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0007902700002  ,ACER 19.5"" LED MONITOR K202HQL                              ,3437,03/13/2024,MONITOR                                           ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0002316800001  ,CABINET AUF CF46-3 MOBILE DDF                               ,4018,03/14/2024,CABINET-STEEL                                     ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0002316800002  ,CABINET AUF CF46-3 MOBILE DDF                               ,4018,03/14/2024,CABINET-STEEL                                     ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0007970300001  ,CARRIER STANDARD 30RB MICROPROCESSOR                        ,4140,04/08/2024,CHILLER                                           ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0009852400001  ,HANABISHI ELECTRIC STOVE                                    ,1622,04/16/2024,STOVE                                             ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0009852400002  ,HANABISHI ELECTRIC STOVE                                    ,1622,04/16/2024,STOVE                                             ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0010135000001  ,SAMSUNG GALAXY A55 5G                                       ,2231,06/19/2024,CELLPHONE                                         ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0010159700001  ,EBARA END SUCTION CENTRIFUGAL PUMP                          ,4696,07/12/2024,PUMP                                              ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0000399700001  ,ASAHI CIRCO FAN 18""                                         ,4497,07/18/2024,FAN                                               ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0000399700002  ,ASAHI CIRCO FAN 18""                                         ,4497,07/18/2024,FAN                                               ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0000399700003  ,ASAHI CIRCO FAN 18""                                         ,4497,07/18/2024,FAN                                               ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0004991600001  ,POWER SPRAYER WULI POWER SPRAYER 2 HP MODEL                 ,2790,07/23/2024,POWER SPRAYER                                     ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0004991600002  ,POWER SPRAYER WULI POWER SPRAYER 2 HP MODEL                 ,2790,07/23/2024,POWER SPRAYER                                     ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0008585000001  ,CPU SET                                                     ,1687,08/07/2024,CPU                                               ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0010319200001  ,FOG ELECTRIC ATOMIZER SPAYER (LUTOS BRAND)                  ,2674,09/11/2024,SPRAYER                                           ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0008585000002  ,CPU SET                                                     ,1598,09/11/2024,CPU                                               ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0009974200001  ,EPSON LQ-310 DOT MATRIX PRINTER                             ,1338,10/04/2024,PRINTER                                           ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0010134500001  ,INDUSTRIAL PAPER SHREDDER                                   ,2607,10/14/2024,SHREDER                                           ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0010434600001  ,KYK DC INVENTER WELDING MACHINE 200AMP KIWM200A             ,1026,12/18/2024,MACHINE TOOLS                                     ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0011341700001  ,TF-1000/8  1 1/3 HP SUBMERSIBLE PUMP W/FLOATER              ,1339,01/30/2025,PUMP                                              ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0009061400001  ,SPIN DRYER SHARP ES-D9518                                   ,4494,02/06/2025,DRYER                                             ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0010185100001  ,EDJ 230V 500 GPM 110PSI                                     ,8893,01/21/2025,MACH. & EQUIPMENT                                 ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0006470000001  ,PLASTIC DRAWER - 5 LAYER                                    ,2683,02/19/2025,DRAWERS                                           ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0006470000002  ,PLASTIC DRAWER - 5 LAYER                                    ,2683,02/19/2025,DRAWERS                                           ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0011007600001  ,592-5153 CONTROL GP-A                                       ,8246,05/29/2025,ELECTRICAL PARTS                                  ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0011591600001  ,CPU SET CORE I3                                             ,1513,06/02/2025,CPU                                               ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0011481800001  ,WINDOW TYPE AIR CONDITIONER CARRIER AURA SIDE               ,2247,06/10/2025,AIRCON-WINDOW-TYPE                                ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0011481800002  ,WINDOW TYPE AIR CONDITIONER CARRIER AURA SIDE               ,2247,06/10/2025,AIRCON-WINDOW-TYPE                                ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0012154100001  ,DOWELL SPIN DRYER FDR755                                    ,4623,07/29/2025,DRYER                                             ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0011672300001  ,SLIDING EXPANDED WIRE 2 PAN SS 72X94.5 USING SD             ,4319,08/21/2025,OTHERS                                            ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0011672500001  ,FIXED EXPANDED 4 PAN 184X128A A                             ,1312,08/21/2025,OTHERS                                            ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0011672700001  ,FIXED EXPANDED 5 PAN  228 9/16X 144 A                       ,1480,08/21/2025,OTHERS                                            ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0011672900001  ,SLIDING EXPANDED WIRE 2 PAN  SS W/4 FIXED                   ,5712,08/21/2025,OTHERS                                            ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0011673100001  ,FIXED EXPANDED 7 PAN  308X158 1/2 A                         ,3490,08/21/2025,OTHERS                                            ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0011673300001  ,USHAPE FIXED EXPANDED 11 PAN 308X158 1/2/ A                 ,3183,08/21/2025,OTHERS                                            ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0011673500001  ,FIXED EXPANDED 8 PAN 331X146 A                              ,2200,08/21/2025,OTHERS                                            ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0011673500002  ,FIXED EXPANDED 8 PAN 331X146 A                              ,2200,08/21/2025,OTHERS                                            ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0011673700001  ,FIXED EXPANDED 3 PAN 117X115 A                              ,9056,08/21/2025,OTHERS                                            ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0011673700002  ,FIXED EXPANDED 3 PAN 117X115 A                              ,9056,08/21/2025,OTHERS                                            ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0011673700003  ,FIXED EXPANDED 3 PAN 117X115 A                              ,9056,08/21/2025,OTHERS                                            ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0003229800001  ,WULI POWER SPRAYER 2HP (MODEL #WL25ASBC)                    ,2790,09/09/2025,POWER SPRAYER                                     ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0003229800002  ,WULI POWER SPRAYER 2HP (MODEL #WL25ASBC)                    ,2790,09/09/2025,POWER SPRAYER                                     ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0012633300001  ,RG- S2915-24GT4MS L24- PORT 1GE RJ45 LAYER 2+               ,1294,12/10/2025,SWITCH                                            ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0012242400001  ,FUJIDENZO CHILLER SUD220A 22CF                              ,4745,01/10/2026,CHILLER                                           ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0010205500001  ,10000-61353 EXCH ECM PROGD - 1                              ,2591,01/27/2026,OTHERS                                            ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0012521000001  ,DRY TYPE TRANSFORMER 12KVA 3PH.60HZ..                       ,9301,02/05/2026,TRANSFORMER                                       ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0010307700001  ,HONDA BRUSH CUTTER MODEL:GX35-UMK435                        ,1562,02/24/2026,GRASS CUTTER                                      ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0012154900001  ,CARRIER 40CCG/38ASC DIRECT EXPANSION                        ,8106,12/19/2025,OTHERS                                            ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0012498600001  ,RG-S2915-24GT4MS-L(24 X 10/100/1000BASE-T                   ,2589,02/20/2026,HUB                                               ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
0116-0009697500001  ,ACER LED20 K202QBI 19.5"" LED MONITOR                        ,3258,03/03/2026,MONITOR                                           ,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  
