barcode,desc,acost,adate,cat_type,locname,dept
0129-0011028200001  ,EZDO PH5011 PH PEN                                          ,3375,11/20/2024,LABORATORY INV.                                   ,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              
0129-0011028200002  ,EZDO PH5011 PH PEN                                          ,3375,11/20/2024,LABORATORY INV.                                   ,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              
0129-0011480600001  ,DM2 SERIES MULTI-FUNCTION WEIGHING SCALE                    ,1089,03/07/2025,WEIGHING SCALE                                    ,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              
0129-0011421200001  ,QUANTSTUDIO™ 5 REAL-TIME PCR SYSTEM 96-WELL                 ,2053,09/12/2025,OTHERS                                            ,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              
0129-0012231700001  ,VORTEX MIXER(ADJUSTABLE SPEED)                              ,1750,09/12/2025,MIXER                                             ,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              
0129-0011028200003  ,EZDO PH5011 PH PEN                                          ,3375,10/03/2025,LABORATORY INV.                                   ,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              
0129-0011028200004  ,EZDO PH5011 PH PEN                                          ,3375,10/03/2025,LABORATORY INV.                                   ,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              
0129-0001213300001  ,DOUBLE DECK                                                 ,5357,11/10/2025,BED                                               ,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              
0129-0001213300002  ,DOUBLE DECK                                                 ,5357,11/10/2025,BED                                               ,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              
0129-0001213300003  ,DOUBLE DECK                                                 ,5357,11/10/2025,BED                                               ,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              
0129-0001213300004  ,DOUBLE DECK                                                 ,5357,11/10/2025,BED                                               ,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              
0129-0001213300005  ,DOUBLE DECK                                                 ,5357,11/10/2025,BED                                               ,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              
0129-0001213300006  ,DOUBLE DECK                                                 ,5357,11/10/2025,BED                                               ,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              
0129-0012423300001  ,FINNPIPETTE F2 5-50 UL CE MARKED                            ,1628,11/20/2025,TOOLS                                             ,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              
0129-0012423300002  ,FINNPIPETTE F2 5-50 UL CE MARKED                            ,1628,11/20/2025,TOOLS                                             ,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              
