barcode,desc,acost,adate,cat_type,locname,dept
0000093700002       ,EMERGENCY LIGHT FIREFLY                                     ,0     ,  /  /    ,EMERGENCY LIGHT                                   ,MARCELA PHARMA DISTRIBUTORS INC.                  ,MPDI-ADMIN                                        
0000093700003       ,EMERGENCY LIGHT FIREFLY                                     ,0     ,  /  /    ,EMERGENCY LIGHT                                   ,MARCELA PHARMA DISTRIBUTORS INC.                  ,MPDI-ADMIN                                        
0000093700004       ,EMERGENCY LIGHT FIREFLY                                     ,0     ,  /  /    ,EMERGENCY LIGHT                                   ,MARCELA PHARMA DISTRIBUTORS INC.                  ,MPDI-ADMIN                                        
0000093700005       ,EMERGENCY LIGHT FIREFLY                                     ,0     ,  /  /    ,EMERGENCY LIGHT                                   ,MARCELA PHARMA DISTRIBUTORS INC.                  ,MPDI-ADMIN                                        
0000093700006       ,EMERGENCY LIGHT FIREFLY                                     ,0     ,  /  /    ,EMERGENCY LIGHT                                   ,MARCELA PHARMA DISTRIBUTORS INC.                  ,MPDI-ADMIN                                        
0002868200001       ,SHOP VAC MICRO MODEL K-SQ14C                                ,0     ,  /  /    ,CLEANING DEVICE                                   ,MARCELA PHARMA DISTRIBUTORS INC.                  ,MPDI-ADMIN                                        
0002588900014       ,OFFICE TABLE                                                ,0     ,  /  /    ,TABLE                                             ,MARCELA PHARMA DISTRIBUTORS INC.                  ,MPDI-ADMIN                                        
0002812800001       ,CABINET W/ 5 SLOTS                                          ,0     ,  /  /    ,CABINET                                           ,MARCELA PHARMA DISTRIBUTORS INC.                  ,MPDI-ADMIN                                        
0002812900001       ,CHECKING COUNTER                                            ,0     ,  /  /    ,COUNTER                                           ,MARCELA PHARMA DISTRIBUTORS INC.                  ,MPDI-ADMIN                                        
0002868300001       ,CHECKING COUNTER STAND                                      ,0     ,  /  /    ,STAND                                             ,MARCELA PHARMA DISTRIBUTORS INC.                  ,MPDI-ADMIN                                        
0002868400001       ,CARRIER AC(3TR) S#35075(FCU)                                ,51000 ,09/24/2013,AIRCON                                            ,MARCELA PHARMA DISTRIBUTORS INC.                  ,MPDI-ADMIN                                        
0002869400001       ,CARRIER(5TR) S#FUR0437(FCU)                                 ,34500 ,09/24/2013,AIRCON                                            ,MARCELA PHARMA DISTRIBUTORS INC.                  ,MPDI-ADMIN                                        
0000570200002       ,OFFICE TABLE (SHORT)                                        ,0     ,  /  /    ,TABLE                                             ,MARCELA PHARMA DISTRIBUTORS INC.                  ,MPDI-ADMIN                                        
0000570200003       ,OFFICE TABLE (SHORT)                                        ,0     ,  /  /    ,TABLE                                             ,MARCELA PHARMA DISTRIBUTORS INC.                  ,MPDI-ADMIN                                        
0000570200004       ,OFFICE TABLE (SHORT)                                        ,0     ,  /  /    ,TABLE                                             ,MARCELA PHARMA DISTRIBUTORS INC.                  ,MPDI-ADMIN                                        
0000570200005       ,OFFICE TABLE (SHORT)                                        ,0     ,  /  /    ,TABLE                                             ,MARCELA PHARMA DISTRIBUTORS INC.                  ,MPDI-ADMIN                                        
0000570200006       ,OFFICE TABLE (SHORT)                                        ,0     ,  /  /    ,TABLE                                             ,MARCELA PHARMA DISTRIBUTORS INC.                  ,MPDI-ADMIN                                        
0000570200007       ,OFFICE TABLE (SHORT)                                        ,0     ,  /  /    ,TABLE                                             ,MARCELA PHARMA DISTRIBUTORS INC.                  ,MPDI-ADMIN                                        
0000570200008       ,OFFICE TABLE (SHORT)                                        ,0     ,  /  /    ,TABLE                                             ,MARCELA PHARMA DISTRIBUTORS INC.                  ,MPDI-ADMIN                                        
0000570200009       ,OFFICE TABLE (SHORT)                                        ,0     ,  /  /    ,TABLE                                             ,MARCELA PHARMA DISTRIBUTORS INC.                  ,MPDI-ADMIN                                        
0000570300002       ,OFFICE TABLE (LONG)                                         ,0     ,  /  /    ,TABLE                                             ,MARCELA PHARMA DISTRIBUTORS INC.                  ,MPDI-ADMIN                                        
