barcode,desc,acost,adate,cat_type,locname,dept
0022-0007099700001  ,KEBOS POWERGARDE 10KVA                                      ,95000,03/08/2022,UPS                                               ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0007703200001  ,CARRIER A/C 53GCVBEO10-303P                                 ,27998,07/02/2022,AIRCON                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0007100000001  ,RUIJIE SWITCH XS-S1960-24GT4SFP-UP-H LAYER 3                ,29910,08/09/2022,VEHICLE                                           ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008233200001  ,TOA VM2240 AMPLIFIER / SYSTEM MANAGEMENT                    ,44666,12/06/2022,AMPLIFIER                                         ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008233300001  ,CCTV CENTRALIZED POWER SUPPLY 16CH20A                       ,1345.,12/06/2022,POWER SUPPLY                                      ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008233300002  ,CCTV CENTRALIZED POWER SUPPLY 16CH20A                       ,1345.,12/06/2022,POWER SUPPLY                                      ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008233300003  ,CCTV CENTRALIZED POWER SUPPLY 16CH20A                       ,1345.,12/06/2022,POWER SUPPLY                                      ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008233400001  ,HIK VISION 16CH DVR2HDD SLOT1080P                           ,7040.,12/06/2022,HARD DISK                                         ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008233400002  ,HIK VISION 16CH DVR2HDD SLOT1080P                           ,7040.,12/06/2022,HARD DISK                                         ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008233400003  ,HIK VISION 16CH DVR2HDD SLOT1080P                           ,7040.,12/06/2022,HARD DISK                                         ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008233500001  ,2TB SEAGATE SURVEILLANCE HARD DRIVE                         ,4036.,12/06/2022,HARD DISK                                         ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008233500002  ,2TB SEAGATE SURVEILLANCE HARD DRIVE                         ,4036.,12/06/2022,HARD DISK                                         ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008233500003  ,2TB SEAGATE SURVEILLANCE HARD DRIVE                         ,4036.,12/06/2022,HARD DISK                                         ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008395900001  ,HP PRINTER INK TANK 615WL-168691                            ,13695,02/03/2023,PRINTER                                           ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500001  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500002  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500003  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500004  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500005  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500006  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500007  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500008  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500009  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500010  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500011  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500012  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500013  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500014  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500015  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500016  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500017  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500018  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500019  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500020  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500021  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500022  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500023  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500024  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500025  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500026  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500027  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500028  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
0022-0008057500029  ,LOAD PLASTICS PALLETS                                       ,3150 ,03/01/2023,PALLET                                            ,NOODLES FACTORY               ,NF-ADMIN                                          
