barcode,desc,acost,adate,cat_type,locname,dept
0079-0006116600001  ,CT 100:50:5 15KV                                            ,34960,02/21/2020,TRANSFORMER                                       ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA                                    
0079-0006116600002  ,CT 100:50:5 15KV                                            ,34960,02/21/2020,TRANSFORMER                                       ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA                                    
0079-0006116600003  ,CT 100:50:5 15KV                                            ,34960,02/21/2020,TRANSFORMER                                       ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA                                    
0079-0006116700001  ,PT 8400:120                                                 ,34960,02/21/2020,TRANSFORMER                                       ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA                                    
0079-0006116700002  ,PT 8400:120                                                 ,34960,02/21/2020,TRANSFORMER                                       ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA                                    
0079-0006116700003  ,PT 8400:120                                                 ,34960,02/21/2020,TRANSFORMER                                       ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA                                    
0079-0006066800001  ,DISTRIBUTION TRANSFORMER 75KVA 1Ø OISC P                    ,13800,03/18/2020,TRANSFORMER                                       ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0006066800002  ,DISTRIBUTION TRANSFORMER 75KVA 1Ø OISC P                    ,13800,03/18/2020,TRANSFORMER                                       ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0006066800003  ,DISTRIBUTION TRANSFORMER 75KVA 1Ø OISC P                    ,13800,03/18/2020,TRANSFORMER                                       ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0006315300001  ,SUPPLY & DELIVERY OF LVSG TIE BREAKER &                     ,42338,05/22/2020,ELECTRICAL PARTS                                  ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA                                    
0079-0006333700001  ,INSTALLATION COST OF 3 UNITS 75KVA TRANS                    ,10028,06/11/2020,TRANSFORMER                                       ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA                                    
0079-0000522400001  ,UPS 650VA                                                   ,2400 ,06/15/2020,UPS                                               ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-FIXED ASSET DEPARTMENT             
0079-0003207700001  ,PRINTER EPSON LQ-310                                        ,12990,06/15/2020,PRINTER                                           ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA                                    
0079-0006401900001  ,MAKITA 7650H MIST BLOWER                                    ,43000,06/29/2020,MACHINE                                           ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA                                    
0079-0006401900002  ,MAKITA 7650H MIST BLOWER                                    ,43000,06/29/2020,MACHINE                                           ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA                                    
