barcode,desc,acost,adate,cat_type,locname,dept
0026-0004542300006  ,CISCO IP PHONE 7821                                         ,6000,07/16/2020,TELEPHONE                                         ,PEANUT KISSES                 ,PK-ADMIN                                          
0012-0007099700001  ,KEBOS POWERGARDE 10KVA                                      ,9500,03/08/2022,UPS                                               ,PEANUT KISSES                 ,PK-ADMIN                                          
0012-0003207700001  ,PRINTER EPSON LQ-310                                        ,1549,03/23/2022,PRINTER                                           ,PEANUT KISSES                 ,PK-ADMIN                                          
0012-0003207700002  ,PRINTER EPSON LQ-310                                        ,1549,03/23/2022,PRINTER                                           ,PEANUT KISSES                 ,PK-ADMIN                                          
0012-0003207700003  ,PRINTER EPSON LQ-310                                        ,1549,03/23/2022,PRINTER                                           ,PEANUT KISSES                 ,PK-ADMIN                                          
0012-0003207700004  ,PRINTER EPSON LQ-310                                        ,1549,03/23/2022,PRINTER                                           ,PEANUT KISSES                 ,PK-ADMIN                                          
0012-0001155900001  ,AUTOMATIC CONTINOUS BAND SEALER H                           ,2142,06/09/2025,OTHERS                                            ,PEANUT KISSES                 ,PK-PRODUCTION                                     
0012-0001155900002  ,AUTOMATIC CONTINOUS BAND SEALER H                           ,1964,04/21/2022,OTHERS                                            ,PEANUT KISSES                 ,PK-PRODUCTION                                     
0012-0007100000001  ,RUIJIE SWITCH XS-S1960-24GT4SFP-UP-H LAYER 3                ,3350,07/25/2022,VEHICLE                                           ,PEANUT KISSES                 ,PK-ADMIN                                          
0012-0003062100001  ,BERLIN HAND PALLET JACK J-166                               ,1428,08/18/2022,PALLET TRUCK                                      ,PEANUT KISSES                 ,PK-PRODUCTION                                     
0012-0003042900001  ,CPU SET                                                     ,1635,08/25/2022,CPU                                               ,PEANUT KISSES                 ,PK-ADMIN                                          
0012-0003042900002  ,CPU SET                                                     ,1635,08/25/2022,CPU                                               ,PEANUT KISSES                 ,PK-ADMIN                                          
0012-0003042900003  ,CPU SET                                                     ,1635,08/25/2022,CPU                                               ,PEANUT KISSES                 ,PK-ADMIN                                          
