barcode,desc,acost,adate,cat_type,locname,dept
0000699000002       ,AOC LCD MONITOR 17"" NONWIDE                                 ,6300,08/26/2009,MONITOR                                           ,ASC TALIBON                   ,ASCT-M.I.S FIXRITE-TALIBON                        
0000699200002       ,EPSON LQ-300 + PRINTER                                      ,1010,11/09/2013,PRINTER                                           ,ASC TALIBON                   ,ASCT-M.I.S FIXRITE-TALIBON                        
0000047300001       ,CASH COUNTER TABLE                                          ,8295,05/20/2003,TABLE                                             ,ASC TALIBON                   ,ASCT-FIXRITE / HARDWARE                           
0000158300001       ,LADDER ALUMINUM                                             ,1295,05/20/2003,LADDER                                            ,ASC TALIBON                   ,ASCT-FIXRITE / HARDWARE                           
0000184500003       ,"NAIL VOLT,TUBE, AND FITTING RACKS                           ",6303,05/20/2003,RACK                                              ,ASC TALIBON                   ,ASCT-FIXRITE / HARDWARE                           
0000184500004       ,"NAIL VOLT,TUBE, AND FITTING RACKS                           ",6303,05/20/2003,RACK                                              ,ASC TALIBON                   ,ASCT-FIXRITE / HARDWARE                           
0000190200036       ,OFFICE TABLE                                                ,4200,05/20/2003,TABLE                                             ,ASC TALIBON                   ,ASCT-FIXRITE / HARDWARE                           
0000705200001       ,FIRE EXTINGUISHER BRAND NEW                                 ,1388,03/19/2007,FIRE EXTINGUISHER                                 ,ASC TALIBON                   ,ASCT-FIXRITE / HARDWARE                           
0000705400001       ,WIRE ROPE STAND                                             ,5177,05/20/2003,STAND                                             ,ASC TALIBON                   ,ASCT-FIXRITE / HARDWARE                           
0000705400002       ,WIRE ROPE STAND                                             ,5177,05/20/2003,STAND                                             ,ASC TALIBON                   ,ASCT-FIXRITE / HARDWARE                           
0000706100001       ,WIRE GRID WIREMESH 2 X 6FT                                  ,2400,05/20/2003,MESH WIRE                                         ,ISLAND CITY MALL              ,ICM-HOME & FASHION                                
0000706100002       ,WIRE GRID WIREMESH 2 X 6FT                                  ,2400,05/20/2003,MESH WIRE                                         ,ISLAND CITY MALL              ,ICM-HOME & FASHION                                
0000706100003       ,WIRE GRID WIREMESH 2 X 6FT                                  ,2400,05/20/2003,MESH WIRE                                         ,ISLAND CITY MALL              ,ICM-HOME & FASHION                                
0000706100004       ,WIRE GRID WIREMESH 2 X 6FT                                  ,2400,05/20/2003,MESH WIRE                                         ,ISLAND CITY MALL              ,ICM-HOME & FASHION                                
0000706100005       ,WIRE GRID WIREMESH 2 X 6FT                                  ,2400,05/20/2003,MESH WIRE                                         ,ISLAND CITY MALL              ,ICM-HOME & FASHION                                
