barcode,desc,acost,adate,cat_type,locname,dept
0004-0008684400001  ,FOLDING TABLE 750DX1000LX750H                               ,8674.36000,01/04/2024,TABLE                                             ,COLONNADE MOHON               ,TALISAY MOHON-ADMIN                               
0004-0008684400002  ,FOLDING TABLE 750DX1000LX750H                               ,8674.36000,01/04/2024,TABLE                                             ,COLONNADE MOHON               ,TALISAY MOHON-ADMIN                               
0004-0008684400003  ,FOLDING TABLE 750DX1000LX750H                               ,8674.36000,01/04/2024,TABLE                                             ,COLONNADE MOHON               ,TALISAY MOHON-ADMIN                               
0004-0008684400004  ,FOLDING TABLE 750DX1000LX750H                               ,8674.36000,01/04/2024,TABLE                                             ,COLONNADE MOHON               ,TALISAY MOHON-ADMIN                               
0004-0008684400005  ,FOLDING TABLE 750DX1000LX750H                               ,8674.36000,01/04/2024,TABLE                                             ,COLONNADE MOHON               ,TALISAY MOHON-ADMIN                               
0004-0008684400006  ,FOLDING TABLE 750DX1000LX750H                               ,8674.36000,01/04/2024,TABLE                                             ,COLONNADE MOHON               ,TALISAY MOHON-ADMIN                               
0004-0009249300001  ,FOLDING TABLE 750DX120DX1200LX750H                          ,9037.52000,01/04/2024,TABLE                                             ,COLONNADE MANDAUE             ,COLM-ADMIN                                        
0004-0009249300002  ,FOLDING TABLE 750DX120DX1200LX750H                          ,9037.52000,01/04/2024,TABLE                                             ,COLONNADE MANDAUE             ,COLM-ADMIN                                        
0004-0009249300003  ,FOLDING TABLE 750DX120DX1200LX750H                          ,9037.52000,01/04/2024,TABLE                                             ,COLONNADE MANDAUE             ,COLM-ADMIN                                        
0004-0009249300004  ,FOLDING TABLE 750DX120DX1200LX750H                          ,9037.52000,01/04/2024,TABLE                                             ,COLONNADE MANDAUE             ,COLM-ADMIN                                        
0004-0009249300005  ,FOLDING TABLE 750DX120DX1200LX750H                          ,9037.52000,01/04/2024,TABLE                                             ,COLONNADE MANDAUE             ,COLM-ADMIN                                        
0004-0009249300006  ,FOLDING TABLE 750DX120DX1200LX750H                          ,9037.52000,01/04/2024,TABLE                                             ,COLONNADE MANDAUE             ,COLM-ADMIN                                        
0033-0009199100001  ,STACKABLE CHAIR COLOR SEATREST: BLUE                        ,3409.55000,04/01/2024,CHAIR                                             ,COLONNADE COLON               ,COLC-FIXED ASSET DEPARTMENT                       
