barcode,desc,acost,adate,cat_type,locname,dept,status
0110-0006744800001  ,PANEL BOARD NEMA-1 MCCB RATED AT 60AT 3P 25KA @230          ,     15696.00,07/14/2021,PANEL BOARD                                       ,ASC-TECH (ICM)                ,AT-ASC TECH ICM                                   ,FA_TRAN             
0046-0007143200001  ,CPU SET AMD ATHLON                                          ,     12250.00,01/21/2022,CPU                                               ,ASC-TECH (ICM)                ,AT-ASC TECH ICM                                   ,FAACQ               
0046-0000525100001  ,STEEL LADDER                                                ,      2200.00,11/23/2021,LADDER                                            ,ASC-TECH (ICM)                ,AT-ASC TECH ICM                                   ,FAACQ               
0046-0001242600001  ,DRY VACCUM CLEANER                                          ,      3099.00,11/23/2021,DRY VACUUM                                        ,ASC-TECH (ICM)                ,AT-ASC TECH ICM                                   ,FAACQ               
0046-0003789500001  ,CARTON TROLLEY W/ 4'' CASTER WHEEL                          ,      3250.00,11/23/2021,TROLLY-STEEL                                      ,ASC-TECH (ICM)                ,AT-ASC TECH ICM                                   ,FAACQ               
0046-0001688100001  ,KEBOS UPS PG650V LITE                                       ,      1650.00,03/23/2022,UPS                                               ,ASC-TECH (ICM)                ,AT-ASC TECH ICM                                   ,FAACQ               
0046-0001688100002  ,KEBOS UPS PG650V LITE                                       ,      1650.00,03/23/2022,UPS                                               ,ASC-TECH (ICM)                ,AT-ASC TECH ICM                                   ,FAACQ               
0046-0001688100003  ,KEBOS UPS PG650V LITE                                       ,      1650.00,03/23/2022,UPS                                               ,ASC-TECH (ICM)                ,AT-ASC TECH ICM                                   ,FAACQ               
0046-0004230500001  ,MONITOR AOC 18.5""                                           ,      4750.00,03/23/2022,MONITOR                                           ,ASC-TECH (ICM)                ,AT-ASC TECH ICM                                   ,FAACQ               
0046-0000029800001  ,BARCODE SCANNER                                             ,      4900.00,03/11/2022,SCANNER                                           ,ASC-TECH (ICM)                ,AT-ASC TECH ICM                                   ,FAACQ               
0046-0007048000001  ,PRINTER EPSON L3210 AIO                                     ,      9995.00,09/12/2022,PRINTER                                           ,ASC-TECH (ICM)                ,AT-ASC TECH ICM                                   ,FAACQ               
0046-0000015200001  ,IDEAL UPS BLK 650VA 5106C                                   ,      1950.00,12/12/2022,UPS                                               ,ASC-TECH (ICM)                ,AT-ASC TECH ICM                                   ,FAACQ               
0046-0008340000001  ,CPU SET CORE I3                                             ,     16219.00,02/01/2023,CPU                                               ,ASC-TECH (ICM)                ,AT-ASC TECH ICM                                   ,FAACQ               
0046-0008331500001  ,CPU SET CORE I3-10105                                       ,     16350.00,06/09/2023,CPU                                               ,ASC-TECH (ICM)                ,AT-ASC TECH ICM                                   ,FAACQ               
0046-0007048000002  ,PRINTER EPSON L3210 AIO                                     ,      9395.00,07/12/2023,PRINTER                                           ,ASC-TECH (ICM)                ,AT-ASC TECH ICM                                   ,FAACQ               
0046-0011671100001  ,MIGEN E2001 19"" LED/TN/5MS(HDMI) 60Z VESA WIDE              ,      1549.00,08/01/2025,OTHERS                                            ,ASC-TECH (ICM)                ,AT-ASC TECH ICM                                   ,FAACQ               
0046-0011232600001  ,PRINTER BROTHER DCP-T730DW                                  ,     12780.00,11/26/2025,PRINTER                                           ,ASC-TECH (ICM)                ,AT-ASC TECH ICM                                   ,FAACQ               
0046-0013011200001  ,CPU SET CORE I3-14100                                       ,     12790.00,12/18/2025,COMPUTER                                          ,ASC-TECH (ICM)                ,AT-ASC TECH ICM                                   ,FAACQ               
0046-0008843100001  ,LOTUS BLOWER 600W                                           ,      2076.00,02/05/2026,BLOWER                                            ,ASC-TECH (ICM)                ,AT-ASC TECH ICM                                   ,FAACQ               
0046-0009735600001  ,CPU SET I5                                                  ,     22680.00,02/05/2026,CPU                                               ,ASC-TECH (ICM)                ,AT-ASC TECH ICM                                   ,FAACQ               
0046-0012905000001  ,EDIFIER M101BT BLUETOOTH SPEAKER                            ,      2030.00,02/20/2026,SPEAKER                                           ,ASC-TECH (ICM)                ,AT-ASC TECH ICM                                   ,FAACQ               
