barcode,desc,acost,adate,cat_type,locname,dept,status
0108-0008982700001       ,YAMATO WELDING MACHINE 200AMP. INVERTER TYPE                ,4414.29000,01/20/2024,MACH. & EQUIPMENT                                 ,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
0108-0008982700002       ,YAMATO WELDING MACHINE 200AMP. INVERTER TYPE                ,4414.29000,01/20/2024,MACH. & EQUIPMENT                                 ,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0008982700003   ,YAMATO WELDING MACHINE 200AMP. INVERTER TYPE                ,4414.29000,01/07/2024,MACH. & EQUIPMENT                                 ,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0009131700001   ,VITAL CHAIN BLOCK 3TONS                                     ,8370.54000,08/15/2024,TOOLS                                             ,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0009131700002   ,VITAL CHAIN BLOCK 3TONS                                     ,8370.54000,08/15/2024,TOOLS                                             ,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0008662000001   ,S-ROTARY HAMMER TE 1 230V CASE                              ,13390.6500,10/21/2024,MACHINE TOOLS                                     ,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0008662000002   ,S-ROTARY HAMMER TE 1 230V CASE                              ,13390.6500,10/21/2024,MACHINE TOOLS                                     ,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0009283100001   ,MITS. FUSO CANTER FG83 CS#:H0G143 PL#:GBI-4541              ,2098214.29,11/29/2024,VEHICLE                                           ,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0011222800001   ,CONDURA AIR COND WCONH019EEV 2 HP                           ,37500     ,01/07/2025,AIRCON                                            ,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0011545100001   ,CORDLESS RIVETING TOOL RT 6-22 CASE                         ,49682.2400,03/14/2025,TOOLS                                             ,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0011545000001   ,CORDLESS ANGLE GRINDER AG 6D-22-125 BOX                     ,29862.6300,03/14/2025,GRINDER                                           ,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0011545300001   ,CORDLESS ROTARY HAMMER TE 6-22 CASE                         ,31172.3100,03/14/2025,TOOLS                                             ,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0012096300001   ,SHIMATO WELDING MACHINE (300 AMPS)                          ,5223.22000,04/29/2025,MACHINE TOOLS                                     ,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0011321200001   ,HIK VISION DOME IP CAMERA 4MP 2.8MM(HWI-DI40H)              ,2900      ,04/24/2025,CAMERA                                            ,ALTURAS GLASS                 ,AG-ADMIN                                          ,FAACQ               
FAD-0108-0011321200002   ,HIK VISION DOME IP CAMERA 4MP 2.8MM(HWI-DI40H)              ,2900      ,04/24/2025,CAMERA                                            ,ALTURAS GLASS                 ,AG-ADMIN                                          ,FAACQ               
FAD-0108-0011321200003   ,HIK VISION DOME IP CAMERA 4MP 2.8MM(HWI-DI40H)              ,2900      ,04/24/2025,CAMERA                                            ,ALTURAS GLASS                 ,AG-ADMIN                                          ,FAACQ               
FAD-0108-0011321200004   ,HIK VISION DOME IP CAMERA 4MP 2.8MM(HWI-DI40H)              ,2900      ,04/24/2025,CAMERA                                            ,ALTURAS GLASS                 ,AG-ADMIN                                          ,FAACQ               
FAD-0108-0011321200005   ,HIK VISION DOME IP CAMERA 4MP 2.8MM(HWI-DI40H)              ,2900      ,04/24/2025,CAMERA                                            ,ALTURAS GLASS                 ,AG-ADMIN                                          ,FAACQ               
FAD-0108-0010537600001   ,BIOMETRICS ZKTECO K14                                       ,7410.71000,11/07/2025,BIOMETRICS                                        ,ALTURAS GLASS                 ,AG-ADMIN                                          ,FAACQ               
FAD-0108-0012096300002   ,SHIMATO WELDING MACHINE (300 AMPS)                          ,5223.21000,01/28/2026,MACHINE TOOLS                                     ,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0012289700001   ,SW-BT1012TR  SPEAKER                                        ,8999      ,03/12/2026,SPEAKER                                           ,ALTURAS GLASS                 ,AG-ADMIN                                          ,FAACQ               
FAD-0108-0010972100001   ,EMERALD SUBMERSIBLE PUMP (1HP) FPSP-1120                    ,5937.50000,04/15/2025,PUMP                                              ,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0012424300001   ,MHE HIPPO 5 TONS HAND PALLET TRUCK                          ,32008.9300,03/17/2026,PALLET TRUCK                                      ,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0011016800001   ,MAKITA CORDLESS DRILL                                       ,12157.1400,03/25/2026,DRILL                                             ,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0011016800002   ,MAKITA CORDLESS DRILL                                       ,12157.1400,03/25/2026,DRILL                                             ,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0011016800003   ,MAKITA CORDLESS DRILL                                       ,12157.1400,03/25/2026,DRILL                                             ,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0011016800004   ,MAKITA CORDLESS DRILL                                       ,12157.1400,03/25/2026,DRILL                                             ,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0011016800005   ,MAKITA CORDLESS DRILL                                       ,12157.1400,03/25/2026,DRILL                                             ,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0013423300001   ,KAWASAKI INVERTER WELDING MACHINE  300A 3IN1                ,7053.57000,06/01/2026,MACHINE TOOLS                                     ,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0026-0004542300019   ,CISCO IP PHONE 7821                                         ,7738.10000,10/03/2024,TELEPHONE                                         ,ALTURAS GLASS                 ,AG-ADMIN                                          ,FA_TRAN             
