barcode,desc,acost,adate,cat_type,locname,dept,status
FAD-0113-0002677400001   ,POWER FORKLIFT 3.0 TONS (DIESEL)                            ,937500,03/04/2024,FORKLIFT                                          ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0007677000001   ,ROBIN BRUSH CUTTER 4 STROKE 1.6HP EH035 EA-FS431            ,14732.,03/23/2024,GRASS CUTTER                                      ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0007677000002   ,ROBIN BRUSH CUTTER 4 STROKE 1.6HP EH035 EA-FS431            ,14732.,03/23/2024,GRASS CUTTER                                      ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0009607300001   ,AURA INVERTER DIRECT EXPANSION FCU/ACCU-1                   ,28125 ,03/11/2024,AIRCON                                            ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0009607400001   ,AURA INVERTER DIRECT EXPANSION FCU/ACCU-2                   ,28125 ,03/11/2024,AIRCON                                            ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0009607500001   ,AURA INVERTER DIRECT EXPANSION FCU/ACCU-3                   ,24875 ,03/11/2024,AIRCON                                            ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0009607600001   ,AURA INVERTER DIRECT EXPANSION FCU/ACCU-4                   ,24875 ,03/11/2024,AIRCON                                            ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0009607700001   ,AURA INVERTER DIRECT EXPANSION FCU/ACCU-5                   ,37687.,03/11/2024,AIRCON                                            ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0009607800001   ,AURA INVERTER DIRECT EXPANSION FCU/ACCU-6                   ,28125 ,03/11/2024,AIRCON                                            ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0009607900001   ,AURA INVERTER DIRECT EXPANSION FCU/ACCU-7                   ,28125 ,03/11/2024,AIRCON                                            ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0009608100001   ,AURA INVERTER DIRECT EXPANSION FCU/ACCU-8                   ,28125 ,03/11/2024,AIRCON                                            ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0009608300001   ,AURA INVERTER DIRECT EXPANSION FCU/ACCU-9                   ,44062.,03/11/2024,AIRCON                                            ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0009535400001   ,CPU SET CORE I3                                             ,13437.,04/08/2024,CPU                                               ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0009535400002   ,CPU SET CORE I3                                             ,13437.,04/08/2024,CPU                                               ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0005570200001   ,RG-EG2100-P V2 ALL-IN-ONE SMART ACCESS GATEWAY              ,13953.,04/08/2024,HUB                                               ,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
