barcode,desc,acost,adate,cat_type,locname,dept,status
0000380400001       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400003       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400004       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400005       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400006       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400009       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400012       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400014       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400015       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400019       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400021       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400023       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400025       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400026       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400027       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400030       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400032       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400035       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400037       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400038       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400039       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400040       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400041       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400043       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400046       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400047       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400048       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400049       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400051       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400056       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400057       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400062       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400068       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400069       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400071       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400072       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400073       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400075       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400076       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400077       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400078       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400079       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400080       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400082       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400083       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
0000380400088       ,JB CHAIR BOLTED                                                                                                                                                                                         ,         1.00,01/18/2010,CHAIR                                             ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,                    
