barcode,desc,acost,adate,cat_type,locname,dept,status
0000382300001       ,FIRE EXTINGUISHER 5 KG                                      ,      2621.00,01/01/1992,FIRE EXTINGUISHER                                 ,ISLAND CITY MALL                        ,ICM-SSD                                           ,STS                 
0000505200001       ,GE ELECTRIC METER                                           ,      2630.00,10/24/2011,METER                                             ,ISLAND CITY MALL                        ,ICM-SSD                                           ,STS                 
0000555000001       ,CPU                                                         ,         1.00,08/03/2002,CPU                                               ,ISLAND CITY MALL                        ,ICM-S.O.D                                         ,STS                 
0000067700001       ,CORK BOARD.50M X .50M                                       ,       385.00,03/03/2005,CORK BOARD                                        ,ISLAND CITY MALL                        ,ICM-BUILDING ADMIN                                ,                    
0000141700001       ,ICM-2B FILING CABINET (5'S)                                 ,      7480.00,07/12/2004,CABINET                                           ,ISLAND CITY MALL                        ,ICM-BUILDING ADMIN                                ,                    
0000557700001       ,CORK BOARD 30X60CM                                          ,      2590.00,02/25/2008,CORK BOARD                                        ,ISLAND CITY MALL                        ,ICM-BUILDING ADMIN                                ,                    
0000555600001       ,STRAIGHT MAIN TABLE WK-AP12                                 ,      3335.00,03/24/2014,TABLE                                             ,ISLAND CITY MALL                        ,ICM-BUILDING ADMIN                                ,                    
0000555600002       ,STRAIGHT MAIN TABLE WK-AP12                                 ,      3335.00,03/24/2014,TABLE                                             ,ISLAND CITY MALL                        ,ICM-BUILDING ADMIN                                ,                    
0000555600003       ,STRAIGHT MAIN TABLE WK-AP12                                 ,      3335.00,03/24/2014,TABLE                                             ,ISLAND CITY MALL                        ,ICM-BUILDING ADMIN                                ,                    
0000555700001       ,STAFF CHAIR DI-701 W/OUT ARM                                ,      3200.00,03/24/2014,CHAIR                                             ,ISLAND CITY MALL                        ,ICM-BUILDING ADMIN                                ,                    
0000555700002       ,STAFF CHAIR DI-701 W/OUT ARM                                ,      3200.00,03/24/2014,CHAIR                                             ,ISLAND CITY MALL                        ,ICM-BUILDING ADMIN                                ,                    
0000555700003       ,STAFF CHAIR DI-701 W/OUT ARM                                ,      3200.00,03/24/2014,CHAIR                                             ,ISLAND CITY MALL                        ,ICM-BUILDING ADMIN                                ,                    
0000557800001       ,CPU SET / CORE I3                                           ,     12000.00,09/18/2013,CPU                                               ,ISLAND CITY MALL                        ,ICM-BUILDING ADMIN                                ,                    
0000018200001       ,ALUMINUM CASH BOX                                           ,      1015.00,03/27/2009,BOX                                               ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000046900001       ,CASH BOX                                                    ,       828.00,10/26/2005,BOX                                               ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000076100001       ,DELL MONITOR                                                ,      5300.00,01/30/2014,MONITOR                                           ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000076100002       ,DELL MONITOR                                                ,      5300.00,01/30/2014,MONITOR                                           ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000076100003       ,DELL MONITOR                                                ,      5300.00,01/30/2014,MONITOR                                           ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000076100004       ,DELL MONITOR                                                ,      5300.00,01/30/2014,MONITOR                                           ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000076100005       ,DELL MONITOR                                                ,      5300.00,01/30/2014,MONITOR                                           ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000076100006       ,DELL MONITOR                                                ,      5300.00,01/30/2014,MONITOR                                           ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000076100007       ,DELL MONITOR                                                ,      5300.00,01/30/2014,MONITOR                                           ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000076100008       ,DELL MONITOR                                                ,      5300.00,01/30/2014,MONITOR                                           ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000076100010       ,DELL MONITOR                                                ,      5300.00,01/30/2014,MONITOR                                           ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000076100011       ,DELL MONITOR                                                ,      5300.00,01/30/2014,MONITOR                                           ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000076100012       ,DELL MONITOR                                                ,      5300.00,01/30/2014,MONITOR                                           ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000076100013       ,DELL MONITOR                                                ,      5300.00,01/30/2014,MONITOR                                           ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000076100014       ,DELL MONITOR                                                ,      5300.00,01/30/2014,MONITOR                                           ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000076100015       ,DELL MONITOR                                                ,      5300.00,01/30/2014,MONITOR                                           ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000076100016       ,DELL MONITOR                                                ,      5300.00,01/30/2014,MONITOR                                           ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000076100017       ,DELL MONITOR                                                ,      5300.00,01/30/2014,MONITOR                                           ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000097800001       ,EPSON PRINTER LQ 312                                        ,     10850.00,05/09/2014,PRINTER                                           ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000141700002       ,ICM-2B FILING CABINET (5'S)                                 ,      7480.00,07/12/2004,CABINET                                           ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000141700003       ,ICM-2B FILING CABINET (5'S)                                 ,      7480.00,07/12/2004,CABINET                                           ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000141700004       ,ICM-2B FILING CABINET (5'S)                                 ,      7480.00,07/12/2004,CABINET                                           ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000141700005       ,ICM-2B FILING CABINET (5'S)                                 ,      7480.00,07/12/2004,CABINET                                           ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000141700006       ,ICM-2B FILING CABINET (5'S)                                 ,      7480.00,07/12/2004,CABINET                                           ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000234600004       ,SCANNER-CANON LIDE 110                                      ,      3040.00,06/11/2011,SCANNER                                           ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000555600004       ,STRAIGHT MAIN TABLE WK-AP12                                 ,      3335.00,03/24/2014,TABLE                                             ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000555600005       ,STRAIGHT MAIN TABLE WK-AP12                                 ,      3335.00,03/24/2014,TABLE                                             ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000555600006       ,STRAIGHT MAIN TABLE WK-AP12                                 ,      3335.00,03/24/2014,TABLE                                             ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000555600007       ,STRAIGHT MAIN TABLE WK-AP12                                 ,      3335.00,03/24/2014,TABLE                                             ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000555600008       ,STRAIGHT MAIN TABLE WK-AP12                                 ,      3335.00,03/24/2014,TABLE                                             ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000555600009       ,STRAIGHT MAIN TABLE WK-AP12                                 ,      3335.00,03/24/2014,TABLE                                             ,ISLAND CITY MALL                        ,ICM-ENGINEERING                                   ,FA_TRAN             
0000555600010       ,STRAIGHT MAIN TABLE WK-AP12                                 ,      3335.00,03/24/2014,TABLE                                             ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000555600011       ,STRAIGHT MAIN TABLE WK-AP12                                 ,      3335.00,03/24/2014,TABLE                                             ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000555600012       ,STRAIGHT MAIN TABLE WK-AP12                                 ,      3335.00,03/24/2014,TABLE                                             ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
0000555600013       ,STRAIGHT MAIN TABLE WK-AP12                                 ,      3335.00,03/24/2014,TABLE                                             ,ISLAND CITY MALL                        ,ICM-PRAWN FARM                                    ,                    
0000555600014       ,STRAIGHT MAIN TABLE WK-AP12                                 ,      3335.00,03/24/2014,TABLE                                             ,ISLAND CITY MALL                        ,ICM-PRAWN FARM                                    ,                    
0000555600015       ,STRAIGHT MAIN TABLE WK-AP12                                 ,      3335.00,03/24/2014,TABLE                                             ,ISLAND CITY MALL                        ,ICM-PRAWN FARM                                    ,                    
0000555600016       ,STRAIGHT MAIN TABLE WK-AP12                                 ,      3335.00,03/24/2014,TABLE                                             ,ISLAND CITY MALL                        ,ICM-PRAWN FARM                                    ,                    
0000555600017       ,STRAIGHT MAIN TABLE WK-AP12                                 ,      3335.00,03/24/2014,TABLE                                             ,ISLAND CITY MALL                        ,ICM-PRAWN FARM                                    ,                    
0000555600018       ,STRAIGHT MAIN TABLE WK-AP12                                 ,      3335.00,03/24/2014,TABLE                                             ,ISLAND CITY MALL                        ,ICM-PRAWN FARM                                    ,                    
0000555600019       ,STRAIGHT MAIN TABLE WK-AP12                                 ,      3335.00,03/24/2014,TABLE                                             ,ISLAND CITY MALL                        ,ICM-ACCOUNTING                                    ,                    
