barcode,desc,acost,adate,cat_type,locname,dept,status
0001566800001       ,MITS. FUSO FIV1P 6W PL#:GSN-827                             ,    775000.00,10/10/2003,VEHICLE                                           ,NETMAN                        ,NETMAN-ACCOUNTING                                 ,FA_TRAN             
0001972000005       ,SAMSUNG GALAXY TAB S#R52FB1G274F                            ,     10300.00,12/05/2014,TABLET                                            ,NETMAN                        ,NETMAN-ACCOUNTING                                 ,FA_TRAN             
0010299300001       ,MITS. CANTER FE639 PL#:GSN-837                              ,    797632.80,08/01/2003,VEHICLE                                           ,NETMAN                        ,NETMAN-ACCOUNTING                                 ,FA_TRAN             
0010300000001       ,MITS. L300 PL#:GKK- 811                                     ,    200000.00,06/23/1999,VEHICLE                                           ,NETMAN                        ,NETMAN-ACCOUNTING                                 ,FA_TRAN             
0010302000001       ,MITS. CANTER FE639 PL#:GSN-847                              ,    797632.80,08/01/2003,VEHICLE                                           ,NETMAN                        ,NETMAN-ACCOUNTING                                 ,FA_TRAN             
0010303600001       ,MITS. CANTER FE83 PL#:YLL-503                               ,   1215000.00,04/10/2013,VEHICLE                                           ,NETMAN                        ,NETMAN-ACCOUNTING                                 ,FA_TRAN             
0010304200001       ,CANTER (IPI PROPERTY) PL#:YKH-488                           ,         0.00,  /  /    ,VEHICLE                                           ,NETMAN                        ,NETMAN-ACCOUNTING                                 ,FA_TRAN             
0010304300001       ,CANTER (IPI PROPERTY) PL#:YKH-498                           ,         0.00,  /  /    ,VEHICLE                                           ,NETMAN                        ,NETMAN-ACCOUNTING                                 ,FA_TRAN             
0010304400001       ,MASDA BONGO PL#:JFC-277                                     ,    285000.00,08/24/2013,VEHICLE                                           ,NETMAN                        ,NETMAN-ACCOUNTING                                 ,FA_TRAN             
0010304700001       ,MITS. CANTER FE85 PL#:YKE-545                               ,   1300000.00,03/27/2014,VEHICLE                                           ,NETMAN                        ,NETMAN-ACCOUNTING                                 ,FA_TRAN             
0002720300004       ,SAMSUNG GALAXY TAB4 S#10062720173                           ,      9990.00,03/25/2015,TABLET                                            ,NETMAN                        ,NETMAN-ACCOUNTING                                 ,FA_TRAN             
0002720300009       ,SAMSUNG GALAXY TAB4 S#66803280                              ,      9990.00,08/15/2015,TABLET                                            ,NETMAN                        ,NETMAN-ACCOUNTING                                 ,FA_TRAN             
0002720300023       ,SAMSUNG GALAXY TAB4 S#64172514                              ,      9990.00,06/04/2015,TABLET                                            ,NETMAN                        ,NETMAN-ACCOUNTING                                 ,FA_TRAN             
0002720300024       ,SAMSUNG GALAXY TAB4 S#63411681                              ,      9990.00,06/04/2015,TABLET                                            ,NETMAN                        ,NETMAN-ACCOUNTING                                 ,FA_TRAN             
0002720300034       ,SAMSUNG GALAXY TAB4 S#64290837                              ,      9990.00,06/04/2015,TABLET                                            ,NETMAN                        ,NETMAN-ACCOUNTING                                 ,FA_TRAN             
0002720300035       ,SAMSUNG GALAXY TAB4 S#72891789                              ,      8500.00,10/20/2015,TABLET                                            ,NETMAN                        ,NETMAN-ACCOUNTING                                 ,FA_TRAN             
0002720300036       ,SAMSUNG GALAXY TAB4 S#72891425                              ,      8500.00,10/20/2015,TABLET                                            ,NETMAN                        ,NETMAN-ACCOUNTING                                 ,FA_TRAN             
0002720300037       ,SAMSUNG GALAXY TAB4 S#72864000                              ,      8500.00,10/20/2015,TABLET                                            ,NETMAN                        ,NETMAN-ACCOUNTING                                 ,FA_TRAN             
0002720300038       ,SAMSUNG GALAXY TAB4 S#72863127                              ,      8500.00,10/20/2015,TABLET                                            ,NETMAN                        ,NETMAN-ACCOUNTING                                 ,FA_TRAN             
0002720300039       ,SAMSUNG GALAXY TAB4 S#72891391                              ,      8500.00,10/20/2015,TABLET                                            ,NETMAN                        ,NETMAN-ACCOUNTING                                 ,FA_TRAN             
0002720300040       ,SAMSUNG GALAXY TAB4 S#72891615                              ,      8500.00,10/20/2015,TABLET                                            ,NETMAN                        ,NETMAN-ACCOUNTING                                 ,FA_TRAN             
0002720300042       ,SAMSUNG GALAXY TAB4 S#72863341                              ,      8500.00,10/20/2015,TABLET                                            ,NETMAN                        ,NETMAN-ACCOUNTING                                 ,FA_TRAN             
0002720300043       ,SAMSUNG GALAXY TAB4 S#72863861                              ,      8500.00,10/20/2015,TABLET                                            ,NETMAN                        ,NETMAN-ACCOUNTING                                 ,FA_TRAN             
