barcode,desc,acost,adate,cat_type,locname,dept,status
0004210200001            ,FEEDS BODEGA                                                ,    700000.00,09/03/1998,BUILDING                                          ,MFI-POULTRY LAYER             ,POULTRY-ADMIN OFFICE                              ,                    
0004210300001            ,BODEGA EXTENSION                                            ,    216658.03,10/30/2008,BUILDING                                          ,MFI-POULTRY LAYER             ,POULTRY-ADMIN OFFICE                              ,                    
0004210400001            ,CONCRETE BUGGY                                              ,      1200.00,01/01/1997,OTHERS                                            ,MFI-POULTRY LAYER             ,POULTRY-ADMIN OFFICE                              ,                    
0004210500001            ,FLACKER MACHINE                                             ,      5769.00,03/08/2003,OTHERS                                            ,MFI-POULTRY LAYER             ,POULTRY-ADMIN OFFICE                              ,                    
0004210700001            ,STAINLESS DEBEAKER                                          ,      7500.00,03/15/2004,OTHERS                                            ,MFI-POULTRY LAYER             ,POULTRY-ADMIN OFFICE                              ,                    
0004210700002            ,STAINLESS DEBEAKER                                          ,     12000.05,01/31/2006,OTHERS                                            ,MFI-POULTRY LAYER             ,POULTRY-ADMIN OFFICE                              ,                    
0004210800001            ,SPRAYER KNAPSACK TUNGHO 16L                                 ,      2160.00,02/01/2009,SPRAYER                                           ,MFI-POULTRY LAYER             ,POULTRY-ADMIN OFFICE                              ,                    
0004210900001            ,REARING BUILDING                                            ,  15558173.00,03/31/2012,BUILDING                                          ,MFI-POULTRY LAYER             ,POULTRY-ADMIN OFFICE                              ,                    
0004211000001            ,EGGROOM BUILDING                                            ,   3086009.53,05/30/2012,BUILDING                                          ,MFI-POULTRY LAYER             ,POULTRY-ADMIN OFFICE                              ,                    
0004211400001            ,LAYER 1 BUILDING                                            ,  16801289.11,01/31/2012,BUILDING                                          ,MFI-POULTRY LAYER             ,POULTRY-ADMIN OFFICE                              ,                    
0004211500001            ,LAYER 2 BUILDING                                            ,  16321509.18,07/31/2012,BUILDING                                          ,MFI-POULTRY LAYER             ,POULTRY-ADMIN OFFICE                              ,                    
0004211600001            ,EGG PACKING MACHINE                                         ,  12905395.70,08/08/2012,OTHERS                                            ,MFI-POULTRY LAYER             ,POULTRY-ADMIN OFFICE                              ,                    
0004211700001            ,ISUZU FORWARD DUMP TRUCK PL#:RMK-281                        ,   1116500.00,12/13/2012,VEHICLE                                           ,MFI-POULTRY LAYER             ,POULTRY-ADMIN OFFICE                              ,                    
0004211800001            ,MITS. FUSO CANTER ALUM. VAN TRUCK PL#:RMN-644               ,    595500.00,11/15/2012,VEHICLE                                           ,MFI-POULTRY LAYER             ,POULTRY-ADMIN OFFICE                              ,                    
0004211900001            ,STEEL GARAGE                                                ,    245807.00,11/01/2004,BUILDING                                          ,MFI-POULTRY LAYER             ,POULTRY-ADMIN OFFICE                              ,                    
0004212000001            ,SLAUGHTER HOUSE                                             ,    100253.67,05/30/2008,BUILDING                                          ,MFI-POULTRY LAYER             ,POULTRY-ADMIN OFFICE                              ,                    
0004212100001            ,ELF 50 DUMP TRUCK GEN 475                                   ,    150000.00,05/11/1995,VEHICLE                                           ,MFI-POULTRY LAYER             ,POULTRY-ADMIN OFFICE                              ,                    
0004212200001            ,KUBOTA TRACTOR L1500                                        ,     40000.00,03/01/1997,OTHERS                                            ,MFI-POULTRY LAYER             ,POULTRY-ADMIN OFFICE                              ,                    
0002947200001            ,TRAILER                                                     ,     12000.00,06/01/1997,OTHERS                                            ,MFI-POULTRY LAYER             ,POULTRY-ADMIN OFFICE                              ,                    
0000447400008            ,OFFICE TABLE BROWN                                          ,      3430.00,01/01/1996,TABLE                                             ,MFI-POULTRY LAYER             ,POULTRY-ADMIN OFFICE                              ,                    
