id,desc,remarks,asset_type,cat_type,locname,dept,image,datetime_saved
1,mouse,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784783948745.jpg,"2026-07-23 01:18:50 PM"
2,"g high",,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785493135.jpg,"2026-07-23 01:44:37 PM"
3,gig,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785505424.jpg,"2026-07-23 01:44:56 PM"
4,ref,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785690250.jpg,"2026-07-23 01:48:02 PM"
5,guys,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785533329.jpg,"2026-07-23 01:45:25 PM"
6,rhg,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785544532.jpg,"2026-07-23 01:45:35 PM"
7,book,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785556208.jpg,"2026-07-23 01:45:47 PM"
8,we,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785566514.jpg,"2026-07-23 01:45:58 PM"
9,he,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785580363.jpg,"2026-07-23 01:46:10 PM"
10,agc,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785592765.jpg,"2026-07-23 01:46:24 PM"
11,"as was",,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785605085.jpg,"2026-07-23 01:46:36 PM"
12,high,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785615239.jpg,"2026-07-23 01:46:47 PM"
13,grub,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785627305.jpg,"2026-07-23 01:46:59 PM"
14,titch,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785649835.jpg,"2026-07-23 01:47:22 PM"
15,judging,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785671510.jpg,"2026-07-23 01:47:44 PM"
16,cyst,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785680209.jpg,"2026-07-23 01:47:53 PM"
17,csv,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785700252.jpg,"2026-07-23 01:48:12 PM"
18,duchy,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785710813.jpg,"2026-07-23 01:48:23 PM"
19,struck,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785723363.jpg,"2026-07-23 01:48:36 PM"
20,fetch,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785732176.jpg,"2026-07-23 01:48:45 PM"
21,search,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785742398.jpg,"2026-07-23 01:48:54 PM"
22,Czech,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785753154.jpg,"2026-07-23 01:49:06 PM"
23,set,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785770423.jpg,"2026-07-23 01:49:23 PM"
24,dear,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785780520.jpg,"2026-07-23 01:49:32 PM"
25,fresh,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785793223.jpg,"2026-07-23 01:49:45 PM"
26,such,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785803029.jpg,"2026-07-23 01:49:55 PM"
27,Hugo,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785815792.jpg,"2026-07-23 01:50:08 PM"
28,rest,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785827027.jpg,"2026-07-23 01:50:18 PM"
29,hyenas,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784785838993.jpg,"2026-07-23 01:50:30 PM"
30,gaucho,,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784787523226.jpg,"2026-07-23 02:18:31 PM"
31,tumbler,Sample,BLDG.,ACCESSORIES,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784791841579.jpg,"2026-07-23 03:30:26 PM"
32,mouse,Pd,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784793234093.jpg,"2026-07-23 03:53:31 PM"
33,tumbler,Pd,,,"HEAD OFFICE","HO-FS PROCESS AUDIT DEPARTMENT",IMG_1784793265116.jpg,"2026-07-23 03:54:12 PM"
