barcode,desc,acost,adate,cat_type,locname,dept,status
0026-0001025500152       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500153       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500154       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500155       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500156       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500157       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500158       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500159       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500160       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500161       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500162       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500163       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500164       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500165       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500166       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500167       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500168       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500169       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500170       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500171       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500172       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500173       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500174       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500175       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500176       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500177       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500178       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500179       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500180       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500181       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500182       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500183       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500184       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500185       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500186       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500187       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500188       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500189       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500190       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500191       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500192       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500193       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500194       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500195       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500196       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
0026-0001025500197       ,LOVE CART 022                                               ,      3724.05,11/21/2018,CART                                              ,ALTA CITTA                              ,AC-GROCERY CHECK OUT COUNTER                      ,FA_TRAN             
