barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
0001623900005       ,WANZL T24 TRANSPORT TROLLEY                                 ,      8550.00,10/04/2016,FUR. & FIXT.        ,TROLLY-STEEL                                      ,         5,ASC TUBIGON                   ,ASCTU-FIXRITE                                     ,STS                 
0002625800001       ,WALL UPRIGHT - 3RD FLOOR                                    ,         1.00,04/25/2016,FUR. & FIXT.        ,WALL GONDOLA                                      ,         5,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              ,                    
0002626200001       ,WALL GONDOLA - 3RD FLOOR                                    ,    325730.85,04/25/2016,FUR. & FIXT.        ,WALL GONDOLA                                      ,         5,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              ,                    
0002617000001       ,FURNITURE RACKING ENDER (3RD FLOOR)                         ,     13770.00,04/25/2016,FUR. & FIXT.        ,RACK                                              ,         5,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              ,                    
0002617000002       ,FURNITURE RACKING ENDER (3RD FLOOR)                         ,     13770.00,04/25/2016,FUR. & FIXT.        ,RACK                                              ,         5,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              ,                    
0002617000003       ,FURNITURE RACKING ENDER (3RD FLOOR)                         ,     13770.00,04/25/2016,FUR. & FIXT.        ,RACK                                              ,         5,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              ,                    
0002617000004       ,FURNITURE RACKING ENDER (3RD FLOOR)                         ,     13770.00,04/25/2016,FUR. & FIXT.        ,RACK                                              ,         5,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              ,                    
0002617000005       ,FURNITURE RACKING ENDER (3RD FLOOR)                         ,     13770.00,04/25/2016,FUR. & FIXT.        ,RACK                                              ,         5,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              ,                    
0002617000006       ,FURNITURE RACKING ENDER (3RD FLOOR)                         ,     13770.00,04/25/2016,FUR. & FIXT.        ,RACK                                              ,         5,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              ,                    
0002617000007       ,FURNITURE RACKING ENDER (3RD FLOOR)                         ,     13770.00,04/25/2016,FUR. & FIXT.        ,RACK                                              ,         5,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              ,                    
0002617000008       ,FURNITURE RACKING ENDER (3RD FLOOR)                         ,     13770.00,04/25/2016,FUR. & FIXT.        ,RACK                                              ,         5,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              ,                    
0002617000009       ,FURNITURE RACKING ENDER (3RD FLOOR)                         ,     13770.00,04/25/2016,FUR. & FIXT.        ,RACK                                              ,         5,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              ,                    
0002617100001       ,ISLAND GONDOLA-3RD FLOOR(BLACK)                             ,    399559.94,04/25/2016,FUR. & FIXT.        ,RACK                                              ,         5,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              ,                    
0002617200001       ,END CAP - TARGET (3RD FLOOR)                                ,    259350.76,04/25/2016,FUR. & FIXT.        ,RACK                                              ,         5,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              ,                    
0000474400011       ,BRAND NEW FACTORY - ASSEMBLED ""CATERPILL                    ,   1975000.00,04/20/2016,MACH. & EQPT.       ,GENERATOR                                         ,         5,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              ,STS                 
0000474400012       ,BRAND NEW FACTORY - ASSEMBLED ""CATERPILL                    ,   1975000.00,04/20/2016,MACH. & EQPT.       ,GENERATOR                                         ,         5,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              ,STS                 
0000275800001       ,10 KVA RIELLO SENTINEL DUAL SDL 10000                       ,    180000.00,05/11/2016,OFF. EQPT.          ,UPS                                               ,         5,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              ,STS                 
0000275600001       ,6 KVA RIELLO SDL ONLINE UPS                                 ,    123072.54,05/11/2016,OFF. EQPT.          ,UPS                                               ,         5,ASC TUBIGON                   ,ASCTU-HOME & FASHION                              ,STS                 
