barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
0117-0003207700001  ,PRINTER EPSON LQ-310                                        ,     13395.00,12/01/2021,OFF. EQPT.          ,PRINTER                                           ,         3,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0004230500001  ,MONITOR AOC 18.5""                                           ,      4750.00,12/01/2021,OFF. EQPT.          ,MONITOR                                           ,         3,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0006751900001  ,CPU INTEL CORE I3-10100                                     ,     16000.00,12/01/2021,OFF. EQPT.          ,CPU                                               ,         3,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0000852100001  ,KENWOOD HANDHELD RADIO TK-2107 VHF FM TRANSCEIVER           ,      8500.00,12/09/2021,OFF. EQPT.          ,RADIO                                             ,         3,MFI-BREEDER SUBAYON BILAR     ,BSB-ADMIN                                         ,FA_TRAN             
0117-0000852100006  ,KENWOOD HANDHELD RADIO TK-2107 VHF FM TRANSCEIVER           ,      8500.00,12/09/2021,OFF. EQPT.          ,RADIO                                             ,         3,MFI-BREEDER SUBAYON BILAR     ,BSB-ADMIN                                         ,FA_TRAN             
0117-0000852100008  ,KENWOOD HANDHELD RADIO TK-2107 VHF FM TRANSCEIVER           ,      8500.00,12/09/2021,OFF. EQPT.          ,RADIO                                             ,         3,MFI-BREEDER SUBAYON BILAR     ,BSB-ADMIN                                         ,FA_TRAN             
0117-0007142000001  ,CONDURA NEGOSYO INVERTER PRO 2 DOOR 9.8 CU. FT              ,     23555.00,12/07/2021,MACH. & EQPT.       ,REFRIGERATOR                                      ,         3,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0007142200001  ,WASHING MACHINE LG 12 KG TWIN TUB PT1200R                   ,     13295.00,12/07/2021,MACH. & EQPT.       ,WASHING MACHINE                                   ,         3,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0003837900001  ,HYPO CHLORINATOR (PULSATRON)                                ,     40000.00,01/06/2022,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0003837900002  ,HYPO CHLORINATOR (PULSATRON)                                ,     40000.00,01/06/2022,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0007263200001  ,ZEKOKI BLOWER                                               ,      2249.75,01/13/2022,TOOLS               ,BLOWER                                            ,         3,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0007263400001  ,KEN GRINDER                                                 ,      2519.75,01/13/2022,MACH. & EQPT.       ,GRINDER                                           ,         7,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0007266100001  ,MULTI TESTER YX X 360 TRF                                   ,      2280.00,02/02/2022,STR. EQPT.          ,TEST KIT                                          ,         5,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0005860500001  ,STANLEY BLOWER 600W                                         ,      3649.00,01/27/2022,TOOLS               ,TOOLS                                             ,         3,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0001125500001  ,SANWA ANALOG CLAMP METER TESTER #CAM-600S                   ,      5142.86,02/07/2022,TOOLS               ,MULTI-TESTER                                      ,         3,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0001050900001  ,KAWASAKI  POWER SPRAYER 1.5HP                               ,      6607.14,02/16/2022,MACH. & EQPT.       ,PRESSURE WASHER                                   ,         2,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0001050900002  ,KAWASAKI  POWER SPRAYER 1.5HP                               ,      6607.14,02/16/2022,MACH. & EQPT.       ,PRESSURE WASHER                                   ,         2,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0001050900003  ,KAWASAKI  POWER SPRAYER 1.5HP                               ,      6607.14,02/16/2022,MACH. & EQPT.       ,PRESSURE WASHER                                   ,         2,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0003229800001  ,WULI POWER SPRAYER 2HP                                      ,     24200.00,02/16/2022,MACH. & EQPT.       ,POWER SPRAYER                                     ,         3,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FABB                
0117-0003229800002  ,WULI POWER SPRAYER 2HP                                      ,     24200.00,02/16/2022,MACH. & EQPT.       ,POWER SPRAYER                                     ,         3,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FABB                
0117-0003229800003  ,WULI POWER SPRAYER 2HP                                      ,     24200.00,02/16/2022,MACH. & EQPT.       ,POWER SPRAYER                                     ,         3,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FABB                
0117-0003229800004  ,WULI POWER SPRAYER 2HP                                      ,     24200.00,02/16/2022,MACH. & EQPT.       ,POWER SPRAYER                                     ,         3,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FABB                
0117-0007373400001  ,HANABISHI SMART LED TV                                      ,     14399.00,02/17/2022,STR. EQPT.          ,TV                                                ,         3,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0000604500001  ,PRINTER EPSON LQ310 W/ USB PRINTER CABLE                    ,     15495.00,03/14/2022,OFF. EQPT.          ,PRINTER                                           ,         3,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0004305200001  ,COMPUTER SET INTEL CORE I3                                  ,     24780.00,03/14/2022,OFF. EQPT.          ,COMPUTER                                          ,         3,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0007368300001  ,KDK SIDEWALL PROPELLER FAN                                  ,      4400.00,03/01/2022,STR. EQPT.          ,EXHAUST FAN                                       ,         3,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0007368300002  ,KDK SIDEWALL PROPELLER FAN                                  ,      4400.00,03/01/2022,STR. EQPT.          ,EXHAUST FAN                                       ,         3,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0007392900001  ,AIRCON CARRIER WRAC-1 WCARK006EECG 0.50HP                   ,     11850.00,04/04/2022,MACH. & EQPT.       ,AIRCON                                            ,         5,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0007393200001  ,AIRCON CARRIER WRAC-2 WCARJ014EE 1.50HP                     ,     20025.00,04/04/2022,MACH. & EQPT.       ,AIRCON                                            ,         5,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0005127600001  ,FINGERPRINT TIME ATTENDANCE TERMINAL 3000TC                 ,      8750.00,04/19/2022,STR. EQPT.          ,OTHERS                                            ,         3,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0005127600002  ,FINGERPRINT TIME ATTENDANCE TERMINAL 3000TC                 ,      8750.00,04/19/2022,STR. EQPT.          ,OTHERS                                            ,         3,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0005127600003  ,FINGERPRINT TIME ATTENDANCE TERMINAL 3000TC                 ,      8750.00,04/19/2022,STR. EQPT.          ,OTHERS                                            ,         3,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0007379900001  ,MITS. FUSO CANTER FE85 CS#:HOC581 PL#:GAR-1193              ,   1517857.00,04/19/2022,TRNS. EQPT.         ,VEHICLE                                           ,        10,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0001452800001  ,FUJIDENZO CFRZR FD 11ADF 11CF                               ,     26950.00,05/12/2022,MACH. & EQPT.       ,FREEZER                                           ,         5,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0007430300001  ,FUSO CANTER ALUM. WING VAN BODY PL#:GAR-1193                ,    303571.00,04/28/2022,TRNS. EQPT.         ,VEHICLE                                           ,        10,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0007777400001  ,URATEX MAT W/ CHC 2X36X75 SINGLE                            ,      1699.75,06/24/2022,FUR. & FIXT.        ,BED                                               ,         5,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0007777400002  ,URATEX MAT W/ CHC 2X36X75 SINGLE                            ,      1699.75,06/24/2022,FUR. & FIXT.        ,BED                                               ,         5,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0007777400003  ,URATEX MAT W/ CHC 2X36X75 SINGLE                            ,      1699.75,06/24/2022,FUR. & FIXT.        ,BED                                               ,         5,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0007792100001  ,CAMEL STAND FAN                                             ,      2172.00,06/24/2022,STR. EQPT.          ,FAN                                               ,         3,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0007792100002  ,CAMEL STAND FAN                                             ,      2172.00,06/24/2022,STR. EQPT.          ,FAN                                               ,         3,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0007871900001  ,URATEX SQUARE TABLE PLASTIC 36X36                           ,      1799.75,07/21/2022,FUR. & FIXT.        ,TABLE                                             ,         5,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
0117-0007871900002  ,URATEX SQUARE TABLE PLASTIC 36X36                           ,      1799.75,07/21/2022,FUR. & FIXT.        ,TABLE                                             ,         5,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   ,FAACQ               
