barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
0116-0001797400001       ,MITS. FUSO CANTER FE83 CS#:NC6107 PL#:GBQ-1026              ,   1096551.00,05/08/2016,TRNS. EQPT.         ,VEHICLE                                           ,        10,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 ,FABB                
0116-0007121900001       ,HONDA TMX                                                   ,     68500.00,05/20/2010,TRNS. EQPT.         ,MOTORCYCLE-BRAND NEW                              ,         4,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 ,FABB                
0116-0007122600001       ,ISUZU FORWARD TRUCK PL#:RJE-910                             ,    590850.00,08/12/2010,TRNS. EQPT.         ,VEHICLE                                           ,        10,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 ,FABB                
0116-0007123800001       ,BICYCLE NEXT 20X14G E/T WALL ALLOY RIM                      ,      2200.00,11/30/2010,TRNS. EQPT.         ,OTHERS                                            ,         4,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 ,FABB                
0116-0007124200001       ,FUSO CANTER EGG VAN PL#:RLD-751                             ,    615500.00,09/14/2011,TRNS. EQPT.         ,VEHICLE                                           ,        10,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 ,FABB                
0116-0007126000001       ,ISUZU ELF CARGO PL#:RLN-484                                 ,    685500.00,02/29/2012,TRNS. EQPT.         ,VEHICLE                                           ,        10,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 ,FABB                
0116-0007126600001       ,DIFFERENTIAL CARRIER ASSY                                   ,     45000.00,01/30/2015,TRNS. EQPT.         ,VEHICLE                                           ,        10,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 ,FABB                
0116-0007128700001       ,MITSUBISHI STRADA GL 4X4                                    ,    265000.00,09/08/2016,TRNS. EQPT.         ,VEHICLE                                           ,        10,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 ,FABB                
0116-0001291300001       ,MITSUBISHI FUSO CANTER FE85 CAB & CHASSIS                   ,   1587071.91,09/27/2018,TRNS. EQPT.         ,VEHICLE                                           ,        10,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 ,FABB                
0116-0007129000001       ,ISUZU FORWARD ALUM. WING VAN PL#:RMJ-971                    ,    975000.00,01/09/2013,TRNS. EQPT.         ,VEHICLE                                           ,        10,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 ,FABB                
0116-0007129900001       ,SPARE PARTS FOR MITSU. FUSO CANTER DROPSIDE FE85            ,    103204.25,09/27/2018,TRNS. EQPT.         ,VEHICLE                                           ,        10,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 ,FABB                
0116-0007130000001       ,MITS. FUSO CANTER FEB4 CS#:B3S229 PL#:GAJ-8739              ,   1471000.00,10/25/2018,TRNS. EQPT.         ,VEHICLE                                           ,        10,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         ,FA_TRAN             
0116-0007130000002       ,MITS. FUSO CANTER FEB4 CS#:B3S228 PL#:GAJ-8716              ,   1471000.00,10/25/2018,TRNS. EQPT.         ,VEHICLE                                           ,        10,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 ,FABB                
0116-0007130100001       ,FREEZER VAN PLATE # B3S228;229                              ,   1072743.43,06/26/2019,TRNS. EQPT.         ,VEHICLE                                           ,        10,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 ,FABB                
0116-0001101000001       ,REFRIGERATOR SANYO                                          ,      6695.00,07/19/2016,STR. EQPT.          ,REFRIGERATOR                                      ,         3,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 ,FABB                
0116-0001120000001       ,AIRCON CARRIER                                              ,     21310.08,02/04/2014,MACH. & EQPT.       ,AIRCON                                            ,         5,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 ,FABB                
0116-0003187700001       ,ROBIN GRASS CUTTER                                          ,     13734.00,05/13/2011,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 ,FABB                
0116-0003232200001       ,AIRCON CARRIER 1.5HP                                        ,     20254.08,05/23/2012,MACH. & EQPT.       ,AIRCON                                            ,         5,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 ,FABB                
0116-0003523300001       ,OVERHEAD TANK                                               ,   1010000.00,02/28/2010,STR. EQPT.          ,TANK                                              ,         5,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 ,FABB                
0116-0006242600001       ,FREEZER FUJIDENZO 13 CU FT.                                 ,     20592.00,03/26/2013,STR. EQPT.          ,FREEZER/CHILLER                                   ,         5,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 ,FABB                
0116-0007130200001       ,GOULDS SUB PUMP 2HP MODEL # 25GS20412                       ,     84492.84,12/09/2009,MACH. & EQPT.       ,PUMP                                              ,         5,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 ,FABB                
0116-0007130300001       ,PANEL BOARD CONTROL 2HP                                     ,     16530.00,12/09/2009,MACH. & EQPT.       ,PANEL BOARD                                       ,         5,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 ,FABB                
0116-0007130400001       ,STIHL GRASS CUTTER 1.3HP                                    ,     14800.00,04/12/2011,MACH. & EQPT.       ,GRASS CUTTER                                      ,         5,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 ,FABB                
