barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
FAD-0122-0012158300001   ,BIOMETRICKS ZKTECO K30 FINGER READER/TIME                   ,      7600.00,05/09/2025,OFF. EQPT.          ,BIOMETRICS                                        ,         3,AGGREGATES & CONSTRUCTION MATE,AGGREGATES & CONS.-ADMIN                          ,FAACQ               
FAD-0122-0012212600001   ,INJECTION PUMP CALIBRATE                                    ,     95535.71,08/04/2025,MACH. & EQPT.       ,PUMP                                              ,         5,AGGREGATES & CONSTRUCTION MATE,AGGREGATES & CONS.-ADMIN                          ,FAACQ               
FAD-0122-0010558200001   ,KARCHER POWER SPRAY                                         ,     54428.50,08/08/2025,STR. EQPT.          ,PRESSURE WASHER                                   ,         2,AGGREGATES & CONSTRUCTION MATE,AGGREGATES & CONS.-ADMIN                          ,FAACQ               
FAD-0122-0009858700001   ,SAND WASHER SLURRY PUMP                                     ,     59553.57,11/20/2025,MACH. & EQPT.       ,PUMP                                              ,         5,AGGREGATES & CONSTRUCTION MATE,AGGREGATES & CONS.-ADMIN                          ,FAACQ               
FAD-0122-0009858700002   ,SAND WASHER SLURRY PUMP                                     ,     59553.57,11/20/2025,MACH. & EQPT.       ,PUMP                                              ,         5,AGGREGATES & CONSTRUCTION MATE,AGGREGATES & CONS.-ADMIN                          ,FAACQ               
FAD-0122-0012492000001   ,SLURRY PUMP                                                 ,    620535.71,02/02/2026,MACH. & EQPT.       ,PUMP                                              ,         5,AGGREGATES & CONSTRUCTION MATE,AGGREGATES & CONS.-ADMIN                          ,FAACQ               
FAD-0122-0012770700001   ,CARRIER A/C 53CXV030308-1 3HP                               ,     65891.07,02/13/2026,MACH. & EQPT.       ,AIRCON                                            ,         5,AGGREGATES & CONSTRUCTION MATE,AGGREGATES & CONS.-ADMIN                          ,FAACQ               
FAD-0122-0012770700002   ,CARRIER A/C 53CXV030308-1 3HP                               ,     65891.07,02/13/2026,MACH. & EQPT.       ,AIRCON                                            ,         5,AGGREGATES & CONSTRUCTION MATE,AGGREGATES & CONS.-ADMIN                          ,FAACQ               
FAD-0122-0000996400001   ,GANG CHAIR 4 SEATER                                         ,     11650.00,03/10/2026,FUR. & FIXT.        ,CHAIR                                             ,         3,AGGREGATES & CONSTRUCTION MATE,AGGREGATES & CONS.-ADMIN                          ,FAACQ               
FAD-0122-0000996400002   ,GANG CHAIR 4 SEATER                                         ,     11650.00,03/10/2026,FUR. & FIXT.        ,CHAIR                                             ,         3,AGGREGATES & CONSTRUCTION MATE,AGGREGATES & CONS.-ADMIN                          ,FAACQ               
FAD-0122-0012910800001   ,CARRIER A/C FP53CAC018308-1                                 ,     37935.72,04/07/2026,MACH. & EQPT.       ,AIRCON                                            ,         5,AGGREGATES & CONSTRUCTION MATE,AGGREGATES & CONS.-ADMIN                          ,FAACQ               
FAD-0122-0012910800002   ,CARRIER A/C FP53CAC018308-1                                 ,     37935.72,04/07/2026,MACH. & EQPT.       ,AIRCON                                            ,         5,AGGREGATES & CONSTRUCTION MATE,AGGREGATES & CONS.-ADMIN                          ,FAACQ               
FAD-0122-0001175100001   ,STEEL CABINET 5 LAYER                                       ,      9732.14,04/07/2026,FUR. & FIXT.        ,CABINET-STEEL                                     ,        10,AGGREGATES & CONSTRUCTION MATE,AGGREGATES & CONS.-ADMIN                          ,FAACQ               
FAD-0122-0001175100002   ,STEEL CABINET 5 LAYER                                       ,      9732.14,04/07/2026,FUR. & FIXT.        ,CABINET-STEEL                                     ,        10,AGGREGATES & CONSTRUCTION MATE,AGGREGATES & CONS.-ADMIN                          ,FAACQ               
FAD-0122-0001175100003   ,STEEL CABINET 5 LAYER                                       ,      9732.14,04/07/2026,FUR. & FIXT.        ,CABINET-STEEL                                     ,        10,AGGREGATES & CONSTRUCTION MATE,AGGREGATES & CONS.-ADMIN                          ,FAACQ               
FAD-0122-0005752000001   ,STEEL LOCKER CABINET HERMACO W/ 18 DOORS                    ,     11562.50,05/14/2026,FUR. & FIXT.        ,CABINET-STEEL                                     ,        10,AGGREGATES & CONSTRUCTION MATE,AGGREGATES & CONS.-ADMIN                          ,FAACQ               
FAD-0122-0013670900001   ,MAKITA PORTABLE CUT-OFF 14''                                ,      9080.36,08/25/2026,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,AGGREGATES & CONSTRUCTION MATE,AGGREGATES & CONS.-ADMIN                          ,FAACQ               
