barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
0108-0008982700001       ,YAMATO WELDING MACHINE 200AMP. INVERTER TYPE                ,      4414.29,01/20/2024,MACH. & EQPT.       ,MACH. & EQUIPMENT                                 ,         5,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
0108-0008982700002       ,YAMATO WELDING MACHINE 200AMP. INVERTER TYPE                ,      4414.29,01/20/2024,MACH. & EQPT.       ,MACH. & EQUIPMENT                                 ,         5,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0008982700003   ,YAMATO WELDING MACHINE 200AMP. INVERTER TYPE                ,      4414.29,01/07/2024,MACH. & EQPT.       ,MACH. & EQUIPMENT                                 ,         5,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0009131700001   ,VITAL CHAIN BLOCK 3TONS                                     ,      8370.54,08/15/2024,TOOLS               ,TOOLS                                             ,         3,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0009131700002   ,VITAL CHAIN BLOCK 3TONS                                     ,      8370.54,08/15/2024,TOOLS               ,TOOLS                                             ,         3,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0008662000001   ,S-ROTARY HAMMER TE 1 230V CASE                              ,     13390.65,10/21/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0008662000002   ,S-ROTARY HAMMER TE 1 230V CASE                              ,     13390.65,10/21/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0009283100001   ,MITS. FUSO CANTER FG83 CS#:H0G143 PL#:GBI-4541              ,   2098214.29,11/29/2024,TRNS. EQPT.         ,VEHICLE                                           ,        10,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0011222800001   ,CONDURA AIR COND WCONH019EEV 2 HP                           ,     37500.00,01/07/2025,MACH. & EQPT.       ,AIRCON                                            ,         5,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0011545100001   ,CORDLESS RIVETING TOOL RT 6-22 CASE                         ,     49682.24,03/14/2025,TOOLS               ,TOOLS                                             ,         3,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0011545000001   ,CORDLESS ANGLE GRINDER AG 6D-22-125 BOX                     ,     29862.63,03/14/2025,TOOLS               ,GRINDER                                           ,         7,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0011545300001   ,CORDLESS ROTARY HAMMER TE 6-22 CASE                         ,     31172.31,03/14/2025,TOOLS               ,TOOLS                                             ,         3,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0012096300001   ,SHIMATO WELDING MACHINE (300 AMPS)                          ,      5223.22,04/29/2025,TOOLS               ,MACHINE TOOLS                                     ,         5,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0011321200001   ,HIK VISION DOME IP CAMERA 4MP 2.8MM(HWI-DI40H)              ,      2900.00,04/24/2025,STR. EQPT.          ,CAMERA                                            ,         3,ALTURAS GLASS                 ,AG-ADMIN                                          ,FAACQ               
FAD-0108-0011321200002   ,HIK VISION DOME IP CAMERA 4MP 2.8MM(HWI-DI40H)              ,      2900.00,04/24/2025,STR. EQPT.          ,CAMERA                                            ,         3,ALTURAS GLASS                 ,AG-ADMIN                                          ,FAACQ               
FAD-0108-0011321200003   ,HIK VISION DOME IP CAMERA 4MP 2.8MM(HWI-DI40H)              ,      2900.00,04/24/2025,STR. EQPT.          ,CAMERA                                            ,         3,ALTURAS GLASS                 ,AG-ADMIN                                          ,FAACQ               
FAD-0108-0011321200004   ,HIK VISION DOME IP CAMERA 4MP 2.8MM(HWI-DI40H)              ,      2900.00,04/24/2025,STR. EQPT.          ,CAMERA                                            ,         3,ALTURAS GLASS                 ,AG-ADMIN                                          ,FAACQ               
FAD-0108-0011321200005   ,HIK VISION DOME IP CAMERA 4MP 2.8MM(HWI-DI40H)              ,      2900.00,04/24/2025,STR. EQPT.          ,CAMERA                                            ,         3,ALTURAS GLASS                 ,AG-ADMIN                                          ,FAACQ               
FAD-0108-0010537600001   ,BIOMETRICS ZKTECO K14                                       ,      7410.71,11/07/2025,STR. EQPT.          ,BIOMETRICS                                        ,         3,ALTURAS GLASS                 ,AG-ADMIN                                          ,FAACQ               
FAD-0108-0012096300002   ,SHIMATO WELDING MACHINE (300 AMPS)                          ,      5223.21,01/28/2026,TOOLS               ,MACHINE TOOLS                                     ,         5,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
FAD-0108-0012289700001   ,SW-BT1012TR  SPEAKER                                        ,      8999.00,03/12/2026,STR. EQPT.          ,SPEAKER                                           ,         3,ALTURAS GLASS                 ,AG-ADMIN                                          ,FAACQ               
FAD-0108-0010972100001   ,EMERALD SUBMERSIBLE PUMP (1HP) FPSP-1120                    ,      5937.50,04/15/2025,MACH. & EQPT.       ,PUMP                                              ,         5,ALTURAS GLASS                 ,AG-PRODUCTION                                     ,FAACQ               
