barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
FAD-0006-0008669100005   ,82790 SHARP SMART 2T C42DF1X                                ,     12841.07,03/11/2024,OFF. EQPT.          ,TV                                                ,         3,ASC MAIN                      ,ASCM-SAFETY & SECURITY DEPARTMENT                 ,FAACQ               
FAD-0006-0008669100006   ,82790 SHARP SMART 2T C42DF1X                                ,     12841.07,03/11/2024,OFF. EQPT.          ,TV                                                ,         3,ASC MAIN                      ,ASCM-SAFETY & SECURITY DEPARTMENT                 ,FAACQ               
FAD-0006-0008166400001   ,EPSON LQ310 DOT MATRIX PRINTER                              ,     12589.29,04/05/2024,OFF. EQPT.          ,PRINTER                                           ,         3,ASC MAIN                      ,ASCM-GROCERY PURCHASING                           ,FAACQ               
FAD-0006-0008166400002   ,EPSON LQ310 DOT MATRIX PRINTER                              ,     12589.29,04/05/2024,OFF. EQPT.          ,PRINTER                                           ,         3,ASC MAIN                      ,ASCM-GROCERY PURCHASING                           ,FAACQ               
FAD-0006-0008322200001   ,HIKVISION NVR 16 CHANNEL                                    ,      4464.29,07/03/2024,OFF. EQPT.          ,RECORDER                                          ,         3,ASC MAIN                      ,ASCM-ENGINEERING DEPARTMENT                       ,FAACQ               
FAD-0006-0010012100001   ,KAWASAKI POWER SPRAYER                                      ,      7142.86,06/04/2024,MACH. & EQPT.       ,SPRAYER                                           ,         2,ASC MAIN                      ,ASCM-FRESHMARKET                                  ,FAACQ               
FAD-0006-0009574800001   ,EBARA HORIZONTAL SPLIT CASE CENTRIFUGAL PUMP                ,    294642.86,07/20/2024,MACH. & EQPT.       ,PUMP                                              ,         5,ASC MAIN                      ,ASCM-ENGINEERING DEPARTMENT                       ,FAACQ               
FAD-0006-0009574800002   ,EBARA HORIZONTAL SPLIT CASE CENTRIFUGAL PUMP                ,    294642.86,07/20/2024,MACH. & EQPT.       ,PUMP                                              ,         5,ASC MAIN                      ,ASCM-ENGINEERING DEPARTMENT                       ,FAACQ               
FAD-0006-0009492500001   ,SHARP TV 42'                                                ,     12410.72,07/31/2024,OFF. EQPT.          ,TV                                                ,         3,ASC MAIN                      ,ASCM-SAFETY & SECURITY DEPARTMENT                 ,FAACQ               
FAD-0006-0009492500002   ,SHARP TV 42'                                                ,     12410.72,07/31/2024,OFF. EQPT.          ,TV                                                ,         3,ASC MAIN                      ,ASCM-SAFETY & SECURITY DEPARTMENT                 ,FAACQ               
FAD-0006-0009492500003   ,SHARP TV 42'                                                ,     12410.72,07/31/2024,OFF. EQPT.          ,TV                                                ,         3,ASC MAIN                      ,ASCM-SAFETY & SECURITY DEPARTMENT                 ,FAACQ               
FAD-0006-0009492500004   ,SHARP TV 42'                                                ,     12410.72,07/31/2024,OFF. EQPT.          ,TV                                                ,         3,ASC MAIN                      ,ASCM-SAFETY & SECURITY DEPARTMENT                 ,FAACQ               
FAD-0006-0009822000001   ,HANDHELD SCANNER N130 BT HPRT                               ,      4017.86,08/13/2024,STR. EQPT.          ,SCANNER                                           ,         3,ASC MAIN                      ,ASCM-GROCERY CHECK OUT COUNTER                    ,FAACQ               
FAD-0006-0009822000002   ,HANDHELD SCANNER N130 BT HPRT                               ,      4017.86,08/13/2024,STR. EQPT.          ,SCANNER                                           ,         3,ASC MAIN                      ,ASCM-GROCERY CHECK OUT COUNTER                    ,FAACQ               
FAD-0006-0009822000003   ,HANDHELD SCANNER N130 BT HPRT                               ,      4017.86,08/13/2024,STR. EQPT.          ,SCANNER                                           ,         3,ASC MAIN                      ,ASCM-GROCERY CHECK OUT COUNTER                    ,FAACQ               
FAD-0006-0009822000004   ,HANDHELD SCANNER N130 BT HPRT                               ,      4017.86,08/13/2024,STR. EQPT.          ,SCANNER                                           ,         3,ASC MAIN                      ,ASCM-GROCERY CHECK OUT COUNTER                    ,FAACQ               
FAD-0006-0009822000005   ,HANDHELD SCANNER N130 BT HPRT                               ,      4017.86,08/13/2024,STR. EQPT.          ,SCANNER                                           ,         3,ASC MAIN                      ,ASCM-GROCERY CHECK OUT COUNTER                    ,FAACQ               
FAD-0006-0009824600003   ,HANDHELD SCANNER N101 HPRT                                  ,      3482.14,08/13/2024,STR. EQPT.          ,SCANNER                                           ,         3,ASC MAIN                      ,ASCM-GROCERY CHECK OUT COUNTER                    ,FAACQ               
FAD-0006-0009824600004   ,HANDHELD SCANNER N101 HPRT                                  ,      3482.14,08/13/2024,STR. EQPT.          ,SCANNER                                           ,         3,ASC MAIN                      ,ASCM-GROCERY CHECK OUT COUNTER                    ,FAACQ               
FAD-0006-0009824600005   ,HANDHELD SCANNER N101 HPRT                                  ,      3482.14,08/13/2024,STR. EQPT.          ,SCANNER                                           ,         3,ASC MAIN                      ,ASCM-GROCERY CHECK OUT COUNTER                    ,FAACQ               
FAD-0006-0009697600001   ,DELIVERY CHARGE                                             ,      6935.88,07/20/2024,BLDG. IMPVT.        ,OTHERS                                            ,         3,ASC MAIN                      ,ASCM-SUPERMARKET (SA)                             ,FAACQ               
FAD-0006-0009800400001   ,CHECK-OUT GONDOLA 1 (L66.5 X D47 X H130)                    ,      7864.80,07/20/2024,STR. EQPT.          ,GONDOLA                                           ,        10,ASC MAIN                      ,ASCM-SUPERMARKET (SA)                             ,FAACQ               
