barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
FAD-0003-0002273400001   ,METTLER TOLEDO LABEL PRINTING SCALE                         ,     63392.86,04/18/2024,STR. EQPT.          ,WEIGHING SCALE                                    ,         3,ASC TALIBON                   ,ASCT-GROCERY SELLING AREA                         ,FAACQ               
FAD-0003-0010187500001   ,WD 0B36039 ULTRASTAR 3.5IN 26.1MM 6TB 256MB 72KRPM          ,     13778.57,08/26/2026,OFF. EQPT.          ,HARD DISK                                         ,         2,ASC TALIBON                   ,ASCT-EDP - IT - ADMIN                             ,FAACQ               
FAD-0003-0010187500002   ,WD 0B36039 ULTRASTAR 3.5IN 26.1MM 6TB 256MB 72KRPM          ,     13778.57,08/26/2026,OFF. EQPT.          ,HARD DISK                                         ,         2,ASC TALIBON                   ,ASCT-EDP - IT - ADMIN                             ,FAACQ               
FAD-0003-0010187500003   ,WD 0B36039 ULTRASTAR 3.5IN 26.1MM 6TB 256MB 72KRPM          ,     13778.57,08/26/2026,OFF. EQPT.          ,HARD DISK                                         ,         2,ASC TALIBON                   ,ASCT-EDP - IT - ADMIN                             ,FAACQ               
FAD-0003-0010187500004   ,WD 0B36039 ULTRASTAR 3.5IN 26.1MM 6TB 256MB 72KRPM          ,     13778.57,08/26/2026,OFF. EQPT.          ,HARD DISK                                         ,         2,ASC TALIBON                   ,ASCT-EDP - IT - ADMIN                             ,FAACQ               
FAD-0003-0010187500005   ,WD 0B36039 ULTRASTAR 3.5IN 26.1MM 6TB 256MB 72KRPM          ,     13778.57,08/26/2026,OFF. EQPT.          ,HARD DISK                                         ,         2,ASC TALIBON                   ,ASCT-EDP - IT - ADMIN                             ,FAACQ               
FAD-0003-0010187500006   ,WD 0B36039 ULTRASTAR 3.5IN 26.1MM 6TB 256MB 72KRPM          ,     13778.57,08/26/2026,OFF. EQPT.          ,HARD DISK                                         ,         2,ASC TALIBON                   ,ASCT-EDP - IT - ADMIN                             ,FAACQ               
FAD-0003-0000521700001   ,FOOD DISPLAY STEAMER (SIOPAO WARMER)                        ,     15321.43,10/24/2024,STR. EQPT.          ,STEAMER                                           ,         3,ASC TALIBON                   ,ASCT-FOODMIX SECTION                              ,FAACQ               
FAD-0003-0009933800001   ,JTC OMNI BLEND V (2L WITH DIGITAL CONTROLS)                 ,      9750.00,10/24/2024,STR. EQPT.          ,BLENDER                                           ,         3,ASC TALIBON                   ,ASCT-FOODMIX SECTION                              ,FAACQ               
FAD-0003-0010452300001   ,DS-7216HGHI-K1(S) 16CH DVR H.265 PRO+                       ,      4600.00,11/07/2024,STR. EQPT.          ,STORAGE                                           ,         3,ASC TALIBON                   ,ASCT-SSD DEPT. - ADMIN                            ,FAACQ               
FAD-0003-0010452400001   ,SEAGATE SKYHAWK AI 10TB (ST10000VE0008)                     ,     16858.04,11/07/2024,STR. EQPT.          ,STORAGE                                           ,         3,ASC TALIBON                   ,ASCT-SSD DEPT. - ADMIN                            ,FAACQ               
FAD-0003-0010232100001   ,NICHIYU REACH TRUCK LITHIUM ION BATTERY                     ,    405357.14,01/01/2025,FUR. & FIXT.        ,BATTERY                                           ,         3,ASC TALIBON                   ,ASCT-TALIBON WAREHOUSE                            ,FAACQ               
FAD-0003-0010232100002   ,NICHIYU REACH TRUCK LITHIUM ION BATTERY                     ,    405357.14,01/01/2025,FUR. & FIXT.        ,BATTERY                                           ,         3,ASC TALIBON                   ,ASCT-TALIBON WAREHOUSE                            ,FAACQ               
FAD-0003-0010232200001   ,NICHIYU REACH TRUCK LITHIUM ION BATTERY CHARGER             ,    120660.71,01/01/2025,FUR. & FIXT.        ,BATTERY                                           ,         3,ASC TALIBON                   ,ASCT-TALIBON WAREHOUSE                            ,FAACQ               
