barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
FAD-0011-0009084000001   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,      3309.09,01/18/2024,OFF. EQPT.          ,TELEPHONE                                         ,         3,ASC TUBIGON                   ,ASCTU-FIXRITE                                     ,FAACQ               
FAD-0011-0009084000002   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,      3309.09,01/18/2024,OFF. EQPT.          ,TELEPHONE                                         ,         3,ASC TUBIGON                   ,ASCTU-FIXRITE                                     ,FAACQ               
FAD-0011-0009084000003   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,      3309.09,01/18/2024,OFF. EQPT.          ,TELEPHONE                                         ,         3,ASC TUBIGON                   ,ASCTU-FIXRITE                                     ,FAACQ               
FAD-0011-0009084000004   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,      3309.09,01/18/2024,OFF. EQPT.          ,TELEPHONE                                         ,         3,ASC TUBIGON                   ,ASCTU-FIXRITE                                     ,FAACQ               
FAD-0011-0009084000005   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,      3309.09,01/18/2024,OFF. EQPT.          ,TELEPHONE                                         ,         3,ASC TUBIGON                   ,ASCTU-FIXRITE                                     ,FAACQ               
FAD-0011-0009084000006   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,      3309.09,01/18/2024,OFF. EQPT.          ,TELEPHONE                                         ,         3,ASC TUBIGON                   ,ASCTU-FIXRITE                                     ,FAACQ               
FAD-0011-0009084000007   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,      3309.09,01/18/2024,OFF. EQPT.          ,TELEPHONE                                         ,         3,ASC TUBIGON                   ,ASCTU-FIXRITE                                     ,FAACQ               
FAD-0011-0009084000008   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,      3309.09,01/18/2024,OFF. EQPT.          ,TELEPHONE                                         ,         3,ASC TUBIGON                   ,ASCTU-FIXRITE                                     ,FAACQ               
FAD-0011-0009084000009   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,      3309.09,01/18/2024,OFF. EQPT.          ,TELEPHONE                                         ,         3,ASC TUBIGON                   ,ASCTU-FIXRITE                                     ,FAACQ               
FAD-0011-0009084000010   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,      3309.09,01/18/2024,OFF. EQPT.          ,TELEPHONE                                         ,         3,ASC TUBIGON                   ,ASCTU-FIXRITE                                     ,FAACQ               
FAD-0011-0009158900001   ,IP PBX W/O MODULE                                           ,     33873.44,01/18/2024,OFF. EQPT.          ,TELEPHONE                                         ,         3,ASC TUBIGON                   ,ASCTU-FIXRITE                                     ,FAACQ               
FAD-0011-0009258100001   ,HIKVISION E - HWIB MINI BULLET  IP CAMERA 2MP               ,      1600.00,03/01/2024,STR. EQPT.          ,CAMERA                                            ,         3,ASC TUBIGON                   ,ASCTU-SAFETY & SECURITY DEPARTMENT                ,FAACQ               
FAD-0011-0007456200003   ,TROPICAL FIRE EXTINGUISHER 10 LBS HCFC-123 GREEN            ,      3973.21,04/12/2024,STR. EQPT.          ,FIRE EXTINGUISHER                                 ,         3,ASC TUBIGON                   ,ASCTU-SAFETY & SECURITY DEPARTMENT                ,FAACQ               
FAD-0011-0007456200004   ,TROPICAL FIRE EXTINGUISHER 10 LBS HCFC-123 GREEN            ,      3973.21,04/12/2024,STR. EQPT.          ,FIRE EXTINGUISHER                                 ,         3,ASC TUBIGON                   ,ASCTU-SAFETY & SECURITY DEPARTMENT                ,FAACQ               
FAD-0011-0007456300002   ,TROPICAL FIRE EXTINGUISHER 7 KGS DRY CHEMICAL               ,      1062.50,04/12/2024,                    ,STORE SUPPLIES                                    ,         0,ASC TUBIGON                   ,ASCTU-SAFETY & SECURITY DEPARTMENT                ,FAACQ               
