barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
FAD-0110-0009518100001   ,BIOMETRIC ZKTECO K30 W/ LAN PORT                            ,     14508.93,01/07/2024,OFF. EQPT.          ,BIOMETRICS                                        ,         3,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0009454200001   ,DAHUA 55"" TV MONITOR                                        ,     21875.00,01/12/2024,OFF. EQPT.          ,MONITOR                                           ,         3,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0009516200001   ,FUJIKAMA PLATE COMPACTOR C-90 W/FK-5HP                      ,     31250.00,01/20/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0009516200002   ,FUJIKAMA PLATE COMPACTOR C-90 W/FK-5HP                      ,     31250.00,01/20/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0009516200003   ,FUJIKAMA PLATE COMPACTOR C-90 W/FK-5HP                      ,     31250.00,01/20/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0001523400001   ,KOBEWELD INVERTER MMA WELDING MACHINE KB-270 1P/22          ,     20535.71,01/20/2024,MACH. & EQPT.       ,MACH. & EQUIPMENT                                 ,         5,PLAZA MARCELA                 ,PM-ENGINEERING DEPARTMENT                         ,FA_TRAN             
FAD-0110-0001523400002   ,KOBEWELD INVERTER MMA WELDING MACHINE KB-270 1P/22          ,     20535.71,01/20/2024,MACH. & EQPT.       ,MACH. & EQUIPMENT                                 ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0001523400003   ,KOBEWELD INVERTER MMA WELDING MACHINE KB-270 1P/22          ,     20535.71,01/20/2024,MACH. & EQPT.       ,MACH. & EQUIPMENT                                 ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0001523400004   ,KOBEWELD INVERTER MMA WELDING MACHINE KB-270 1P/22          ,     20535.71,01/20/2024,MACH. & EQPT.       ,MACH. & EQUIPMENT                                 ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0001523400005   ,KOBEWELD INVERTER MMA WELDING MACHINE KB-270 1P/22          ,     20535.71,01/20/2024,MACH. & EQPT.       ,MACH. & EQUIPMENT                                 ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0006887000001   ,PPR HEATING FUSION MACHINE PTW 20-63                        ,      5178.57,01/20/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,PLAZA MARCELA                 ,PM-ENGINEERING DEPARTMENT                         ,FA_TRAN             
FAD-0110-0006887000002   ,PPR HEATING FUSION MACHINE PTW 20-63                        ,      5178.57,01/20/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0006887000003   ,PPR HEATING FUSION MACHINE PTW 20-63                        ,      5178.57,01/20/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0006887000004   ,PPR HEATING FUSION MACHINE PTW 20-63                        ,      5178.57,01/20/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0006887000005   ,PPR HEATING FUSION MACHINE PTW 20-63                        ,      5178.57,01/20/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0006887000006   ,PPR HEATING FUSION MACHINE PTW 20-63                        ,      5178.57,01/20/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0006887000007   ,PPR HEATING FUSION MACHINE PTW 20-63                        ,      5178.57,01/20/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0006887000008   ,PPR HEATING FUSION MACHINE PTW 20-63                        ,      5178.57,01/20/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0006887000009   ,PPR HEATING FUSION MACHINE PTW 20-63                        ,      5178.57,01/20/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0006887000010   ,PPR HEATING FUSION MACHINE PTW 20-63                        ,      5178.57,01/20/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0009533700001   ,CADWELD MOLDER (TEE WITH VERTICAL GROUND ROD)               ,      6978.13,01/31/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0009533800001   ,CADWELD MOLER (HORIZONTAL LAPPED X CABLE TO CABLE)          ,      6978.13,01/31/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0009516600001   ,BOSCH SDS MAX HAMMER GBH 5-40 D                             ,     33071.43,01/30/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0009516600002   ,BOSCH SDS MAX HAMMER GBH 5-40 D                             ,     33071.43,01/30/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0009516600003   ,BOSCH SDS MAX HAMMER GBH 5-40 D                             ,     33071.43,01/30/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0009517000001   ,BOSCH SDS PLUS HAMMER GBH 4-32 DFR                          ,     25928.57,01/30/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0009517000002   ,BOSCH SDS PLUS HAMMER GBH 4-32 DFR                          ,     25928.57,01/30/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0009517000003   ,BOSCH SDS PLUS HAMMER GBH 4-32 DFR                          ,     25928.57,01/30/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0009517100001   ,BOSCH CIRCULAR SAW GKS 190                                  ,      8482.14,01/30/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0009517100002   ,BOSCH CIRCULAR SAW GKS 190                                  ,      8482.14,01/30/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0009517100003   ,BOSCH CIRCULAR SAW GKS 190                                  ,      8482.14,01/30/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0006392500001   ,ANGLE GRINDER                                               ,      2071.43,01/30/2024,STR. EQPT.          ,GRINDER                                           ,        10,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
FAD-0110-0006392500002   ,ANGLE GRINDER                                               ,      2071.43,01/30/2024,STR. EQPT.          ,GRINDER                                           ,        10,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FAACQ               
