barcode,desc,acost,adate,cat_type,locname,dept,status
FAD-0008-0009708000001   ,VIRTUALIZED SERVERS                                         ,431816.73000,05/04/2026,SERVER                                            ,CORPORATE-GROUP 2             ,CORPORATE2- DEPARTMENT PURCHASING OFFICE          ,FAACQ               
FAD-0008-0009708000002   ,VIRTUALIZED SERVERS                                         ,431816.73000,05/04/2026,SERVER                                            ,CORPORATE-GROUP 2             ,CORPORATE2- DEPARTMENT PURCHASING OFFICE          ,FAACQ               
FAD-0008-0009708200001   ,SERVER OPERATING SYSTEM                                     ,51300.84000 ,05/04/2026,SERVER                                            ,CORPORATE-GROUP 2             ,CORPORATE2- DEPARTMENT PURCHASING OFFICE          ,FAACQ               
FAD-0008-0009708200002   ,SERVER OPERATING SYSTEM                                     ,51300.84000 ,05/04/2026,SERVER                                            ,CORPORATE-GROUP 2             ,CORPORATE2- DEPARTMENT PURCHASING OFFICE          ,FAACQ               
FAD-0008-0009711100001   ,CORE SWITCH                                                 ,832200.26000,05/04/2026,SWITCH                                            ,CORPORATE-GROUP 2             ,CORPORATE2- DEPARTMENT PURCHASING OFFICE          ,FAACQ               
FAD-0008-0009711300001   ,ACCESS SWITCH                                               ,49646.24000 ,05/04/2026,SWITCH                                            ,CORPORATE-GROUP 2             ,CORPORATE2- DEPARTMENT PURCHASING OFFICE          ,FAACQ               
FAD-0008-0009711300002   ,ACCESS SWITCH                                               ,49646.24000 ,05/04/2026,SWITCH                                            ,CORPORATE-GROUP 2             ,CORPORATE2- DEPARTMENT PURCHASING OFFICE          ,FAACQ               
FAD-0008-0009711400001   ,ALL FLASH STORAGE                                           ,1652851.5900,05/04/2026,STORAGE                                           ,CORPORATE-GROUP 2             ,CORPORATE2- DEPARTMENT PURCHASING OFFICE          ,FAACQ               
FAD-0008-0009712600001   ,BACK UP STORAGE FOR DATA ARCHIVING                          ,365632.82000,05/04/2026,STORAGE                                           ,CORPORATE-GROUP 2             ,CORPORATE2- DEPARTMENT PURCHASING OFFICE          ,FAACQ               
FAD-0008-0009712800001   ,VEEAM BACK UP SOFTWARE                                      ,26274.01000 ,05/04/2026,SOFTWARE                                          ,CORPORATE-GROUP 2             ,CORPORATE2- DEPARTMENT PURCHASING OFFICE          ,FAACQ               
FAD-0008-0009718100001   ,VMWARE ESSENTIAL PLUS                                       ,521799.40000,05/04/2026,SOFTWARE                                          ,CORPORATE-GROUP 2             ,CORPORATE2- DEPARTMENT PURCHASING OFFICE          ,FAACQ               
FAD-0003-0009733200001   ,FUSO FJ 2828R EURO IV CAB &CHASSIS RIGID 10WHEELER          ,3450892.8600,03/09/2026,VEHICLE                                           ,ASC TALIBON                   ,ASCT-HOME & FASHION DEPARTMENT                    ,FAACQ               
FAD-0008-0009692300001   ,DELL OPTIPLEX ALL IN ONE  CPU                               ,86495.54000 ,05/04/2026,CPU                                               ,CORPORATE-GROUP 2             ,CORPORATE2- DEPARTMENT PURCHASING OFFICE          ,FAACQ               
FAD-0008-0004934300001   ,IWATA EVAPORATIVE AIR COOLER                                ,29419.64000 ,06/05/2024,COOLER                                            ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,FA_TRAN             
FAD-0008-0004934300002   ,IWATA EVAPORATIVE AIR COOLER                                ,29419.64000 ,06/05/2024,COOLER                                            ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,FA_TRAN             
FAD-0008-0004934300003   ,IWATA EVAPORATIVE AIR COOLER                                ,29419.64000 ,06/05/2024,COOLER                                            ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,FA_TRAN             
FAD-0008-0004934300004   ,IWATA EVAPORATIVE AIR COOLER                                ,29419.64000 ,06/05/2024,COOLER                                            ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,FA_TRAN             
FAD-0008-0004934300005   ,IWATA EVAPORATIVE AIR COOLER                                ,29419.64000 ,06/05/2024,COOLER                                            ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,FA_TRAN             
FAD-0008-0004934300006   ,IWATA EVAPORATIVE AIR COOLER                                ,29419.64000 ,06/05/2024,COOLER                                            ,CORPORATE-GROUP 2             ,CORPORATE2-FIXRITE WHOLESALE VIAJE                ,FA_TRAN             
FAD-0008-0004934300007   ,IWATA EVAPORATIVE AIR COOLER                                ,29419.64000 ,06/05/2024,COOLER                                            ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     ,FA_TRAN             
FAD-0008-0004934300008   ,IWATA EVAPORATIVE AIR COOLER                                ,29419.64000 ,06/05/2024,COOLER                                            ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     ,FA_TRAN             
FAD-0008-0004934300009   ,IWATA EVAPORATIVE AIR COOLER                                ,29419.64000 ,06/05/2024,COOLER                                            ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     ,FA_TRAN             
FAD-0008-0004934300010   ,IWATA EVAPORATIVE AIR COOLER                                ,29419.64000 ,06/05/2024,COOLER                                            ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     ,FA_TRAN             
FAD-0008-0004934300011   ,IWATA EVAPORATIVE AIR COOLER                                ,29419.64000 ,06/05/2024,COOLER                                            ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     ,FA_TRAN             
FAD-0008-0004934300012   ,IWATA EVAPORATIVE AIR COOLER                                ,29419.64000 ,06/05/2024,COOLER                                            ,ASC TUBIGON                   ,ASCTU-FIXRITE                                     ,FA_TRAN             
FAD-0008-0007827800001   ,CONDURA A/C WCONH014EC/1 1.5HP                              ,19017.86000 ,05/04/2026,AIRCON                                            ,CORPORATE-GROUP 2             ,CORPORATE2- HOME AND FASHION DC                   ,FAACQ               
