barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
CAS-0120-0008402300001   ,VERIPRICE PRICE VERIFIER                                    ,     23214.29,01/02/2024,STR. EQPT.          ,PRICE VERIFIER                                    ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
CAS-0120-0008402300002   ,VERIPRICE PRICE VERIFIER                                    ,     23214.29,01/02/2024,STR. EQPT.          ,PRICE VERIFIER                                    ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
CAS-0120-0008402300003   ,VERIPRICE PRICE VERIFIER                                    ,     23214.29,01/02/2024,STR. EQPT.          ,PRICE VERIFIER                                    ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
CAS-0120-0007794200001   ,MICROSOFT 365 BUSINESS STANDARD                             ,      6696.43,01/02/2024,OFF. EQPT.          ,SOFTWARE                                          ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-INFORMATION TECHNOLOGY            ,FAACQ               
CAS-0120-0007794200002   ,MICROSOFT 365 BUSINESS STANDARD                             ,      6696.43,01/02/2024,OFF. EQPT.          ,SOFTWARE                                          ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-INFORMATION TECHNOLOGY            ,FAACQ               
CAS-0120-0007794200003   ,MICROSOFT 365 BUSINESS STANDARD                             ,      6696.43,01/02/2024,OFF. EQPT.          ,SOFTWARE                                          ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-INFORMATION TECHNOLOGY            ,FAACQ               
CAS-0120-0007794200004   ,MICROSOFT 365 BUSINESS STANDARD                             ,      6696.43,01/02/2024,OFF. EQPT.          ,SOFTWARE                                          ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-INFORMATION TECHNOLOGY            ,FAACQ               
CAS-0120-0007794200005   ,MICROSOFT 365 BUSINESS STANDARD                             ,      6696.43,01/02/2024,OFF. EQPT.          ,SOFTWARE                                          ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-INFORMATION TECHNOLOGY            ,FAACQ               
CAS-0120-0007794200006   ,MICROSOFT 365 BUSINESS STANDARD                             ,      6696.43,01/02/2024,OFF. EQPT.          ,SOFTWARE                                          ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-INFORMATION TECHNOLOGY            ,FAACQ               
CAS-0120-0007794200007   ,MICROSOFT 365 BUSINESS STANDARD                             ,      6696.43,01/02/2024,OFF. EQPT.          ,SOFTWARE                                          ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-INFORMATION TECHNOLOGY            ,FAACQ               
CAS-0120-0007794200008   ,MICROSOFT 365 BUSINESS STANDARD                             ,      6696.43,01/02/2024,OFF. EQPT.          ,SOFTWARE                                          ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-INFORMATION TECHNOLOGY            ,FAACQ               
CAS-0120-0007794200009   ,MICROSOFT 365 BUSINESS STANDARD                             ,      6696.43,01/02/2024,OFF. EQPT.          ,SOFTWARE                                          ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-INFORMATION TECHNOLOGY            ,FAACQ               
CAS-0120-0007794200010   ,MICROSOFT 365 BUSINESS STANDARD                             ,      6696.43,01/02/2024,OFF. EQPT.          ,SOFTWARE                                          ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-INFORMATION TECHNOLOGY            ,FAACQ               
CAS-0120-0009084000001   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,      2678.57,01/11/2024,OFF. EQPT.          ,TELEPHONE                                         ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
CAS-0120-0009084000002   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,      2678.57,01/11/2024,OFF. EQPT.          ,TELEPHONE                                         ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
CAS-0120-0009084000003   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,      2678.57,01/11/2024,OFF. EQPT.          ,TELEPHONE                                         ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
CAS-0120-0009084000004   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,      2678.57,01/11/2024,OFF. EQPT.          ,TELEPHONE                                         ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
CAS-0120-0009084000005   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,      2678.57,01/11/2024,OFF. EQPT.          ,TELEPHONE                                         ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
