barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
FAD-0026-0009620800001   ,EPSON SCANNER WF DS6500                                     ,     53209.82,02/22/2024,OFF. EQPT.          ,SCANNER                                           ,         3,HEAD OFFICE                             ,HO-FS PROCESS AUDIT DEPARTMENT                    ,FAACQ               
FAD-0026-0009084000001   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,      2678.57,02/28/2024,OFF. EQPT.          ,TELEPHONE                                         ,         3,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,FAACQ               
FAD-0026-0009084000002   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,      2678.57,02/28/2024,OFF. EQPT.          ,TELEPHONE                                         ,         3,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,FAACQ               
FAD-0026-0009084000003   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,      2678.57,02/28/2024,OFF. EQPT.          ,TELEPHONE                                         ,         3,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,FAACQ               
FAD-0026-0009084000004   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,      2678.57,02/28/2024,OFF. EQPT.          ,TELEPHONE                                         ,         3,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,FAACQ               
FAD-0026-0009084000005   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,      2678.57,02/28/2024,OFF. EQPT.          ,TELEPHONE                                         ,         3,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,FAACQ               
FAD-0026-0009084000006   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,      2678.57,02/28/2024,OFF. EQPT.          ,TELEPHONE                                         ,         3,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,FAACQ               
FAD-0026-0009084000007   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,      2678.57,02/28/2024,OFF. EQPT.          ,TELEPHONE                                         ,         3,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,FAACQ               
FAD-0026-0009084000008   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,      2678.57,02/28/2024,OFF. EQPT.          ,TELEPHONE                                         ,         3,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,FAACQ               
FAD-0026-0009084000009   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,      2678.57,02/28/2024,OFF. EQPT.          ,TELEPHONE                                         ,         3,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,FAACQ               
FAD-0026-0009084000010   ,ZYCOO IP PHONE UNIT/COOFONE K2P                             ,      2678.57,02/28/2024,OFF. EQPT.          ,TELEPHONE                                         ,         3,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,FAACQ               
FAD-0026-0009311800001   ,2.8MM 4MP DOME IPC  (HWI-D140H HIKVISION)                   ,      2300.00,01/22/2024,STR. EQPT.          ,CCTV                                              ,         3,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,FAACQ               
FAD-0026-0008284400001   ,BIOMETRICS ZKTECO SILKFP-101TA                              ,     14508.93,01/17/2024,STR. EQPT.          ,BIOMETRICS                                        ,         3,HEAD OFFICE                             ,HO-CEBU OFFICE EXTENSION                          ,FAACQ               
FAD-0026-0009504800001   ,CARRIER A/C 53CFM ASC STD4HP                                ,     75150.00,02/05/2024,MACH. & EQPT.       ,AIRCON                                            ,         5,HEAD OFFICE                             ,HO-LEGAL DEPARTMENT                               ,FAACQ               
FAD-0026-0009559300001   ,IPHONE 15 PRO MAX 256GB                                     ,     72758.93,02/01/2024,OFF. EQPT.          ,CELLPHONE                                         ,         3,HEAD OFFICE                             ,HO-LEGAL DEPARTMENT                               ,FAACQ               
FAD-0026-0009341000001   ,CARRIER A/C FP53DFECAR006 5TR                               ,    142408.93,01/18/2024,MACH. & EQPT.       ,AIRCON                                            ,         5,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,FAACQ               
FAD-0026-0009544200001   ,MAKITA 199994-5 18V LXT BATTERY AND CHARGER                 ,      4919.64,03/01/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,HEAD OFFICE                             ,HO-ENGINEERING                                    ,FAACQ               
FAD-0028-0009759500001   ,SAMSUNG GALAXY S24 ULTR                                     ,     75883.93,03/15/2024,OFF. EQPT.          ,CELLPHONE                                         ,         3,CENTRAL DISTRIBUTION CENTER             ,CDC-RETAIL 1 GROCERY                              ,FAACQ               
FAD-0028-0004302600001   ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,      4641.77,03/25/2024,OFF. EQPT.          ,MONITOR                                           ,         3,CENTRAL DISTRIBUTION CENTER             ,CDC-RETAIL 1 GROCERY                              ,FAACQ               
FAD-0028-0004302600002   ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,      4641.77,03/25/2024,OFF. EQPT.          ,MONITOR                                           ,         3,CENTRAL DISTRIBUTION CENTER             ,CDC-RETAIL 1 GROCERY                              ,FAACQ               
FAD-0028-0004302600003   ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,      4641.77,03/25/2024,OFF. EQPT.          ,MONITOR                                           ,         3,CENTRAL DISTRIBUTION CENTER             ,CDC-RETAIL 1 GROCERY                              ,FAACQ               
FAD-0028-0004302600004   ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,      4641.77,03/25/2024,OFF. EQPT.          ,MONITOR                                           ,         3,CENTRAL DISTRIBUTION CENTER             ,CDC-RETAIL 1 GROCERY                              ,FAACQ               
FAD-0028-0004302600005   ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,      4641.77,03/25/2024,OFF. EQPT.          ,MONITOR                                           ,         3,CENTRAL DISTRIBUTION CENTER             ,CDC-RETAIL 1 GROCERY                              ,FAACQ               
FAD-0028-0009739700001   ,DELL OPTIPLEX 7010 SFF 12TH GEN CORE I5                     ,     41215.38,03/25/2024,OFF. EQPT.          ,COMPUTER                                          ,         3,CENTRAL DISTRIBUTION CENTER             ,CDC-RETAIL 1 GROCERY                              ,FAACQ               
FAD-0028-0009739700002   ,DELL OPTIPLEX 7010 SFF 12TH GEN CORE I5                     ,     41215.38,03/25/2024,OFF. EQPT.          ,COMPUTER                                          ,         3,CENTRAL DISTRIBUTION CENTER             ,CDC-RETAIL 1 GROCERY                              ,FAACQ               
FAD-0028-0009739700003   ,DELL OPTIPLEX 7010 SFF 12TH GEN CORE I5                     ,     41215.38,03/25/2024,OFF. EQPT.          ,COMPUTER                                          ,         3,CENTRAL DISTRIBUTION CENTER             ,CDC-RETAIL 1 GROCERY                              ,FAACQ               
FAD-0028-0009739700004   ,DELL OPTIPLEX 7010 SFF 12TH GEN CORE I5                     ,     41215.38,03/25/2024,OFF. EQPT.          ,COMPUTER                                          ,         3,CENTRAL DISTRIBUTION CENTER             ,CDC-RETAIL 1 GROCERY                              ,FAACQ               
FAD-0028-0009739700005   ,DELL OPTIPLEX 7010 SFF 12TH GEN CORE I5                     ,     41215.38,03/25/2024,OFF. EQPT.          ,COMPUTER                                          ,         3,CENTRAL DISTRIBUTION CENTER             ,CDC-RETAIL 1 GROCERY                              ,FAACQ               
FAD-0026-0009678700001   ,FORD EVEREST SPORTS CS#:CK568A PL#:GBF-2555                 ,   1927678.57,03/25/2024,TRNS. EQPT.         ,VEHICLE                                           ,        10,PHARMACY GROUP                          ,HO-PHARMACY GROUP                                 ,FAACQ               
FAD-0026-0009468800001   ,TOYOTA INNOVA MT CS#:IZ586A PL#:GBC-6631                    ,   1121428.57,04/02/2024,TRNS. EQPT.         ,VEHICLE                                           ,        10,HEAD OFFICE                             ,HO-ADMIN                                          ,FAACQ               
FAD-0026-0009544000001   ,MAKITA DRV250Z 18 V CORDLESS BRUSHLESS S#6581E              ,     43687.68,04/02/2024,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,HEAD OFFICE                             ,HO-ENGINEERING                                    ,FAACQ               
FAD-0026-0009815000001   ,TAB SAMSUNG GALAXY A9 WIFI 4+64GB                           ,      6991.25,04/02/2024,OFF. EQPT.          ,CELLPHONE                                         ,         3,PHARMACY GROUP                          ,PHARMACY DISTRIBUTION CENTER                      ,FA_TRAN             
FAD-0026-0009815000002   ,TAB SAMSUNG GALAXY A9 WIFI 4+64GB                           ,      6991.25,04/02/2024,OFF. EQPT.          ,CELLPHONE                                         ,         3,PHARMACY GROUP                          ,PHARMACY DISTRIBUTION CENTER                      ,FA_TRAN             
FAD-0026-0009815000003   ,TAB SAMSUNG GALAXY A9 WIFI 4+64GB                           ,      6991.25,04/02/2024,OFF. EQPT.          ,CELLPHONE                                         ,         3,PHARMACY GROUP                          ,PHARMACY DISTRIBUTION CENTER                      ,FA_TRAN             
FAD-0026-0009815000004   ,TAB SAMSUNG GALAXY A9 WIFI 4+64GB                           ,      6991.25,04/02/2024,OFF. EQPT.          ,CELLPHONE                                         ,         3,PHARMACY GROUP                          ,PHARMACY DISTRIBUTION CENTER                      ,FA_TRAN             
FAD-0026-0009815000005   ,TAB SAMSUNG GALAXY A9 WIFI 4+64GB                           ,      6991.25,04/02/2024,OFF. EQPT.          ,CELLPHONE                                         ,         3,PHARMACY GROUP                          ,PHARMACY DISTRIBUTION CENTER                      ,FA_TRAN             
FAD-0026-0009815000006   ,TAB SAMSUNG GALAXY A9 WIFI 4+64GB                           ,      6991.25,04/02/2024,OFF. EQPT.          ,CELLPHONE                                         ,         3,PHARMACY GROUP                          ,PHARMACY DISTRIBUTION CENTER                      ,FA_TRAN             
FAD-0026-0008910100001   ,24 PORTS POE SWITCH (RG-S2915-24GT4MS-P-L)                  ,     29285.71,05/26/2026,FUR. & FIXT.        ,ELECTRICAL PARTS                                  ,         3,HEAD OFFICE                             ,HO-ICM ACCOUNTING DEPARTMENT                      ,FAACQ               
FAD-0026-0003788100001   ,WELDING CUTTING OUTFIT HARRIS HD 500 AA1940                 ,     14285.71,05/26/2026,STR. EQPT.          ,OTHERS                                            ,         5,HEAD OFFICE                             ,HO-ENGINEERING                                    ,FAACQ               
FAD-0026-0010012600001   ,HUAWEI NOVA 12SE                                            ,     13838.39,05/26/2026,OFF. EQPT.          ,CELLPHONE                                         ,         3,HEAD OFFICE                             ,HO-FINANCE DEPARTMENT                             ,FAACQ               
FAD-0026-0009900800001   ,FUJIDENZO AIRCOOLR FEA7000 90L                              ,     17366.07,05/26/2026,MACH. & EQPT.       ,COOLER                                            ,        10,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,FAACQ               
FAD-0026-0009900800002   ,FUJIDENZO AIRCOOLR FEA7000 90L                              ,     17366.07,05/26/2026,MACH. & EQPT.       ,COOLER                                            ,        10,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,FAACQ               
FAD-0026-0009100400001   ,CARRIER A/C FP53DFECAR004 3TR                               ,     84395.54,05/26/2026,MACH. & EQPT.       ,AIRCON                                            ,         5,HEAD OFFICE                             ,HO-ADMIN                                          ,FAACQ               
FAD-0026-0009100400002   ,CARRIER A/C FP53DFECAR004 3TR                               ,     84395.54,05/26/2026,MACH. & EQPT.       ,AIRCON                                            ,         5,HEAD OFFICE                             ,HO-ADMIN                                          ,FAACQ               
FAD-0026-0010183000001   ,OPPO A38                                                    ,      6249.11,05/26/2026,STR. EQPT.          ,CELLPHONE                                         ,         3,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,FAACQ               
