barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
FAD-0001-0008971400001   ,231 DUAL 31-BAND EQUALIZER                                  ,      4017.86,08/18/2026,STR. EQPT.          ,EQUALIZER                                         ,         3,ISLAND CITY MALL              ,ICM-MALL ADMIN                                    ,FAACQ               
FAD-0001-0009582300001   ,KEVLER MZ-600 POWER AMPLIFIER                               ,     17857.14,08/18/2026,OFF. EQPT.          ,AMPLIFIER                                         ,         3,ISLAND CITY MALL              ,ICM-MALL ADMIN                                    ,FAACQ               
FAD-0001-0008970600001   ,APSOFT CASH DRAWER RJ11 CABLE 5 BILLS DIVIDER               ,      3125.00,08/18/2026,FUR. & FIXT.        ,CASH DRAWER                                       ,         3,ISLAND CITY MALL              ,ICM-SUPERMARKET WHOLESALE                         ,FAACQ               
FAD-0001-0008970600002   ,APSOFT CASH DRAWER RJ11 CABLE 5 BILLS DIVIDER               ,      3125.00,08/18/2026,FUR. & FIXT.        ,CASH DRAWER                                       ,         3,ISLAND CITY MALL              ,ICM-SUPERMARKET WHOLESALE                         ,FAACQ               
FAD-0001-0008970600003   ,APSOFT CASH DRAWER RJ11 CABLE 5 BILLS DIVIDER               ,      3125.00,08/18/2026,FUR. & FIXT.        ,CASH DRAWER                                       ,         3,ISLAND CITY MALL              ,ICM-SUPERMARKET WHOLESALE                         ,FAACQ               
FAD-0001-0008970600004   ,APSOFT CASH DRAWER RJ11 CABLE 5 BILLS DIVIDER               ,      3125.00,08/18/2026,FUR. & FIXT.        ,CASH DRAWER                                       ,         3,ISLAND CITY MALL              ,ICM-SUPERMARKET WHOLESALE                         ,FAACQ               
FAD-0001-0008970600005   ,APSOFT CASH DRAWER RJ11 CABLE 5 BILLS DIVIDER               ,      3125.00,08/18/2026,FUR. & FIXT.        ,CASH DRAWER                                       ,         3,ISLAND CITY MALL              ,ICM-SUPERMARKET WHOLESALE                         ,FAACQ               
FAD-0001-0008970600006   ,APSOFT CASH DRAWER RJ11 CABLE 5 BILLS DIVIDER               ,      3125.00,08/18/2026,FUR. & FIXT.        ,CASH DRAWER                                       ,         3,ISLAND CITY MALL              ,ICM-SUPERMARKET WHOLESALE                         ,FAACQ               
FAD-0001-0008970600007   ,APSOFT CASH DRAWER RJ11 CABLE 5 BILLS DIVIDER               ,      3125.00,08/18/2026,FUR. & FIXT.        ,CASH DRAWER                                       ,         3,ISLAND CITY MALL              ,ICM-SUPERMARKET WHOLESALE                         ,FAACQ               
FAD-0001-0008970600008   ,APSOFT CASH DRAWER RJ11 CABLE 5 BILLS DIVIDER               ,      3125.00,08/18/2026,FUR. & FIXT.        ,CASH DRAWER                                       ,         3,ISLAND CITY MALL              ,ICM-SUPERMARKET WHOLESALE                         ,FAACQ               
FAD-0001-0005537400001   ,HANDHELD SCANNER USB ZEBRA DS2208 1D/2D                     ,      4464.29,08/18/2026,STR. EQPT.          ,SCANNER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0005537400002   ,HANDHELD SCANNER USB ZEBRA DS2208 1D/2D                     ,      4464.29,08/18/2026,STR. EQPT.          ,SCANNER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0005537400003   ,HANDHELD SCANNER USB ZEBRA DS2208 1D/2D                     ,      4464.29,08/18/2026,STR. EQPT.          ,SCANNER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0005537400004   ,HANDHELD SCANNER USB ZEBRA DS2208 1D/2D                     ,      4464.29,08/18/2026,STR. EQPT.          ,SCANNER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0006626500001   ,PRINTER EPSON TM-H6000V USB THERMAL POS PRINTER             ,     19196.43,08/18/2026,STR. EQPT.          ,PRINTER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0006626500002   ,PRINTER EPSON TM-H6000V USB THERMAL POS PRINTER             ,     19196.43,08/18/2026,STR. EQPT.          ,PRINTER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0007952600001   ,APSOFT 78-KEYS PROGRAMABLE POS KEYBOARD USB                 ,      4464.29,08/18/2026,STR. EQPT.          ,POS KEYBOARD                                      ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0007952600002   ,APSOFT 78-KEYS PROGRAMABLE POS KEYBOARD USB                 ,      4464.29,08/18/2026,STR. EQPT.          ,POS KEYBOARD                                      ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0007952600003   ,APSOFT 78-KEYS PROGRAMABLE POS KEYBOARD USB                 ,      4464.29,08/18/2026,STR. EQPT.          ,POS KEYBOARD                                      ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0008832300001   ,PORTABLE FIRE EXTINGUISHER HCFC 123 BRAND NEW               ,      8260.72,08/18/2026,STR. EQPT.          ,FIRE EXTINGUISHER                                 ,         2,ISLAND CITY MALL              ,ICM-SSD                                           ,FAACQ               
FAD-0001-0008832300002   ,PORTABLE FIRE EXTINGUISHER HCFC 123 BRAND NEW               ,      8260.72,08/18/2026,STR. EQPT.          ,FIRE EXTINGUISHER                                 ,         2,ISLAND CITY MALL              ,ICM-SSD                                           ,FAACQ               
FAD-0001-0008832300003   ,PORTABLE FIRE EXTINGUISHER HCFC 123 BRAND NEW               ,      8260.72,08/18/2026,STR. EQPT.          ,FIRE EXTINGUISHER                                 ,         2,ISLAND CITY MALL              ,ICM-SSD                                           ,FAACQ               
FAD-0001-0008832300004   ,PORTABLE FIRE EXTINGUISHER HCFC 123 BRAND NEW               ,      8260.72,08/18/2026,STR. EQPT.          ,FIRE EXTINGUISHER                                 ,         2,ISLAND CITY MALL              ,ICM-SSD                                           ,FAACQ               
FAD-0001-0008832300005   ,PORTABLE FIRE EXTINGUISHER HCFC 123 BRAND NEW               ,      8260.72,08/18/2026,STR. EQPT.          ,FIRE EXTINGUISHER                                 ,         2,ISLAND CITY MALL              ,ICM-SSD                                           ,FAACQ               
FAD-0001-0008832300006   ,PORTABLE FIRE EXTINGUISHER HCFC 123 BRAND NEW               ,      8260.72,08/18/2026,STR. EQPT.          ,FIRE EXTINGUISHER                                 ,         2,ISLAND CITY MALL              ,ICM-SSD                                           ,FAACQ               
FAD-0001-0008832300007   ,PORTABLE FIRE EXTINGUISHER HCFC 123 BRAND NEW               ,      8260.72,08/18/2026,STR. EQPT.          ,FIRE EXTINGUISHER                                 ,         2,ISLAND CITY MALL              ,ICM-SSD                                           ,FAACQ               
FAD-0001-0008832300008   ,PORTABLE FIRE EXTINGUISHER HCFC 123 BRAND NEW               ,      8260.72,08/18/2026,STR. EQPT.          ,FIRE EXTINGUISHER                                 ,         2,ISLAND CITY MALL              ,ICM-SSD                                           ,FAACQ               
FAD-0001-0008832300009   ,PORTABLE FIRE EXTINGUISHER HCFC 123 BRAND NEW               ,      8260.72,08/18/2026,STR. EQPT.          ,FIRE EXTINGUISHER                                 ,         2,ISLAND CITY MALL              ,ICM-SSD                                           ,FAACQ               
FAD-0001-0008832300010   ,PORTABLE FIRE EXTINGUISHER HCFC 123 BRAND NEW               ,      8260.72,08/18/2026,STR. EQPT.          ,FIRE EXTINGUISHER                                 ,         2,ISLAND CITY MALL              ,ICM-SSD                                           ,FAACQ               
FAD-0001-0008832300011   ,PORTABLE FIRE EXTINGUISHER HCFC 123 BRAND NEW               ,      8260.72,08/18/2026,STR. EQPT.          ,FIRE EXTINGUISHER                                 ,         2,ISLAND CITY MALL              ,ICM-SSD                                           ,FAACQ               
FAD-0001-0008832300012   ,PORTABLE FIRE EXTINGUISHER HCFC 123 BRAND NEW               ,      8260.72,08/18/2026,STR. EQPT.          ,FIRE EXTINGUISHER                                 ,         2,ISLAND CITY MALL              ,ICM-SSD                                           ,FAACQ               
FAD-0001-0009848900001   ,CONDURA CHILLER CBC342RI 12CF 12CU.FT                       ,     27562.55,08/18/2026,STR. EQPT.          ,CHILLER                                           ,        10,ISLAND CITY MALL              ,ICM-GROCERY SELLING AREA                          ,FAACQ               
FAD-0001-0009849100001   ,DEVANT SMART 32STW101                                       ,      9196.45,08/18/2026,STR. EQPT.          ,TV                                                ,         3,ISLAND CITY MALL              ,ICM-GROCERY SELLING AREA                          ,FAACQ               
FAD-0001-0007699100001   ,EBARA NON-CLOG SUBMERSIBLE SEWAGE PUMP                      ,     33035.71,08/18/2026,MACH. & EQPT.       ,PUMP                                              ,         5,ISLAND CITY MALL              ,ICM-MALL ADMIN                                    ,FAACQ               
FAD-0001-0010096200001   ,EBARA NON-CLOG SUBMERSIBLE SEWAGE/SLUDGE PUMP               ,    111607.15,07/08/2024,MACH. & EQPT.       ,PUMP                                              ,         5,ISLAND CITY MALL              ,ICM-MALL ADMIN                                    ,FAACQ               
FAD-0001-0010096200002   ,EBARA NON-CLOG SUBMERSIBLE SEWAGE/SLUDGE PUMP               ,    111607.15,07/08/2024,MACH. & EQPT.       ,PUMP                                              ,         5,ISLAND CITY MALL              ,ICM-MALL ADMIN                                    ,FAACQ               
FAD-0001-0010118700001   ,K-60SP-SE SECTIONAL MACHINE 1 1/14"" TO 4""                   ,    129464.29,07/08/2024,MACH. & EQPT.       ,MACH. & EQUIPMENT                                 ,         3,ISLAND CITY MALL              ,ICM-MALL ADMIN                                    ,FAACQ               
FAD-0001-0009937400001   ,DIGITAL SIGNAGE KIOSK TOUCH SCREEN                          ,     89285.72,07/08/2024,FUR. & FIXT.        ,SIGNAGE                                           ,         3,ISLAND CITY MALL              ,ICM-LEASING DEPARTMENT                            ,FAACQ               
FAD-0001-0009937500001   ,DIGITAL SIGNAGE KIOSK NON TOUCH                             ,     89285.72,07/08/2024,FUR. & FIXT.        ,SIGNAGE                                           ,         3,ISLAND CITY MALL              ,ICM-LEASING DEPARTMENT                            ,FAACQ               
FAD-0001-0010012100001   ,KAWASAKI POWER SPRAYER                                      ,      7142.86,07/08/2024,MACH. & EQPT.       ,SPRAYER                                           ,         2,ISLAND CITY MALL              ,ICM-FRESHMARKET                                   ,FAACQ               
FAD-0001-0006626500003   ,PRINTER EPSON TM-H6000V USB THERMAL POS PRINTER             ,     20535.71,08/18/2026,STR. EQPT.          ,PRINTER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0006626500004   ,PRINTER EPSON TM-H6000V USB THERMAL POS PRINTER             ,     20535.71,08/18/2026,STR. EQPT.          ,PRINTER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0006626500005   ,PRINTER EPSON TM-H6000V USB THERMAL POS PRINTER             ,     20535.71,08/18/2026,STR. EQPT.          ,PRINTER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0006626500006   ,PRINTER EPSON TM-H6000V USB THERMAL POS PRINTER             ,     20535.71,08/18/2026,STR. EQPT.          ,PRINTER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0006626500007   ,PRINTER EPSON TM-H6000V USB THERMAL POS PRINTER             ,     20535.71,08/18/2026,STR. EQPT.          ,PRINTER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0007952600004   ,APSOFT 78-KEYS PROGRAMABLE POS KEYBOARD USB                 ,      4464.29,08/18/2026,STR. EQPT.          ,POS KEYBOARD                                      ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0007952600005   ,APSOFT 78-KEYS PROGRAMABLE POS KEYBOARD USB                 ,      4464.29,08/15/2024,STR. EQPT.          ,POS KEYBOARD                                      ,         3,ISLAND CITY MALL              ,ICM-MEDICINE + PHARMACY                           ,FA_TRAN             
FAD-0001-0007952600006   ,APSOFT 78-KEYS PROGRAMABLE POS KEYBOARD USB                 ,      4464.29,08/18/2026,STR. EQPT.          ,POS KEYBOARD                                      ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0008703500001   ,ZEBRA HANDHELD SCANNER DS2208 2D USB                        ,      4464.29,08/18/2026,OFF. EQPT.          ,SCANNER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0008703500002   ,ZEBRA HANDHELD SCANNER DS2208 2D USB                        ,      4464.29,08/18/2026,OFF. EQPT.          ,SCANNER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0008703500003   ,ZEBRA HANDHELD SCANNER DS2208 2D USB                        ,      4464.29,08/18/2026,OFF. EQPT.          ,SCANNER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0008703500004   ,ZEBRA HANDHELD SCANNER DS2208 2D USB                        ,      4464.29,08/18/2026,OFF. EQPT.          ,SCANNER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0008703500005   ,ZEBRA HANDHELD SCANNER DS2208 2D USB                        ,      4464.29,08/18/2026,OFF. EQPT.          ,SCANNER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0009148900001   ,APSOFT CASH DRAWER RJ11 CABLE                               ,      2678.57,08/15/2024,STR. EQPT.          ,CASH DRAWER                                       ,         3,ISLAND CITY MALL              ,ICM-MEDICINE + PHARMACY                           ,FA_TRAN             
FAD-0001-0009148900002   ,APSOFT CASH DRAWER RJ11 CABLE                               ,      2678.57,08/18/2026,STR. EQPT.          ,CASH DRAWER                                       ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0009148900003   ,APSOFT CASH DRAWER RJ11 CABLE                               ,      2678.57,08/18/2026,STR. EQPT.          ,CASH DRAWER                                       ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0009148900004   ,APSOFT CASH DRAWER RJ11 CABLE                               ,      2678.57,08/18/2026,STR. EQPT.          ,CASH DRAWER                                       ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0006626500008   ,PRINTER EPSON TM-H6000V USB THERMAL POS PRINTER             ,     20535.71,08/18/2026,STR. EQPT.          ,PRINTER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0006626500009   ,PRINTER EPSON TM-H6000V USB THERMAL POS PRINTER             ,     20535.71,08/18/2026,STR. EQPT.          ,PRINTER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0006626500010   ,PRINTER EPSON TM-H6000V USB THERMAL POS PRINTER             ,     20535.71,08/18/2026,STR. EQPT.          ,PRINTER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0006626500011   ,PRINTER EPSON TM-H6000V USB THERMAL POS PRINTER             ,     20535.71,08/18/2026,STR. EQPT.          ,PRINTER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0006626500012   ,PRINTER EPSON TM-H6000V USB THERMAL POS PRINTER             ,     20535.71,08/18/2026,STR. EQPT.          ,PRINTER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
