barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
FAD-0113-0002677400001   ,POWER FORKLIFT 3.0 TONS (DIESEL)                            ,    937500.00,03/04/2024,MACH. & EQPT.       ,FORKLIFT                                          ,        10,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0007677000001   ,ROBIN BRUSH CUTTER 4 STROKE 1.6HP EH035 EA-FS431            ,     14732.15,03/23/2024,MACH. & EQPT.       ,GRASS CUTTER                                      ,         5,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0007677000002   ,ROBIN BRUSH CUTTER 4 STROKE 1.6HP EH035 EA-FS431            ,     14732.15,03/23/2024,MACH. & EQPT.       ,GRASS CUTTER                                      ,         5,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0009607300001   ,AURA INVERTER DIRECT EXPANSION FCU/ACCU-1                   ,     28125.00,03/11/2024,OFF. EQPT.          ,AIRCON                                            ,         5,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0009607400001   ,AURA INVERTER DIRECT EXPANSION FCU/ACCU-2                   ,     28125.00,03/11/2024,OFF. EQPT.          ,AIRCON                                            ,         5,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0009607500001   ,AURA INVERTER DIRECT EXPANSION FCU/ACCU-3                   ,     24875.00,03/11/2024,OFF. EQPT.          ,AIRCON                                            ,         5,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0009607600001   ,AURA INVERTER DIRECT EXPANSION FCU/ACCU-4                   ,     24875.00,03/11/2024,OFF. EQPT.          ,AIRCON                                            ,         5,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0009607700001   ,AURA INVERTER DIRECT EXPANSION FCU/ACCU-5                   ,     37687.50,03/11/2024,OFF. EQPT.          ,AIRCON                                            ,         5,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0009607800001   ,AURA INVERTER DIRECT EXPANSION FCU/ACCU-6                   ,     28125.00,03/11/2024,OFF. EQPT.          ,AIRCON                                            ,         5,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0009607900001   ,AURA INVERTER DIRECT EXPANSION FCU/ACCU-7                   ,     28125.00,03/11/2024,OFF. EQPT.          ,AIRCON                                            ,         5,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0009608100001   ,AURA INVERTER DIRECT EXPANSION FCU/ACCU-8                   ,     28125.00,03/11/2024,OFF. EQPT.          ,AIRCON                                            ,         5,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
FAD-0113-0009608300001   ,AURA INVERTER DIRECT EXPANSION FCU/ACCU-9                   ,     44062.50,03/11/2024,OFF. EQPT.          ,AIRCON                                            ,         5,UBAY DISTRIBUTION CENTER      ,UDC-ADMIN                                         ,FAACQ               
