barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
0000935900003       ,MOBILE PEDESTRAL 400L                                       ,      2259.09,12/09/2011,FUR. & FIXT.        ,DRAWER                                            ,         3,COLONNADE MANDAUE                       ,COLM-INTERNAL AUDIT DEPT.                         ,                    
0000935900004       ,MOBILE PEDESTRAL 400L                                       ,      2259.09,12/09/2011,FUR. & FIXT.        ,DRAWER                                            ,         3,COLONNADE MANDAUE                       ,COLM-FRESHMARKET                                  ,FA_TRAN             
0000935900005       ,MOBILE PEDESTRAL 400L                                       ,      2259.09,12/09/2011,FUR. & FIXT.        ,DRAWER                                            ,         3,COLONNADE MANDAUE                       ,COLM-INTERNAL AUDIT DEPT.                         ,                    
0000935900006       ,MOBILE PEDESTRAL 400L                                       ,      2259.09,12/09/2011,FUR. & FIXT.        ,DRAWER                                            ,         3,COLONNADE MANDAUE                       ,COLM-INTERNAL AUDIT DEPT.                         ,                    
0000935900007       ,MOBILE PEDESTRAL 400L                                       ,      2259.09,12/09/2011,FUR. & FIXT.        ,DRAWER                                            ,         3,COLONNADE MANDAUE                       ,COLM-INTERNAL AUDIT DEPT.                         ,                    
0000936000001       ,4DRAWER LATERAL CABINET 900L                                ,     14399.29,12/09/2011,FUR. & FIXT.        ,CABINET                                           ,         5,COLONNADE MANDAUE                       ,COLM-INTERNAL AUDIT DEPT.                         ,                    
0000936000002       ,4DRAWER LATERAL CABINET 900L                                ,     14399.29,12/09/2011,FUR. & FIXT.        ,CABINET                                           ,         5,COLONNADE MANDAUE                       ,COLM-INTERNAL AUDIT DEPT.                         ,                    
0000936500001       ,INTEL CORE I3 - 2100 @ 3.10 GHZ                             ,     29950.00,01/02/2012,OFF. EQPT.          ,CPU                                               ,         3,COLONNADE MANDAUE                       ,COLM-INTERNAL AUDIT DEPT.                         ,                    
0000935800002       ,INTEL CORE 2 DUO E7500 @ 2.93 GHZ                           ,     29950.00,12/10/2011,OFF. EQPT.          ,CPU                                               ,         3,COLONNADE MANDAUE                       ,COLM-INTERNAL AUDIT DEPT.                         ,                    
0000937200001       ,GLORY BILL COUNTER GFB - 800D                               ,     49000.00,12/08/2011,STR. EQPT.          ,COUNTER                                           ,         3,COLONNADE MANDAUE                       ,COLM-TREASURY                                     ,                    
0000937500001       ,TABLE 1000LX600DX750H MELAMINE                              ,      3284.57,12/11/2011,FUR. & FIXT.        ,TABLE                                             ,         3,COLONNADE MANDAUE                       ,COLM-TREASURY                                     ,                    
0000937600001       ,VAULT ( OLD )                                               ,     19615.11,12/31/2011,FUR. & FIXT.        ,VAULT                                             ,        10,COLONNADE MANDAUE                       ,COLM-TREASURY                                     ,                    
0000938100001       ,MOBILE PEDESTRAL 400L                                       ,      2259.09,12/09/2011,FUR. & FIXT.        ,DRAWER                                            ,         3,COLONNADE MANDAUE                       ,COLM-TREASURY                                     ,                    
0000938100002       ,MOBILE PEDESTRAL 400L                                       ,      2259.09,12/09/2011,FUR. & FIXT.        ,DRAWER                                            ,         3,COLONNADE MANDAUE                       ,COLM-TREASURY                                     ,                    
0000938100003       ,MOBILE PEDESTRAL 400L                                       ,      2259.09,12/09/2011,FUR. & FIXT.        ,DRAWER                                            ,         3,COLONNADE MANDAUE                       ,COLM-TREASURY                                     ,                    
0000938600002       ,MTO TABLE 110 X 40 CM                                       ,      4327.56,12/11/2011,FUR. & FIXT.        ,TABLE                                             ,         3,COLONNADE MANDAUE                       ,COLM-TREASURY                                     ,                    
0000938800001       ,MTO TABLE 70 X 40 CM                                        ,      3548.67,12/11/2011,FUR. & FIXT.        ,TABLE                                             ,         3,COLONNADE MANDAUE                       ,COLM-TREASURY                                     ,                    
0000936900001       ,4DRAWER VERTICAL CBN 460LX620D                              ,      8030.19,12/09/2011,FUR. & FIXT.        ,CABINET                                           ,         5,COLONNADE MANDAUE                       ,COLM-FIXED ASSET DEPARTMENT                       ,                    
0000937000001       ,MOBILE PEDESTRAL 400L                                       ,      2259.09,12/09/2011,FUR. & FIXT.        ,DRAWER                                            ,         3,COLONNADE MANDAUE                       ,COLM-INFORMATION TECHNOLOGY                       ,FA_TRAN             
0000937000002       ,MOBILE PEDESTRAL 400L                                       ,      2259.09,12/09/2011,FUR. & FIXT.        ,DRAWER                                            ,         3,COLONNADE MANDAUE                       ,COLM-FIXED ASSET DEPARTMENT                       ,                    
0000937000003       ,MOBILE PEDESTRAL 400L                                       ,      2259.09,12/09/2011,FUR. & FIXT.        ,DRAWER                                            ,         3,COLONNADE MANDAUE                       ,COLM-FIXED ASSET DEPARTMENT                       ,                    
0000938200001       ,COMPUTER TABLE 1400L X 600D X 750H                          ,      6074.53,12/11/2011,FUR. & FIXT.        ,TABLE                                             ,         3,COLONNADE MANDAUE                       ,COLM-FIXED ASSET DEPARTMENT                       ,                    
0000938300001       ,COMPUTER TABLE 1200L X 700D X 750H                          ,      3505.46,12/11/2011,FUR. & FIXT.        ,TABLE                                             ,         3,COLONNADE MANDAUE                       ,COLM-FIXED ASSET DEPARTMENT                       ,                    
0000938400001       ,VISITORS CHAIR                                              ,      1129.54,12/09/2011,FUR. & FIXT.        ,CHAIR                                             ,         3,COLONNADE MANDAUE                       ,COLM-PURCHASING DEPT.                             ,FA_TRAN             
