barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
0001566900001            ,MITS. L300 ALAC-KRAFT PL#:TFE-643                           ,     50000.00,02/20/2003,TRNS. EQPT.         ,VEHICLE                                           ,        10,MARCELA PHARMA DISTRIBUTORS INC.                  ,LDI-DISTRIBUTION SALES GROUP                      ,                    
0001621000001            ,HONDA WAVE 125 (SPLASH) PL#:2890UD                          ,         1.00,12/31/2011,TRNS. EQPT.         ,VEHICLE                                           ,         7,MARCELA PHARMA DISTRIBUTORS INC.                  ,LDI-DISTRIBUTION SALES GROUP                      ,                    
0001571300001            ,MEIJI AVR 1000                                              ,      2999.75,11/07/2014,OFF. EQPT.          ,AVR                                               ,         3,MARCELA PHARMA DISTRIBUTORS INC.                  ,LDI-DISTRIBUTION SALES GROUP                      ,                    
0000047700002            ,STAFF CHAIR BLACK                                           ,      1079.00,01/02/2013,FUR. & FIXT.        ,CHAIR                                             ,         3,MARCELA PHARMA DISTRIBUTORS INC.                  ,LDI-DISTRIBUTION SALES GROUP                      ,                    
0001605600001            ,TABLE 1100L - MAPLE                                         ,      1922.97,01/02/2013,FUR. & FIXT.        ,TABLE                                             ,         5,MARCELA PHARMA DISTRIBUTORS INC.                  ,LDI-DISTRIBUTION SALES GROUP                      ,                    
0000331700034            ,RAKER                                                       ,      1650.00,08/17/2012,STR. EQPT.          ,CART                                              ,         3,MARCELA PHARMA DISTRIBUTORS INC.                  ,LDI-DISTRIBUTION SALES GROUP                      ,                    
0000331700035            ,RAKER                                                       ,      1650.00,01/06/2014,STR. EQPT.          ,CART                                              ,         3,MARCELA PHARMA DISTRIBUTORS INC.                  ,LDI-DISTRIBUTION SALES GROUP                      ,                    
0000331700036            ,RAKER                                                       ,      1800.00,11/07/2014,STR. EQPT.          ,CART                                              ,         3,MARCELA PHARMA DISTRIBUTORS INC.                  ,LDI-DISTRIBUTION SALES GROUP                      ,                    
0000331700037            ,RAKER                                                       ,      1800.00,11/08/2014,STR. EQPT.          ,CART                                              ,         3,MARCELA PHARMA DISTRIBUTORS INC.                  ,LDI-DISTRIBUTION SALES GROUP                      ,                    
0000331700038            ,RAKER                                                       ,      1800.00,11/08/2014,STR. EQPT.          ,CART                                              ,         3,MARCELA PHARMA DISTRIBUTORS INC.                  ,LDI-DISTRIBUTION SALES GROUP                      ,                    
