barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
0077-0001223500001  ,AIR CURTAIN                                                 ,      9370.54,08/08/2019,STR. EQPT.          ,CURTAIN                                           ,         3,CHARCOAL & CHOP FOODLINE INC. ,ICM-MANG INASAL                                   ,FAACQ               
0077-0001223500002  ,AIR CURTAIN                                                 ,      9370.54,08/08/2019,STR. EQPT.          ,CURTAIN                                           ,         3,CHARCOAL & CHOP FOODLINE INC. ,ICM-MANG INASAL                                   ,FAACQ               
0078-0005569100001  ,ACER NBK A315 41G R4BW BLK                                  ,     29016.96,08/19/2019,OFF. EQPT.          ,LAPTOP                                            ,         3,CRUST & PEPPER FOODLANE INC.  ,ICM-GREENWICH                                     ,FAACQ               
0078-0005569100002  ,ACER NBK A315 41G R4BW BLK                                  ,     29016.96,08/19/2019,OFF. EQPT.          ,LAPTOP                                            ,         3,CRUST & PEPPER FOODLANE INC.  ,ICM-GREENWICH                                     ,FAACQ               
0026-0005097400001  ,16 TURBO HD/AHD/ANALOG INTERFACE INPUT                      ,     16258.93,10/21/2019,OFF. EQPT.          ,OTHERS                                            ,         3,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FAACQ               
0076-0006850000003  ,APC BVX6501-PH EASY UPS 650 VA 230V W/ AVR                  ,      2550.00,03/24/2022,OFF. EQPT.          ,UPS                                               ,         5,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FAACQ               
0076-0006850000004  ,APC BVX6501-PH EASY UPS 650 VA 230V W/ AVR                  ,      2550.00,03/24/2022,OFF. EQPT.          ,UPS                                               ,         5,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FAACQ               
0076-0004059100001  ,SHARP BASIC LC 24LE175M                                     ,      7700.00,01/07/2020,STR. EQPT.          ,TV                                                ,         3,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FAACQ               
0078-0005588100001  ,IPC COLD WATER MODEL PW-C21                                 ,     43000.00,03/10/2020,MACH. & EQPT.       ,PRESSURE WASHER                                   ,         2,CRUST & PEPPER FOODLANE INC.  ,ICM-GREENWICH                                     ,FAACQ               
0078-0005588200001  ,SANWA ANALOG MULTI-TESTER MODEL YX 360 T                    ,      2280.00,03/10/2020,TOOLS               ,MULTI-TESTER                                      ,         3,CRUST & PEPPER FOODLANE INC.  ,ICM-GREENWICH                                     ,FAACQ               
0078-0006397000001  ,HARD DRIVE SEAGATE SKYHAWK SURVEILLANCE                     ,      5500.00,06/19/2020,OFF. EQPT.          ,HARD DISK                                         ,         2,CRUST & PEPPER FOODLANE INC.  ,ICM-RED RIBBON LGF                                ,FAACQ               
0078-0004262100001  ,FUSO FJ1823R CS#:H0A952 PL#:GAT-6807                        ,   2930000.00,10/28/2020,TRNS. EQPT.         ,VEHICLE                                           ,        10,CRUST & PEPPER FOODLANE INC.  ,ICM-RED RIBBON LGF                                ,FAACQ               
