barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
0110-0006744800001  ,PANEL BOARD NEMA-1 MCCB RATED AT 60AT 3P 25KA @230          ,     15696.00,07/14/2021,ELEC. INTS. & EQPT. ,PANEL BOARD                                       ,         5,ASC-TECH (ICM)                ,AT-ASC TECH ICM                                   ,FA_TRAN             
0033-0008343200001  ,FABRICATION & INSTALLATION OF ACRYLIC 3D BUILD              ,    183333.33,01/14/2023,BLDG. IMPVT.        ,SIGNAGE                                           ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0008343200002  ,FABRICATION & INSTALLATION OF ACRYLIC 3D BUILD              ,    183333.33,01/14/2023,BLDG. IMPVT.        ,SIGNAGE                                           ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0008343200003  ,FABRICATION & INSTALLATION OF ACRYLIC 3D BUILD              ,    183333.33,01/14/2023,BLDG. IMPVT.        ,SIGNAGE                                           ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0001065700001  ,PRESSURE WASHER                                             ,     12499.75,01/04/2023,MACH. & EQPT.       ,PRESSURE WASHER                                   ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0007-0007303500001  ,BGS-002 BAUDOUIN  INDUSTRIAL GENERATING SET                 ,   2218160.38,01/06/2022,MACH. & EQPT.       ,GENERATOR                                         ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0026-0007296100001  ,EXTERNAL HDD 2 TB SEAGATE STHN2000400 2.5""                  ,      4350.00,01/18/2022,OFF. EQPT.          ,HARD DISK                                         ,         2,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0026-0007379900001  ,MITS. FUSO CANTER FE85 CS#:H0C575 PL#:GAR-5323              ,   1517857.00,07/16/2022,TRNS. EQPT.         ,VEHICLE                                           ,        10,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0110-0007351600001  ,TRANSFORMER 300KVA                                          ,    782000.00,07/11/2022,ELEC. INTS. & EQPT. ,TRANSFORMER                                       ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0110-0003531700001  ,EF-1 CENTRIFUGAL IN LINE FAN BACKWARD INCLINED              ,     24480.00,07/08/2022,STR. EQPT.          ,EXHAUST FAN                                       ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0110-0007329500001  ,EF-2 WALL MOUNTED FAN W/ SHUTTER PROPELLER                  ,      5850.00,07/08/2022,STR. EQPT.          ,EXHAUST FAN                                       ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0110-0007329700001  ,TF 1 CEILING CASSETTE FAN                                   ,      3420.00,07/08/2022,STR. EQPT.          ,EXHAUST FAN                                       ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0110-0007329800001  ,TEF 1 CEILING CASSETTE FAN                                  ,      2880.00,07/08/2022,STR. EQPT.          ,EXHAUST FAN                                       ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0110-0007329900001  ,TEF 2 CEILING CASSETTE FAN                                  ,      3420.00,07/08/2022,STR. EQPT.          ,EXHAUST FAN                                       ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0110-0007329900002  ,TEF 2 CEILING CASSETTE FAN                                  ,      3420.00,07/08/2022,STR. EQPT.          ,EXHAUST FAN                                       ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0110-0007658000001  ,EF-1 WALL MOUNTED FAN W/ SHUTTER PROPELLER                  ,      6750.00,06/17/2022,MACH. & EQPT.       ,FAN                                               ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0110-0007658000002  ,EF-1 WALL MOUNTED FAN W/ SHUTTER PROPELLER                  ,      6750.00,06/17/2022,MACH. & EQPT.       ,FAN                                               ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0110-0007658000003  ,EF-1 WALL MOUNTED FAN W/ SHUTTER PROPELLER                  ,      6750.00,06/17/2022,MACH. & EQPT.       ,FAN                                               ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0110-0007658100001  ,SF-1 WALL MOUNTED FAN W/ SHUTTER PROPELLER                  ,      6750.00,06/17/2022,MACH. & EQPT.       ,FAN                                               ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0110-0007658100002  ,SF-1 WALL MOUNTED FAN W/ SHUTTER PROPELLER                  ,      6750.00,06/17/2022,MACH. & EQPT.       ,FAN                                               ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0110-0007658100003  ,SF-1 WALL MOUNTED FAN W/ SHUTTER PROPELLER                  ,      6750.00,06/17/2022,MACH. & EQPT.       ,FAN                                               ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0110-0007658200001  ,TEF 2 CEILING CASSETTE FAN BRAND:AIR BLOW                   ,      3780.00,06/17/2022,MACH. & EQPT.       ,FAN                                               ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0110-0007328000001  ,CARRIER STANDARD FCU-1/ACCU-1                               ,     59990.00,03/24/2022,MACH. & EQPT.       ,AIRCON                                            ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0110-0007328300001  ,CARRIER STANDARD FCU-2/ACCU-2                               ,     59990.00,03/24/2022,MACH. & EQPT.       ,AIRCON                                            ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0110-0007328500001  ,CARRIER STANDARD FCU-3/ACCU-3                               ,     25270.00,03/24/2022,MACH. & EQPT.       ,AIRCON                                            ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0110-0007328600001  ,CARRIER STANDARD WAC 1 M:WCARJ008EE 0.75HP                  ,     13720.00,03/24/2022,MACH. & EQPT.       ,AIRCON                                            ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0110-0007328700001  ,CARRIER STANDARD WAC 2 M:WCARJ010EE 1.0HP                   ,     15050.00,03/24/2022,MACH. & EQPT.       ,AIRCON                                            ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0110-0007328800001  ,CARRIER STANDARD WAC 3 M:WCARJ014EE 1.5HP                   ,     17640.00,03/24/2022,MACH. & EQPT.       ,AIRCON                                            ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0110-0007328900001  ,CARRIER STANDARD WAC 4 M:WCARJ014EE 1.5HP                   ,     17640.00,03/24/2022,MACH. & EQPT.       ,AIRCON                                            ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0110-0007329000001  ,CARRIER STANDARD WAC 5 M:WCARJ008EE 0.75HP                  ,     13720.00,03/24/2022,MACH. & EQPT.       ,AIRCON                                            ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0110-0006461000001  ,PANEL BOARD NEMA 1400V (MDP-FIXRITE PANGLAO)                ,     60614.48,01/31/2022,ELEC. INTS. & EQPT. ,PANEL BOARD                                       ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0110-0006463500002  ,PANEL BOARD NEMA 1400V (DP-PUMPS)                           ,     32367.35,01/31/2022,ELEC. INTS. & EQPT. ,PANEL BOARD                                       ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0110-0003248900004  ,PANEL BOARD NEMA 1400V (DP ADMIN)                           ,      9412.50,02/02/2022,ELEC. INTS. & EQPT. ,PANEL BOARD                                       ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0026-0007303500002  ,BGS-002 BAUDOUIN  INDUSTRIAL GENERATING SET                 ,   2218160.38,01/03/2022,MACH. & EQPT.       ,GENERATOR                                         ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0026-0007380800001  ,FUSO CANTER FE85 DUMP BODY PL#:GAR-5323                     ,    553571.00,08/18/2022,TRNS. EQPT.         ,VEHICLE                                           ,        10,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FA_TRAN             
0033-0005381900001  ,LSNAV POS TERMINAL LICENSE (SOFTWARE LICENSE)               ,     31660.50,08/31/2022,SOFTWARE            ,OTHERS                                            ,         1,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0005381900002  ,LSNAV POS TERMINAL LICENSE (SOFTWARE LICENSE)               ,     31660.50,08/31/2022,SOFTWARE            ,OTHERS                                            ,         1,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0005381900003  ,LSNAV POS TERMINAL LICENSE (SOFTWARE LICENSE)               ,     31660.50,08/31/2022,SOFTWARE            ,OTHERS                                            ,         1,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0005462700001  ,VERIPRICE PRICE VERIFIER 15"" DISPLAY                        ,     24107.14,08/31/2022,STR. EQPT.          ,PRICE VERIFIER                                    ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0005537400001  ,HANDHELD SCANNER USB ZEBRA DS2208 1D/2D                     ,      4017.86,08/31/2022,STR. EQPT.          ,SCANNER                                           ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0005537400002  ,HANDHELD SCANNER USB ZEBRA DS2208 1D/2D                     ,      4017.86,08/31/2022,STR. EQPT.          ,SCANNER                                           ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0005537400003  ,HANDHELD SCANNER USB ZEBRA DS2208 1D/2D                     ,      4017.86,08/31/2022,STR. EQPT.          ,SCANNER                                           ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0006098600001  ,TOSHIBA D10 POS TERMINAL                                    ,     71428.57,08/31/2022,STR. EQPT.          ,POS                                               ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0006098600002  ,TOSHIBA D10 POS TERMINAL                                    ,     71428.57,08/31/2022,STR. EQPT.          ,POS                                               ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0006098600003  ,TOSHIBA D10 POS TERMINAL                                    ,     71428.57,08/31/2022,STR. EQPT.          ,POS                                               ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886700001  ,3 TONS HAND PALLET HAKU BRAND                               ,     19500.00,08/25/2022,MACH. & EQPT.       ,PALLET TRUCK                                      ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886700002  ,3 TONS HAND PALLET HAKU BRAND                               ,     19500.00,08/25/2022,MACH. & EQPT.       ,PALLET TRUCK                                      ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007925300001  ,BIOMETRICS ZKTECO UA400 FINGERPRINT                         ,     13616.07,09/02/2022,STR. EQPT.          ,BIOMETRICS                                        ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007925300002  ,BIOMETRICS ZKTECO UA400 FINGERPRINT                         ,     13616.07,09/02/2022,STR. EQPT.          ,BIOMETRICS                                        ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007925300003  ,BIOMETRICS ZKTECO UA400 FINGERPRINT                         ,     13616.07,09/02/2022,STR. EQPT.          ,BIOMETRICS                                        ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0003926400002  ,TOA SYSTEM MANAGEMENT AMP. 240W                             ,     41368.75,08/31/2022,STR. EQPT.          ,OTHERS                                            ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0003926500002  ,TOA REMOTE MICROPHONE :RM-200M                              ,     19025.89,08/31/2022,STR. EQPT.          ,MICROPHONE                                        ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0005093900004  ,SC-630M TOA HORN SPEAKER 30W WHITE 70/100V ALUMINU          ,      3403.57,08/31/2022,STR. EQPT.          ,SPEAKER                                           ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0005093900005  ,SC-630M TOA HORN SPEAKER 30W WHITE 70/100V ALUMINU          ,      3403.57,08/31/2022,STR. EQPT.          ,SPEAKER                                           ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0005093900006  ,SC-630M TOA HORN SPEAKER 30W WHITE 70/100V ALUMINU          ,      3403.57,08/31/2022,STR. EQPT.          ,SPEAKER                                           ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0001972000001  ,SAMSUNG GALAXY TAB                                          ,      9490.00,09/06/2022,STR. EQPT.          ,TABLET                                            ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0001972000002  ,SAMSUNG GALAXY TAB                                          ,      9490.00,09/06/2022,STR. EQPT.          ,TABLET                                            ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0001972000003  ,SAMSUNG GALAXY TAB                                          ,      9490.00,09/06/2022,STR. EQPT.          ,TABLET                                            ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500001  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500002  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500003  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500004  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500005  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500006  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500007  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500008  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500009  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500010  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500011  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500012  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500013  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500014  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500015  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500016  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500017  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500018  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500019  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500020  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500021  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500022  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500023  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500024  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500025  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500026  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500027  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0033-0007886500028  ,PLASTIC PALLET BLACK D4S-1012.16                            ,      3150.00,09/07/2022,FUR. & FIXT.        ,PALLET                                            ,         4,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
