barcode,desc,acost,adate,cat_type,locname,dept,status
0041-0008028000001            ,AOC LCD 18.5"" E970SWN WLED MONITOR                          ,      2767.86,11/10/2023,MONITOR                                           ,MFI-GP FARM                   ,GPF-ADMIN                                         ,FAACQ               
0041-0008585000001            ,CPU SET                                                     ,     15000.00,11/10/2023,CPU                                               ,MFI-GP FARM                   ,GPF-ADMIN                                         ,FAACQ               
0041-0003207700005            ,PRINTER EPSON LQ-310                                        ,     13388.39,02/24/2024,PRINTER                                           ,MFI-GP FARM                   ,GPF-ADMIN                                         ,FAACQ               
0041-0007498200001            ,MOTOPLUS DUALBAND HANDHELD RADIO TRANSCEIVER                ,      2400.00,06/21/2024,RADIO HANDSET                                     ,MFI-GP FARM                   ,GPF-ADMIN                                         ,FAACQ               
0041-0007498200002            ,MOTOPLUS DUALBAND HANDHELD RADIO TRANSCEIVER                ,      2400.00,06/21/2024,RADIO HANDSET                                     ,MFI-GP FARM                   ,GPF-ADMIN                                         ,FAACQ               
0041-0007498200003            ,MOTOPLUS DUALBAND HANDHELD RADIO TRANSCEIVER                ,      2400.00,06/21/2024,RADIO HANDSET                                     ,MFI-GP FARM                   ,GPF-ADMIN                                         ,FAACQ               
0041-0007498200004            ,MOTOPLUS DUALBAND HANDHELD RADIO TRANSCEIVER                ,      2400.00,06/21/2024,RADIO HANDSET                                     ,MFI-GP FARM                   ,GPF-ADMIN                                         ,FAACQ               
0041-0010135200001            ,RADIO TRANSCEIVER MOTOPLUS GP- 5R MODEL                     ,      2400.00,06/20/2024,RADIO                                             ,MFI-GP FARM                   ,GPF-ADMIN                                         ,FAACQ               
0041-0007418000001            ,MITS. FUSO FIV1P 6W CS#:H0F196 PL#:GBE-7908                 ,   2214285.71,07/05/2024,VEHICLE                                           ,MFI-GP FARM                   ,GPF-ADMIN                                         ,FAACQ               
0041-0007418000002            ,MITS. FUSO FIV1P 6W CS#:H0F195 PL#:GBE-7907                 ,   2214285.71,07/05/2024,VEHICLE                                           ,MFI-GP FARM                   ,GPF-ADMIN                                         ,FAACQ               
0041-0007418000003            ,MITS. FUSO FIV1P 6W CS#:H0F171 PL#:GBE-7909                 ,   2214286.00,07/05/2024,VEHICLE                                           ,MFI-GP FARM                   ,GPF-ADMIN                                         ,FAACQ               
0041-0007418000004            ,MITS. FUSO FIV1P 6W CS#:H0F172 PL#:GBE-7906                 ,   2214285.71,07/05/2024,VEHICLE                                           ,MFI-GP FARM                   ,GPF-ADMIN                                         ,FAACQ               
