barcode,desc,acost,adate,cat_type,locname,dept,status
0000431800001       ,SAMSUNG MONITOR 15"" CRT                                     ,      3500.00,04/01/2008,MONITOR                                           ,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,                    
0000431800002       ,SAMSUNG MONITOR 15"" CRT                                     ,      3500.00,04/01/2008,MONITOR                                           ,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,                    
0000432900001       ,COMPUTER SET AMD SEMPRON                                    ,     14500.00,10/21/2006,COMPUTER                                          ,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,                    
0000439400002       ,COMPUTER SET                                                ,         1.00,02/24/2003,COMPUTER                                          ,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,                    
0000438500001       ,COMPUTER SET INTEL PENTIUM                                  ,     16000.00,02/24/2003,COMPUTER                                          ,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,                    
0000455500001       ,COMPUTER INTEL CELERON D                                    ,     16500.00,01/03/2007,COMPUTER                                          ,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,                    
0000455500002       ,COMPUTER INTEL CELERON D                                    ,     16500.00,01/03/2007,COMPUTER                                          ,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,                    
0000455500003       ,COMPUTER INTEL CELERON D                                    ,     16500.00,01/03/2007,COMPUTER                                          ,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,                    
0000455500005       ,COMPUTER INTEL CELERON D                                    ,     16500.00,01/03/2007,COMPUTER                                          ,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,                    
0000455500006       ,COMPUTER INTEL CELERON D                                    ,     16500.00,01/03/2007,COMPUTER                                          ,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,                    
0000455500007       ,COMPUTER INTEL CELERON D                                    ,     16500.00,01/03/2007,COMPUTER                                          ,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,                    
0000455800001       ,COMPUTER SET INTEL PENTIUM                                  ,     16000.00,11/12/2007,COMPUTER                                          ,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,                    
0000456200001       ,COMPUTER INTEL PENTIUM 4D                                   ,     12500.00,11/03/2011,COMPUTER                                          ,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,                    
0000458700001       ,COMPUTER SET INTEL CORE I3 PROCESSOR                        ,     17300.00,11/26/2012,COMPUTER                                          ,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,                    
0000448300002       ,COMPUTER SET-ASUS PENTIUM                                   ,     22700.00,04/17/2007,COMPUTER                                          ,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,                    
0000450500001       ,CPU INTEL DUAL CORE 1.8GHZ                                  ,     10500.00,07/08/2008,CPU                                               ,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,                    
0000450800001       ,AOC 15""COLORED MONITOR                                      ,      3500.00,06/19/2012,MONITOR                                           ,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,                    
0000450800002       ,AOC 15""COLORED MONITOR                                      ,      3500.00,06/19/2012,MONITOR                                           ,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,                    
0000484700001       ,AOC 15""COLORED MONITOR                                      ,      3240.00,10/06/2008,MONITOR                                           ,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,                    
0000493200001       ,COMPUTER SET - INTEL CELERON                                ,     16000.00,03/22/2010,COMPUTER                                          ,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,                    
0000232700001       ,SANWA MULTI TESTER                                          ,      1600.00,10/23/2013,MULTI-TESTER                                      ,HEAD OFFICE                             ,HO-INFORMATION TECHNOLOGY                         ,STS                 
0000993700001       ,OFFICE TABLE W/ 3 DRAWERS                                   ,         0.00,  /  /    ,TABLE                                             ,HEAD OFFICE                             ,HO-CEBU OFFICE EXTENSION                          ,                    
0000993800001       ,OFFICE TABLE 119 X 60 CM                                    ,         0.00,  /  /    ,TABLE                                             ,HEAD OFFICE                             ,HO-CEBU OFFICE EXTENSION                          ,                    
0000993800002       ,OFFICE TABLE 119 X 60 CM                                    ,         0.00,  /  /    ,TABLE                                             ,HEAD OFFICE                             ,HO-CEBU OFFICE EXTENSION                          ,                    
0000993900001       ,EPSON LQ-300+II PRINTER                                     ,         0.00,  /  /    ,PRINTER                                           ,HEAD OFFICE                             ,HO-CEBU OFFICE EXTENSION                          ,                    
0000994000001       ,TABLE 80 X 80 CM                                            ,         0.00,  /  /    ,TABLE                                             ,HEAD OFFICE                             ,HO-CEBU OFFICE EXTENSION                          ,                    
0000994100001       ,TAILEE ELECTRIC FAN                                         ,         0.00,  /  /    ,FAN                                               ,HEAD OFFICE                             ,HO-CEBU OFFICE EXTENSION                          ,                    
0000994200001       ,AOC 185LM00013 MONITOR                                      ,         0.00,  /  /    ,MONITOR                                           ,HEAD OFFICE                             ,HO-CEBU OFFICE EXTENSION                          ,                    
0000994300001       ,INTEL CORE I3 - 3220 CPU @ 3.30 GHZ                         ,         0.00,  /  /    ,CPU                                               ,HEAD OFFICE                             ,HO-CEBU OFFICE EXTENSION                          ,                    
0000994400001       ,FORKLIFT TCM 2 TURNER                                       ,         0.00,  /  /    ,FORKLIFT                                          ,HEAD OFFICE                             ,HO-CEBU OFFICE EXTENSION                          ,                    
0000994500001       ,FORKLIFT TCM 25 TURNER                                      ,         0.00,  /  /    ,FORKLIFT                                          ,HEAD OFFICE                             ,HO-CEBU OFFICE EXTENSION                          ,                    
0000994600001       ,PRIMEOVER TOV 776                                           ,         0.00,  /  /    ,OTHERS                                            ,HEAD OFFICE                             ,HO-CEBU OFFICE EXTENSION                          ,                    
0000995000001       ,LOCKER CABINET                                              ,         0.00,  /  /    ,CABINET                                           ,HEAD OFFICE                             ,HO-CEBU OFFICE EXTENSION                          ,                    
0000995100001       ,BES TANK                                                    ,         0.00,  /  /    ,TANK                                              ,HEAD OFFICE                             ,HO-CEBU OFFICE EXTENSION                          ,                    
0001566800001       ,MITS. FUSO FIV1P 6W PL#:GSN-827                             ,    775000.00,10/10/2003,VEHICLE                                           ,NETMAN                                  ,NETMAN-ACCOUNTING                                 ,FA_TRAN             
0001566900001       ,MITS. L300 ALAC-KRAFT PL#:TFE-643                           ,     50000.00,02/20/2003,VEHICLE                                           ,DISTRIBUTION SALES GROUP                ,LDI-DISTRIBUTION SALES GROUP                      ,                    
0001621000001       ,HONDA WAVE 125 (SPLASH) PL#:2890UD                          ,         1.00,12/31/2011,VEHICLE                                           ,DISTRIBUTION SALES GROUP                ,LDI-DISTRIBUTION SALES GROUP                      ,                    
0000008300002       ,ENDER RACK                                                  ,      2387.00,08/08/2014,RACK                                              ,HEAD OFFICE                             ,HO-CEBU OFFICE EXTENSION                          ,                    
0000008300003       ,ENDER RACK                                                  ,      2387.00,08/08/2014,RACK                                              ,HEAD OFFICE                             ,HO-CEBU OFFICE EXTENSION                          ,                    
0000008300004       ,ENDER RACK                                                  ,      2387.00,08/08/2014,RACK                                              ,HEAD OFFICE                             ,HO-CEBU OFFICE EXTENSION                          ,                    
0000008300005       ,ENDER RACK                                                  ,      2387.00,08/08/2014,RACK                                              ,HEAD OFFICE                             ,HO-CEBU OFFICE EXTENSION                          ,                    
0000008300006       ,ENDER RACK                                                  ,      2387.00,08/08/2014,RACK                                              ,HEAD OFFICE                             ,HO-CEBU OFFICE EXTENSION                          ,                    
0000008300007       ,ENDER RACK                                                  ,      2387.00,08/08/2014,RACK                                              ,HEAD OFFICE                             ,HO-CEBU OFFICE EXTENSION                          ,                    
0000008300008       ,ENDER RACK                                                  ,      2387.00,08/08/2014,RACK                                              ,HEAD OFFICE                             ,HO-CEBU OFFICE EXTENSION                          ,                    
0000008500003       ,TONNER AHU 35                                               ,      2383.00,08/08/2014,AIR HANDLING UNIT                                 ,HEAD OFFICE                             ,HO-CEBU OFFICE EXTENSION                          ,                    
0000008500004       ,TONNER AHU 35                                               ,      2383.00,08/08/2014,AIR HANDLING UNIT                                 ,HEAD OFFICE                             ,HO-CEBU OFFICE EXTENSION                          ,                    
0000008500005       ,TONNER AHU 35                                               ,      2383.00,08/08/2014,AIR HANDLING UNIT                                 ,HEAD OFFICE                             ,HO-CEBU OFFICE EXTENSION                          ,                    
0000008500006       ,TONNER AHU 35                                               ,      2383.00,08/08/2014,AIR HANDLING UNIT                                 ,HEAD OFFICE                             ,HO-CEBU OFFICE EXTENSION                          ,                    
