barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
0116-0007212000001  ,ELECTRIC STOVE (SINGLE)                                     ,      1668.00,12/07/2021,STR. EQPT.          ,STOVE                                             ,         3,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  ,FAACQ               
0116-0007212000002  ,ELECTRIC STOVE (SINGLE)                                     ,      1668.00,12/07/2021,STR. EQPT.          ,STOVE                                             ,         3,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  ,FAACQ               
0116-0007212600001  ,NUTEX WEIGHING SCALE 15KG                                   ,     17000.00,02/07/2022,STR. EQPT.          ,WEIGHING SCALE                                    ,         3,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  ,FAACQ               
0116-0007277700001  ,MOTO PLUS DUAL BAND FM TRANSCEIVER RADIO                    ,      2400.00,05/30/2022,STR. EQPT.          ,RADIO                                             ,         3,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  ,FAACQ               
0116-0007277700002  ,MOTO PLUS DUAL BAND FM TRANSCEIVER RADIO                    ,      2400.00,05/30/2022,STR. EQPT.          ,RADIO                                             ,         3,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  ,FAACQ               
0116-0007971500001  ,MOP SQUEEZER (YELLOW)                                       ,      5752.50,08/30/2022,STR. EQPT.          ,MOP SQUEEZER                                      ,         2,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  ,FAACQ               
0116-0007971500002  ,MOP SQUEEZER (YELLOW)                                       ,      5752.50,08/30/2022,STR. EQPT.          ,MOP SQUEEZER                                      ,         2,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  ,FAACQ               
0116-0008064700001  ,MDA EDS-750MM DIAMETER X 1.530 HEIGHT PSI: 145)             ,     35714.29,11/24/2022,STR. EQPT.          ,OTHERS                                            ,         3,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  ,FAACQ               
0116-0008499300001  ,WASHING MACHINE CAMEL TWIN TUB                              ,      9841.00,03/01/2023,STR. EQPT.          ,WASHING MACHINE                                   ,         3,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  ,FAACQ               
0116-0008499300002  ,WASHING MACHINE CAMEL TWIN TUB                              ,      9841.00,03/01/2023,STR. EQPT.          ,WASHING MACHINE                                   ,         3,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  ,FAACQ               
0116-0008499200001  ,FLAT SCREEN EZY TV 40""                                      ,      9990.00,03/01/2023,STR. EQPT.          ,TV                                                ,         3,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  ,FAACQ               
0116-0008671500001  ,4 LAYER MULTI- PURPOSE SHELVES                              ,      1428.35,05/02/2023,PROD. EQPT.         ,PRODUCTION SUPPLIES                               ,         3,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  ,FAACQ               
0116-0008671500002  ,4 LAYER MULTI- PURPOSE SHELVES                              ,      1428.35,05/02/2023,PROD. EQPT.         ,PRODUCTION SUPPLIES                               ,         3,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  ,FAACQ               
0116-0008624400001  ,POWEREDGE T150 SERVER S# 7MLKXR3                            ,    142857.14,04/28/2023,OFF. EQPT.          ,SERVER                                            ,         3,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  ,FAACQ               
0116-0008804600001  ,DRY TYPE TRANSFORMER 12KVA 3- PHASE                         ,     71517.86,08/14/2023,ELEC. INTS. & EQPT. ,TRANSFORMER                                       ,         4,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  ,FAACQ               
0116-0008561500001  ,SUCTION TRANSDUCER; 00PPG000030700A(GREEN)                  ,     13928.57,08/14/2023,STR. EQPT.          ,SUPPLIES                                          ,         7,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  ,FAACQ               
0116-0008561500002  ,SUCTION TRANSDUCER; 00PPG000030700A(GREEN)                  ,     13928.57,08/14/2023,STR. EQPT.          ,SUPPLIES                                          ,         7,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  ,FAACQ               
0116-0008561500003  ,SUCTION TRANSDUCER; 00PPG000030700A(GREEN)                  ,     13928.57,08/14/2023,STR. EQPT.          ,SUPPLIES                                          ,         7,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  ,FAACQ               
0116-0008561500004  ,SUCTION TRANSDUCER; 00PPG000030700A(GREEN)                  ,     13928.57,08/14/2023,STR. EQPT.          ,SUPPLIES                                          ,         7,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  ,FAACQ               
0116-0008805600001  ,DISCHARGE TRANSDUCER 00PPG000030600A (BLACK)                ,     13928.57,08/14/2023,                    ,SUPPLIES                                          ,         0,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  ,FAACQ               
0116-0008805600002  ,DISCHARGE TRANSDUCER 00PPG000030600A (BLACK)                ,     13928.57,08/14/2023,                    ,SUPPLIES                                          ,         0,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  ,FAACQ               
0116-0008805700001  ,FLOW SWITCH 00PPG000003100A                                 ,     27508.93,08/14/2023,                    ,SUPPLIES                                          ,         0,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  ,FAACQ               
0116-0008563800002  ,ECB-400A3P400V - NEMA 1                                     ,     89712.62,10/10/2023,ELEC. INTS. & EQPT. ,ELECTRICAL SUPPLIES                               ,         7,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  ,FAACQ               
0116-0008754400002  ,DIGITAL POWER METER METSEPM2120SCHNEIDER                    ,      8501.66,10/10/2023,ELEC. INTS. & EQPT. ,OTHERS                                            ,         3,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  ,FAACQ               
0116-0006431100001  ,THERMISTOR SENSOR; T1 EWT                                   ,     26080.00,12/19/2023,ELEC. INTS. & EQPT. ,ELECTRICAL PARTS                                  ,         3,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  ,FAACQ               
0116-0006431100002  ,THERMISTOR SENSOR; T1 EWT                                   ,     26080.00,12/19/2023,ELEC. INTS. & EQPT. ,ELECTRICAL PARTS                                  ,         3,MFI-HATCHERY QUEZON BILAR     ,HQB-QUEZON ADMIN                                  ,FAACQ               
