barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
0129-0011028200001  ,EZDO PH5011 PH PEN                                          ,      3375.00,11/20/2024,LAB. EQPT.          ,LABORATORY INV.                                   ,         3,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              ,FAACQ               
0129-0011028200002  ,EZDO PH5011 PH PEN                                          ,      3375.00,11/20/2024,LAB. EQPT.          ,LABORATORY INV.                                   ,         3,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              ,FAACQ               
0129-0011480600001  ,DM2 SERIES MULTI-FUNCTION WEIGHING SCALE                    ,     10892.86,03/07/2025,STR. EQPT.          ,WEIGHING SCALE                                    ,         3,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              ,FAACQ               
0129-0011421200001  ,QUANTSTUDIO™ 5 REAL-TIME PCR SYSTEM 96-WELL                 ,   2053571.43,09/12/2025,OFF. EQPT.          ,OTHERS                                            ,         3,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              ,FAACQ               
0129-0012231700001  ,VORTEX MIXER(ADJUSTABLE SPEED)                              ,     17500.00,09/12/2025,MACH. & EQPT.       ,MIXER                                             ,        10,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              ,FAACQ               
0129-0011028200003  ,EZDO PH5011 PH PEN                                          ,      3375.00,10/03/2025,LAB. EQPT.          ,LABORATORY INV.                                   ,         3,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              ,FAACQ               
0129-0011028200004  ,EZDO PH5011 PH PEN                                          ,      3375.00,10/03/2025,LAB. EQPT.          ,LABORATORY INV.                                   ,         3,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              ,FAACQ               
0129-0001213300001  ,DOUBLE DECK                                                 ,      5357.14,11/10/2025,FUR. & FIXT.        ,BED                                               ,         5,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              ,FAACQ               
0129-0001213300002  ,DOUBLE DECK                                                 ,      5357.14,11/10/2025,FUR. & FIXT.        ,BED                                               ,         5,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              ,FAACQ               
0129-0001213300003  ,DOUBLE DECK                                                 ,      5357.14,11/10/2025,FUR. & FIXT.        ,BED                                               ,         5,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              ,FAACQ               
0129-0001213300004  ,DOUBLE DECK                                                 ,      5357.14,11/10/2025,FUR. & FIXT.        ,BED                                               ,         5,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              ,FAACQ               
0129-0001213300005  ,DOUBLE DECK                                                 ,      5357.14,11/10/2025,FUR. & FIXT.        ,BED                                               ,         5,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              ,FAACQ               
0129-0001213300006  ,DOUBLE DECK                                                 ,      5357.14,11/10/2025,FUR. & FIXT.        ,BED                                               ,         5,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              ,FAACQ               
0129-0012423300001  ,FINNPIPETTE F2 5-50 UL CE MARKED                            ,     16287.50,11/20/2025,TOOLS               ,TOOLS                                             ,         3,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              ,FAACQ               
0129-0012423300002  ,FINNPIPETTE F2 5-50 UL CE MARKED                            ,     16287.50,11/20/2025,TOOLS               ,TOOLS                                             ,         3,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              ,FAACQ               
0129-0013185800001  ,FINNPIPETTE F2 1-10 UL                                      ,     16287.50,04/09/2026,TOOLS               ,TOOLS                                             ,         3,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              ,FAACQ               
0129-0013185900001  ,FINNPIPETTE F2 2-20 UL MICRO                                ,     18125.00,04/09/2026,TOOLS               ,TOOLS                                             ,         3,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              ,FAACQ               
0129-0012953500001  ,BENCHMARK C1012-E MYFUGE 12 MINI CENTRIFUGE                 ,     31213.39,06/18/2026,STR. EQPT.          ,OTHERS                                            ,         3,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              ,FAACQ               
0129-0012231700002  ,VORTEX MIXER(ADJUSTABLE SPEED)                              ,     19600.00,09/03/2026,MACH. & EQPT.       ,MIXER                                             ,        10,MFI-LABORATORY                ,MFI-LABORATORY ADMIN                              ,FAACQ               
