barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
0000408900001                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900002                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900003                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900004                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900005                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900006                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900007                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900008                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900009                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900010                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900011                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900012                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900013                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900014                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900015                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900016                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900017                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900018                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900019                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900020                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900021                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900022                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900023                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900024                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900025                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900026                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900027                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900028                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900029                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900030                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900031                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900032                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900033                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900034                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900035                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900036                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900037                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900038                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900039                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900040                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900041                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900042                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900043                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900044                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900045                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900046                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900047                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900048                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900049                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
0000408900050                 ,BRACE 267CM                                                 ,         1.00,01/02/1997,FUR. & FIXT.        ,BRACE                                             ,        10,PLAZA MARCELA                 ,PM-GROCERY STOCKROOM/RECEIVING                    ,                    
