barcode,desc,acost,adate,cat_type,locname,dept,status
0002829000001            ,FREEZER VAN GED-7789                                        ,   1050000.00,01/13/2017,VEHICLE                                           ,MARCELA FARMS INCORPORATED                        ,MFI-SLAUGHTER HOUSE & MEAT CUTTING PLANT 2        ,FA_TRAN             
0002830500024            ,AGC -T- 40 TUG-748 20FTR.                                   ,    250000.00,04/05/2013,VEHICLE                                           ,MARCELA FARMS INCORPORATED                        ,MFI-SLAUGHTER HOUSE & MEAT CUTTING PLANT 2        ,FA_TRAN             
0002830500029            ,AGC -T- 58 NO PLATE 20FTR.                                  ,    210000.00,05/20/1998,VEHICLE                                           ,MARCELA FARMS INCORPORATED                        ,MFI-SLAUGHTER HOUSE & MEAT CUTTING PLANT 2        ,FA_TRAN             
0002830500038            ,AGC -T- 67 NUN-696 20FTR.                                   ,    210000.00,06/25/1999,VEHICLE                                           ,MARCELA FARMS INCORPORATED                        ,MFI-SLAUGHTER HOUSE & MEAT CUTTING PLANT 2        ,FA_TRAN             
0002830500307            ,AGC -T- 28 TUD-784 20FTR.                                   ,    250000.00,03/01/2012,VEHICLE                                           ,MARCELA FARMS INCORPORATED                        ,MFI POULTRY BROILER-BILAR BREEDER                 ,FA_TRAN             
0002830500332            ,AGC -T- 126 CUT-112 20FTR.                                  ,    395200.00,06/09/2009,VEHICLE                                           ,MARCELA FARMS INCORPORATED                        ,MFI POULTRY BROILER-BILAR BREEDER                 ,FA_TRAN             
0000741100003            ,PALLET JACK (EP EPC25)                                      ,     14500.00,01/10/2018,PALLET TRUCK                                      ,MARCELA FARMS INCORPORATED                        ,MFI-REPACKING SERVICES                            ,FA_TRAN             
0000741100004            ,PALLET JACK (EP EPC25)                                      ,     14500.00,01/10/2018,PALLET TRUCK                                      ,MARCELA FARMS INCORPORATED                        ,MFI-REPACKING SERVICES                            ,FA_TRAN             
0001080100021            ,AOC 18.5"" MONITOR	                                          ,      3700.00,03/28/2018,MONITOR                                           ,MARCELA FARMS INCORPORATED                        ,MFI-REPACKING SERVICES                            ,                    
0003195500005            ,LINKSYS EA6350 SMART WI-FI DUAL BAND AC1                    ,      4500.00,04/20/2018,ROUTER                                            ,MARCELA FARMS INCORPORATED                        ,MFI-REPACKING SERVICES                            ,                    
0001127200001CORP        ,FREEZER VAN REJ110                                          ,    235200.00,11/01/2006,VEHICLE                                           ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001127300001CORP        ,20 FTR FREEZER VAN ATK870-086-3                             ,         0.00,01/01/2010,VEHICLE                                           ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001127400001CORP        ,ISUZU FORWARD REF VAN RLD-659                               ,    977100.00,09/14/2011,VEHICLE                                           ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001127500001CORP        ,ISUZU FORWARD REEFER VAN RMA-148                            ,    957100.00,08/13/2012,VEHICLE                                           ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001127600001CORP        ,STEEL BOOTS RACK                                            ,     21853.29,12/14/2006,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001127600002CORP        ,STEEL BOOTS RACK                                            ,     21853.29,12/14/2006,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001127600003CORP        ,STEEL BOOTS RACK                                            ,     21853.29,12/14/2006,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001127600004CORP        ,STEEL BOOTS RACK                                            ,     21853.29,12/14/2006,RACK                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001127700001CORP        ,BOOTS LOCKER/SLIPPER RACK                                   ,     10000.00,11/09/2011,LOCKER                                            ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001127700002CORP        ,BOOTS LOCKER/SLIPPER RACK                                   ,     10000.00,11/09/2011,LOCKER                                            ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001127800001CORP        ,ALUMINUM LADDER 9FT                                         ,      2801.88,07/21/2007,LADDER                                            ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001127900001CORP        ,MOVABLE LADDER 6 STEPS                                      ,     12500.00,12/02/2011,LADDER                                            ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001128000001CORP        ,MOVABLE LADDER 5 STEPS                                      ,      9700.00,04/13/2011,LADDER                                            ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001128100001CORP        ,STEEL LOCKER                                                ,     18590.00,07/18/2007,LOCKER                                            ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001128100002CORP        ,STEEL LOCKER                                                ,     18590.00,07/18/2007,LOCKER                                            ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001128200001CORP        ,STAMPER SOLID - PLASTIC                                     ,      7000.00,07/21/2007,OTHERS                                            ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001128300001CORP        ,TENT 5 X6                                                   ,     31139.00,07/12/2011,TENT                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001128400001CORP        ,TENT 5 X 6                                                  ,     31139.00,04/19/2012,TENT                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001128400002CORP        ,TENT 5 X 6                                                  ,     31139.00,04/19/2012,TENT                                              ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001128500001CORP        ,TROLLEY FOR PLASTIC TUB                                     ,     10000.00,08/27/2010,TROLLY                                            ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001128500002CORP        ,TROLLEY FOR PLASTIC TUB                                     ,     10000.00,08/27/2010,TROLLY                                            ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001128600001CORP        ,WOODEN HANGING CABINET                                      ,      1470.68,04/06/2010,CABINET                                           ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001128700001CORP        ,WEIGHING SCALE HANGER STAND                                 ,      4569.76,01/04/2007,STAND                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001128800001CORP        ,VACUUM SEALER STAND                                         ,      8943.00,07/09/2007,STAND                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001128900001CORP        ,MEAT GRINDER STAND                                          ,      8876.00,07/09/2007,STAND                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001129000001CORP        ,MEAT GRINDER STAND                                          ,      3572.00,07/09/2007,STAND                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001129100001CORP        ,WORKING TABLE                                               ,     10805.48,07/09/2007,TABLE                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001129100002CORP        ,WORKING TABLE                                               ,     10805.48,07/09/2007,TABLE                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001129200001CORP        ,COMPUTER TABLE                                              ,      5169.63,03/25/2010,TABLE                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
0001129300001CORP        ,SS PRODUCTION TABLE PLAIN (2.8M)                            ,     25509.60,08/15/2007,TABLE                                             ,MARCELA FARMS INCORPORATED                        ,FOOD SERVICE COMMISSARY                           ,                    
