barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
0088-0003505700001  ,SEAGATE 1TB EXTERNAL 2.5                                    ,      3100.00,01/10/2020,OFF. EQPT.          ,HARD DISK                                         ,         2,UBAY DISTRIBUTION CENTER                ,UDC-INFORMATION TECHNOLOGY                        ,FAACQ               
0088-0001738000001  ,HONDA BRUSH CUTTER 1.6 4 STROKE M:UMK435                    ,     14285.71,01/11/2020,MACH. & EQPT.       ,GRASS CUTTER                                      ,         5,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0003869900001  ,CISCO UC PHONE 7821                                         ,      8366.48,03/02/2020,OFF. EQPT.          ,TELEPHONE                                         ,         3,UBAY DISTRIBUTION CENTER                ,UDC-FIXED ASSET DEPARTMENT                        ,FAACQ               
0088-0006102600001  ,AHD 16CH DVR HIK VISION DS-7216HQHI-K1                      ,      8540.00,03/21/2020,OFF. EQPT.          ,OTHERS                                            ,         3,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0006102700001  ,4TB SURVIELLANCE HD 4TB WD40PURZ                            ,      8542.00,03/21/2020,OFF. EQPT.          ,OTHERS                                            ,         3,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0006102800001  ,CENTRALIZED POWER SUPPLY 12V 18CH 30A                       ,      3125.00,03/21/2020,OFF. EQPT.          ,POWERSUPPLY                                       ,         3,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0003207700001  ,EPSON PRINTER LQ-310                                        ,     11598.21,05/07/2020,OFF. EQPT.          ,PRINTER                                           ,         3,UBAY DISTRIBUTION CENTER                ,UDC-MANAGEMENT INFORMATION SYSTEM                 ,FAACQ               
0088-0003207700002  ,EPSON PRINTER LQ-310                                        ,     11598.21,05/07/2020,OFF. EQPT.          ,PRINTER                                           ,         3,UBAY DISTRIBUTION CENTER                ,UDC-MANAGEMENT INFORMATION SYSTEM                 ,FAACQ               
0088-0006400200001  ,CELLPHONE SAMSUNG GALAXY A01                                ,      4990.00,08/13/2020,OFF. EQPT.          ,CELLPHONE                                         ,         3,UBAY DISTRIBUTION CENTER                ,UDC-FIXED ASSET DEPARTMENT                        ,FAACQ               
0088-0000432600001  ,CELLPHONE HUAWEI Y5P                                        ,      4016.96,09/09/2020,OFF. EQPT.          ,CELLPHONE                                         ,         3,UBAY DISTRIBUTION CENTER                ,UDC-MANAGEMENT INFORMATION SYSTEM                 ,FAACQ               
0088-0005222000001  ,CATALYST 2960L POE SWITCH                                   ,     55446.43,09/11/2020,OFF. EQPT.          ,NETWORK SWITCH                                    ,         3,UBAY DISTRIBUTION CENTER                ,UDC-INFORMATION TECHNOLOGY                        ,FAACQ               
0088-0003207700003  ,PRINTER EPSON LQ-310                                        ,     13200.00,10/01/2020,OFF. EQPT.          ,PRINTER                                           ,         3,UBAY DISTRIBUTION CENTER                ,UDC-MANAGEMENT INFORMATION SYSTEM                 ,FAACQ               
0088-0003207700004  ,PRINTER EPSON LQ-310                                        ,     13200.00,08/07/2020,OFF. EQPT.          ,PRINTER                                           ,         3,UBAY DISTRIBUTION CENTER                ,UDC-MANAGEMENT INFORMATION SYSTEM                 ,FAACQ               
0088-0006062400001  ,CIGNAL HD+                                                  ,      2044.65,09/08/2020,STR. EQPT.          ,SATELLITE                                         ,         3,UBAY DISTRIBUTION CENTER                ,UDC-FIXED ASSET DEPARTMENT                        ,FAACQ               
0088-0000700100001  ,STEEL CABINET 5 DRAWER VERTICAL HERMACO                     ,      9732.14,10/21/2020,FUR. & FIXT.        ,CABINET                                           ,        10,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0005498300001  ,ZEBRA CORDLESS SCANNER LI4278                               ,     16000.00,11/25/2020,OFF. EQPT.          ,SCANNER                                           ,         3,UBAY DISTRIBUTION CENTER                ,UDC-MANAGEMENT INFORMATION SYSTEM                 ,FAACQ               
0088-0003207700005  ,PRINTER EPSON LQ-310                                        ,     11785.71,01/22/2021,OFF. EQPT.          ,PRINTER                                           ,         3,UBAY DISTRIBUTION CENTER                ,UDC-MANAGEMENT INFORMATION SYSTEM                 ,FAACQ               
0088-0003346000001  ,EMERGENCY LIGHT HILUX LED 2X5W                              ,      1702.00,01/06/2021,STR. EQPT.          ,EMERGENCY LIGHT                                   ,         3,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0003346000002  ,EMERGENCY LIGHT HILUX LED 2X5W                              ,      1702.00,01/06/2021,STR. EQPT.          ,EMERGENCY LIGHT                                   ,         3,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0006502500001  ,FORKLIFT 15T CPCD150 ENGINE                                 ,   2918983.25,07/03/2021,MACH. & EQPT.       ,FORKLIFT                                          ,        10,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0006759000001  ,HAWKER/POLAND BATTERY ASSY 48V/550AH                        ,    263392.86,07/29/2021,MACH. & EQPT.       ,BATTERY                                           ,         3,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0006759000002  ,HAWKER/POLAND BATTERY ASSY 48V/550AH                        ,    263392.86,07/29/2021,MACH. & EQPT.       ,BATTERY                                           ,         3,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0006759100001  ,HAWKER/POLAND BATTERY ASSY 48V/300AH                        ,    187500.00,07/29/2021,MACH. & EQPT.       ,BATTERY                                           ,         3,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0006759100002  ,HAWKER/POLAND BATTERY ASSY 48V/300AH                        ,    187500.00,07/29/2021,MACH. & EQPT.       ,BATTERY                                           ,         3,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0006759100003  ,HAWKER/POLAND BATTERY ASSY 48V/300AH                        ,    187500.00,07/29/2021,MACH. & EQPT.       ,BATTERY                                           ,         3,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0006759100004  ,HAWKER/POLAND BATTERY ASSY 48V/300AH                        ,    187500.00,07/29/2021,MACH. & EQPT.       ,BATTERY                                           ,         3,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0006759100005  ,HAWKER/POLAND BATTERY ASSY 48V/300AH                        ,    187500.00,07/29/2021,MACH. & EQPT.       ,BATTERY                                           ,         3,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0006816400001  ,DELL COMPATIBLE 8GB PC4-19200 DDR4-2400MHZ                  ,      8227.68,08/13/2021,OFF. EQPT.          ,MEMORY                                            ,         3,UBAY DISTRIBUTION CENTER                ,UDC-INFORMATION TECHNOLOGY                        ,FAACQ               
0088-0006816400002  ,DELL COMPATIBLE 8GB PC4-19200 DDR4-2400MHZ                  ,      8227.68,08/13/2021,OFF. EQPT.          ,MEMORY                                            ,         3,UBAY DISTRIBUTION CENTER                ,UDC-INFORMATION TECHNOLOGY                        ,FAACQ               
0088-0006816400003  ,DELL COMPATIBLE 8GB PC4-19200 DDR4-2400MHZ                  ,      8227.68,08/13/2021,OFF. EQPT.          ,MEMORY                                            ,         3,UBAY DISTRIBUTION CENTER                ,UDC-INFORMATION TECHNOLOGY                        ,FAACQ               
0088-0006816400004  ,DELL COMPATIBLE 8GB PC4-19200 DDR4-2400MHZ                  ,      8227.68,08/13/2021,OFF. EQPT.          ,MEMORY                                            ,         3,UBAY DISTRIBUTION CENTER                ,UDC-INFORMATION TECHNOLOGY                        ,FAACQ               
0088-0006816500001  ,SAS 2.5IN HOT-PLUG DRIVE 3.5IN HYBRID CARR                  ,     10825.89,08/13/2021,OFF. EQPT.          ,HARD DISK                                         ,         2,UBAY DISTRIBUTION CENTER                ,UDC-INFORMATION TECHNOLOGY                        ,FAACQ               
0088-0006816500002  ,SAS 2.5IN HOT-PLUG DRIVE 3.5IN HYBRID CARR                  ,     10825.89,08/13/2021,OFF. EQPT.          ,HARD DISK                                         ,         2,UBAY DISTRIBUTION CENTER                ,UDC-INFORMATION TECHNOLOGY                        ,FAACQ               
0088-0003207700006  ,PRINTER EPSON LQ-310                                        ,     11959.82,09/03/2021,OFF. EQPT.          ,PRINTER                                           ,         3,UBAY DISTRIBUTION CENTER                ,UDC-MANAGEMENT INFORMATION SYSTEM                 ,FAACQ               
0088-0007026600001  ,K3X INFRARED COUNTER (THERMOMETER)                          ,      2000.00,09/30/2021,STR. EQPT.          ,THERMOMETER                                       ,         3,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0007026600002  ,K3X INFRARED COUNTER (THERMOMETER)                          ,      2000.00,09/30/2021,STR. EQPT.          ,THERMOMETER                                       ,         3,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0003207700007  ,PRINTER EPSON LQ-310                                        ,     13395.00,10/06/2021,OFF. EQPT.          ,PRINTER                                           ,         3,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0007015200001  ,MANLY PLASTIC PALLET D4-1012.16 DECK TYPE 01 BLACK          ,      2800.00,10/15/2021,FUR. & FIXT.        ,PALLET                                            ,         4,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0007015200002  ,MANLY PLASTIC PALLET D4-1012.16 DECK TYPE 01 BLACK          ,      2800.00,10/15/2021,FUR. & FIXT.        ,PALLET                                            ,         4,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0007015200003  ,MANLY PLASTIC PALLET D4-1012.16 DECK TYPE 01 BLACK          ,      2800.00,10/15/2021,FUR. & FIXT.        ,PALLET                                            ,         4,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0007015200004  ,MANLY PLASTIC PALLET D4-1012.16 DECK TYPE 01 BLACK          ,      2800.00,10/15/2021,FUR. & FIXT.        ,PALLET                                            ,         4,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0007015200005  ,MANLY PLASTIC PALLET D4-1012.16 DECK TYPE 01 BLACK          ,      2800.00,10/15/2021,FUR. & FIXT.        ,PALLET                                            ,         4,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0007015200006  ,MANLY PLASTIC PALLET D4-1012.16 DECK TYPE 01 BLACK          ,      2800.00,10/15/2021,FUR. & FIXT.        ,PALLET                                            ,         4,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0007015200007  ,MANLY PLASTIC PALLET D4-1012.16 DECK TYPE 01 BLACK          ,      2800.00,10/15/2021,FUR. & FIXT.        ,PALLET                                            ,         4,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0007015200008  ,MANLY PLASTIC PALLET D4-1012.16 DECK TYPE 01 BLACK          ,      2800.00,10/15/2021,FUR. & FIXT.        ,PALLET                                            ,         4,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0007015200009  ,MANLY PLASTIC PALLET D4-1012.16 DECK TYPE 01 BLACK          ,      2800.00,10/15/2021,FUR. & FIXT.        ,PALLET                                            ,         4,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0007015200010  ,MANLY PLASTIC PALLET D4-1012.16 DECK TYPE 01 BLACK          ,      2800.00,10/15/2021,FUR. & FIXT.        ,PALLET                                            ,         4,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0007015200011  ,MANLY PLASTIC PALLET D4-1012.16 DECK TYPE 01 BLACK          ,      2800.00,04/08/2022,FUR. & FIXT.        ,PALLET                                            ,         4,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0007015200012  ,MANLY PLASTIC PALLET D4-1012.16 DECK TYPE 01 BLACK          ,      2800.00,04/08/2022,FUR. & FIXT.        ,PALLET                                            ,         4,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
0088-0007015200013  ,MANLY PLASTIC PALLET D4-1012.16 DECK TYPE 01 BLACK          ,      2800.00,04/08/2022,FUR. & FIXT.        ,PALLET                                            ,         4,UBAY DISTRIBUTION CENTER                ,UDC-ADMIN                                         ,FAACQ               
