id,barcode,desc,remarks,asset_type,cat_type,locname,dept,image,image_url,datetime_saved
1,MFI-DBL-00109507,"B4-5 VERTICAL CABINET","5 DRAWERS
OLD BARCODE
ADMIN OFFICE","FUR. & FIXT.",CABINET-STEEL,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787618390122.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787618390122.jpg,"2026-08-25 08:37:42 AM"
2,,"PANASONIC REGRIGERATOR MODEL: NR-A8513ES","NO BARCODE
LAPSAON ADMIN
SN: AH-278661D","MACH. & EQPT.",REFRIGERATOR,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787618643278.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787618643278.jpg,"2026-08-25 08:40:42 AM"
3,MFI-DBF-00106578,"AOC MON 18.5 SN: HNDF71A019894","OLD BARCODE
ADMIN OFFICE","OFF. EQPT.",MONITOR,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787618802278.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787618802278.jpg,"2026-08-25 08:44:24 AM"
4,MFI-DBL-00113830,"CPU COREI3-8100 SN:K9MOCS06J4605","OLD BARCODE
ADMIN OFFICE","OFF. EQPT.",CPU,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787618938942.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787618938942.jpg,"2026-08-25 08:47:03 AM"
5,MFI-DBF-00106582,"CPU COREI3-4170 SN:FSMOFM082921","OLD BARCODE
ADMIN OFFICE","OFF. EQPT.",CPU,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787619067168.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787619067168.jpg,"2026-08-25 08:49:03 AM"
6,,"CARRIER OPTIMA WINDOW TYPE","NO BARCODE
ADMIN OFFICE","OFF. EQPT.",AIRCON,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787619227841.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787619227841.jpg,"2026-08-25 08:52:45 AM"
7,,"HIK VISION CCTV DOME TYPE","NO BARCODE
ADMIN OFFICE","OFF. EQPT.",CCTV,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787619296617.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787619296617.jpg,"2026-08-25 08:53:54 AM"
8,,"DELLEMC CPU SN:16459141755","NO BARCODE
ADMIN OFFICE","OFF. EQPT.",CPU,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787619406156.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787619406156.jpg,"2026-08-25 08:55:30 AM"
9,,"ABLEREX BATTERY MODEL:EVO3000 SN:MAB2139920001","NO BARCODE
ADMIN OFFICE","OFF. EQPT.",BATTERY,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787619568002.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787619568002.jpg,"2026-08-25 08:57:24 AM"
10,,"HERMACO COMMERCIAL SAFE VAULT","2 DRAWERS
NO BARCODE
ADMIN OFFICE","FUR. & FIXT.",VAULT,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787619677900.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787619677900.jpg,"2026-08-25 08:59:41 AM"
