id,barcode,desc,acost,adate,cat_type,locname,dept,datetime_scanned,scanned
1,0119-0005735700001,"HEAT GUN STANLEY",2796,03/28/2022,TOOLS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
2,0119-0007543200001,"TPLINK SG1008P 8 PORT GIGABIT SWITCH",2946,04/22/2022,SWITCH,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 09:09:43 AM",1
3,0026-0003869900050,"CISCO UC PHONE 7821",7249,01/27/2022,TELEPHONE,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
4,0119-0002846500001,"4 JAY ANTENNA",2800,05/31/2022,OTHERS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
5,0119-0003518200001,"KENWOOD BASE TK-7108VHF FM TRANSCEIVER",11500,05/31/2022,"RADIO BASE","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 09:10:00 AM",1
6,0119-0006326800001,"POWER SUPPLY STATION 13.8V 25 AMPS",5800,05/31/2022,"POWER SUPPLY","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 09:10:15 AM",1
7,0119-0004482100001,"CIGNAL SATELLITE DISH W/ DIGITAL TV BOX",1777,07/20/2023,SATELLITE,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 01:53:42 PM",1
8,0119-0004482100002,"CIGNAL SATELLITE DISH W/ DIGITAL TV BOX",2015,06/07/2022,SATELLITE,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 01:53:42 PM",1
9,0119-0005127600001,"FINGERPRINT TIME ATTENDANCE TERMINAL 3000TC",8750,08/17/2022,OTHERS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 08:37:30 AM",1
10,0119-0005127600002,"FINGERPRINT TIME ATTENDANCE TERMINAL 3000TC",8750,08/17/2022,OTHERS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 01:46:00 PM",1
11,0119-0007806100001,"WULI HEAVY DUTY HIGH PRESSURE GUN W-150L SHORT",4000,08/22/2022,"PRESSURE WASHER","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
12,0119-0007806100002,"WULI HEAVY DUTY HIGH PRESSURE GUN W-150L SHORT",4000,08/22/2022,"PRESSURE WASHER","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
13,0119-0007806100003,"WULI HEAVY DUTY HIGH PRESSURE GUN W-150L SHORT",4000,08/22/2022,"PRESSURE WASHER","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
14,0119-0007806100004,"WULI HEAVY DUTY HIGH PRESSURE GUN W-150L SHORT",4000,08/22/2022,"PRESSURE WASHER","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
15,0119-0007806100005,"WULI HEAVY DUTY HIGH PRESSURE GUN W-150L SHORT",4000,08/22/2022,"PRESSURE WASHER","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
16,0119-0007100000001,"RUIJIE SWITCH XS-S1960-24GT4SFP-UP-H LAYER 3",29911,09/09/2022,VEHICLE,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 09:03:27 AM",1
17,0119-0003200100001,"KNAPSACK SPRAYER TUNGHO",2706,09/12/2022,SPRAYER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 08:41:55 AM",1
18,0119-0003200100002,"KNAPSACK SPRAYER TUNGHO",2706,09/12/2022,SPRAYER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
19,0119-0003200100003,"KNAPSACK SPRAYER TUNGHO",2706,09/12/2022,SPRAYER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
20,0119-0003200100004,"KNAPSACK SPRAYER TUNGHO",2706,09/12/2022,SPRAYER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-26 08:42:08 AM",1
21,0119-0007872200001,"MAIN DISTRIBUTION PANEL(MDP)",45930,09/12/2022,"PANEL BOARD","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-27 09:38:26 AM",1
22,0119-0008192900001,"DOWELL HEAVY DUTY GAS STOVE 1GS-288",1783,09/26/2022,STOVE,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
23,0119-0008192900002,"DOWELL HEAVY DUTY GAS STOVE 1GS-288",1783,09/26/2022,STOVE,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
24,0070-0004934600026,"SUBMERSIBLE PUMP STREAMPLUS 1HP",12054,05/12/2022,PUMP,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
25,0119-0007067000001,"STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""""X8""""",13795,11/10/2022,LOCKER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 11:05:57 AM",1
26,0119-0007067000002,"STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""""X8""""",13795,11/10/2022,LOCKER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 11:06:01 AM",1
27,0119-0007067000003,"STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""""X8""""",13795,11/10/2022,LOCKER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 11:04:04 AM",1
28,0119-0007067000004,"STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""""X8""""",13795,11/10/2022,LOCKER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 11:03:56 AM",1
29,0119-0008400200001,"MOTOLITE GOLD 21 (3SMF N702 D3IR)",5775,02/01/2023,BATTERY,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 01:45:43 PM",1
30,0119-0008400200002,"MOTOLITE GOLD 21 (3SMF N702 D3IR)",5775,02/01/2023,BATTERY,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 01:45:43 PM",1
31,0119-0008399900001,"POLARIZED WELDING LENS W/ MASK",2999,02/01/2023,OTHERS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
32,0119-0008399000001,"FLUKE DUGITAL CLAMP METER",37286,02/15/2023,"CLAMP  METER","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
33,0119-0008396700001,"PORTABLE DRILL DEWALT",18304,02/16/2023,DRILL,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN","2026-08-25 11:22:51 AM",1
34,0119-0008170100001,"UBIQUITY AIR FIBER AF-5XHD",31000,02/17/2023,ROUTER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",0,0
